Year,County Name,Total Population Estimates,10 Through Upper Age Estimates,0 Through Upper Age Estimates,Delinquency Petition,Delinquency Non-petition,Status Petition,Status Non-petition,Dependency Petition,Dependency Non-petition
1999,"Carbon","15,400","2,100","4,000","36","--","5","--","17","--"
1999,"Converse","12,400","1,900","3,600","23","--","7","--","12","--"
1999,"Crook","5,800","800","1,600","11","--","0","--","*","--"
1999,"Fremont","36,200","5,100","10,200","41","--","0","--","24","--"
1999,"Goshen","12,700","1,600","3,100","15","--","8","--","9","--"
1999,"Hot Springs","4,500","600","1,000","8","--","0","--","*","--"
1999,"Johnson","6,900","900","1,600","*","--","*","--","*","--"
1999,"Laramie","78,900","9,200","19,300","172","--","63","--","45","--"
1999,"Lincoln","14,000","2,500","4,700","26","--","7","--","7","--"
1999,"Natrona","63,200","7,800","15,900","0","--","0","--","0","--"
1999,"Niobrara","2,700","300","600","0","--","6","--","0","--"
1999,"Park","25,500","3,100","6,200","97","--","5","--","21","--"
1999,"Platte","8,600","1,100","2,200","11","--","7","--","*","--"
1999,"Sheridan","25,100","3,200","5,900","32","--","24","--","8","--"
1999,"Sublette","5,800","700","1,400","6","--","*","--","*","--"
1999,"Sweetwater","39,300","6,200","12,100","126","--","166","--","27","--"
1999,"Teton","14,500","1,400","3,100","20","--","*","--","10","--"
1999,"Uinta","20,300","3,700","7,400","64","--","5","--","10","--"
1999,"Washakie","8,500","1,200","2,300","--","--","--","--","--","--"
1999,"Weston","6,400","900","1,600","11","--","0","--","*","--"
2000,"Albany","31,800","2,600","5,700","20","--","9","--","12","--"
2000,"Big Horn","11,400","1,600","3,200","20","--","*","--","6","--"
2000,"Campbell","34,000","5,200","10,300","47","--","7","--","21","--"
2000,"Carbon","15,600","1,900","3,600","33","--","8","--","19","--"
2000,"Converse","12,100","1,700","3,400","28","--","5","--","5","--"
2000,"Crook","5,900","900","1,500","5","--","*","--","*","--"
2000,"Fremont","35,800","4,800","9,500","28","--","*","--","12","--"
2000,"Goshen","12,600","1,500","3,000","16","--","*","--","11","--"
2000,"Hot Springs","4,900","600","1,000","13","--","*","--","0","--"
2000,"Johnson","7,100","900","1,700","10","--","*","--","*","--"
2000,"Laramie","81,700","9,600","20,900","148","--","53","--","44","--"
2000,"Lincoln","14,600","2,300","4,400","24","--","7","--","5","--"
2000,"Natrona","66,600","8,200","17,000","115","--","17","--","47","--"
2000,"Niobrara","2,400","300","500","*","--","*","--","0","--"
2000,"Park","25,800","3,200","6,200","88","--","6","--","27","--"
2000,"Platte","8,800","1,200","2,200","25","--","*","--","6","--"
2000,"Sheridan","26,600","3,300","6,300","39","--","34","--","18","--"
2000,"Sublette","6,000","800","1,500","5","--","0","--","*","--"
2000,"Sweetwater","37,500","5,300","10,600","167","--","44","--","23","--"
2000,"Teton","18,400","1,700","3,600","20","--","*","--","12","--"
2000,"Uinta","19,700","3,300","6,400","95","--","6","--","11","--"
2000,"Washakie","8,300","1,200","2,200","38","--","*","--","*","--"
2000,"Weston","6,600","900","1,600","7","--","*","--","0","--"
2001,"Albany","31,800","2,500","5,700","27","--","7","--","15","--"
2001,"Big Horn","11,300","1,600","3,100","22","--","0","--","8","--"
2001,"Campbell","34,700","5,200","10,300","40","--","8","--","15","--"
2001,"Carbon","15,300","1,800","3,500","14","--","7","--","13","--"
2001,"Converse","12,100","1,700","3,200","24","--","*","--","12","--"
2001,"Crook","5,800","800","1,400","8","--","0","--","*","--"
2001,"Fremont","35,800","4,700","9,500","39","--","0","--","25","--"
2001,"Goshen","12,500","1,500","2,900","10","--","7","--","11","--"
2001,"Hot Springs","4,800","600","1,000","7","--","*","--","*","--"
2001,"Johnson","7,200","800","1,600","17","--","*","--","*","--"
2001,"Laramie","82,400","9,700","20,900","199","--","37","--","35","--"
2001,"Lincoln","14,700","2,200","4,300","18","--","9","--","6","--"
2001,"Natrona","66,900","8,100","16,900","82","--","16","--","45","--"
2001,"Niobrara","2,300","300","500","*","--","*","--","*","--"
2001,"Park","25,800","3,100","6,000","74","--","5","--","29","--"
2001,"Platte","8,800","1,100","2,100","24","--","7","--","10","--"
2001,"Sheridan","26,700","3,200","6,200","30","--","40","--","26","--"
2001,"Sublette","5,900","800","1,400","6","--","0","--","0","--"
2001,"Sweetwater","36,800","5,000","10,100","162","--","31","--","17","--"
2001,"Teton","18,500","1,700","3,600","23","--","*","--","6","--"
2001,"Uinta","19,500","3,200","6,300","33","--","5","--","9","--"
2001,"Washakie","8,100","1,100","2,100","33","--","9","--","*","--"
2001,"Weston","6,500","800","1,500","9","--","*","--","0","--"
2002,"Albany","31,600","2,400","5,600","32","--","11","--","15","--"
2002,"Big Horn","11,200","1,500","3,000","32","--","0","--","12","--"
2002,"Campbell","36,200","5,200","10,400","74","--","11","--","15","--"
2002,"Carbon","15,400","1,700","3,500","17","--","7","--","8","--"
2002,"Converse","12,400","1,700","3,200","37","--","*","--","16","--"
2002,"Crook","5,900","800","1,400","12","--","*","--","*","--"
2002,"Fremont","36,000","4,600","9,400","73","--","*","--","18","--"
2002,"Goshen","12,300","1,500","2,800","16","--","8","--","10","--"
2002,"Hot Springs","4,700","500","1,000","9","--","*","--","9","--"
2002,"Johnson","7,400","900","1,600","*","--","*","--","*","--"
2002,"Laramie","83,200","9,700","20,900","117","--","46","--","57","--"
2002,"Lincoln","14,900","2,200","4,200","29","--","7","--","*","--"
2002,"Natrona","67,500","8,100","16,900","73","--","18","--","41","--"
2002,"Niobrara","2,300","300","500","*","--","0","--","*","--"
2002,"Park","26,000","3,100","5,900","73","--","13","--","23","--"
2002,"Platte","8,800","1,100","2,000","6","--","5","--","13","--"
2002,"Sheridan","27,000","3,200","6,100","16","--","42","--","17","--"
2002,"Sublette","6,200","800","1,500","*","--","0","--","0","--"
2002,"Sweetwater","37,300","4,900","10,000","138","--","50","--","18","--"
2002,"Teton","18,600","1,700","3,600","26","--","*","--","*","--"
2002,"Uinta","19,800","3,000","6,100","43","--","6","--","18","--"
2002,"Washakie","7,900","1,100","2,000","15","--","12","--","16","--"
2002,"Weston","6,600","800","1,500","9","--","*","--","*","--"
2003,"Albany","31,500","2,400","5,600","20","--","*","--","9","--"
2003,"Big Horn","11,200","1,500","2,900","40","--","*","--","14","--"
2003,"Campbell","36,400","4,900","10,100","96","--","17","--","15","--"
2003,"Carbon","15,400","1,600","3,300","21","--","8","--","12","--"
2003,"Converse","12,300","1,600","3,000","23","--","7","--","20","--"
2003,"Crook","6,000","800","1,400","6","--","5","--","0","--"
2003,"Fremont","36,100","4,400","9,100","54","--","9","--","18","--"
2003,"Goshen","12,200","1,400","2,700","14","--","14","--","13","--"
2003,"Hot Springs","4,600","500","900","10","--","*","--","6","--"
2003,"Johnson","7,600","800","1,600","5","--","*","--","6","--"
2003,"Laramie","84,400","9,700","20,800","114","--","58","--","47","--"
2003,"Lincoln","15,200","2,100","4,100","29","--","11","--","5","--"
2003,"Natrona","68,200","7,800","16,500","75","--","21","--","68","--"
2003,"Niobrara","2,300","300","400","7","--","*","--","*","--"
2003,"Park","26,300","2,900","5,700","49","--","8","--","33","--"
2003,"Platte","8,700","1,000","1,900","12","--","11","--","12","--"
2003,"Sheridan","27,100","3,000","5,900","37","--","39","--","25","--"
2003,"Sublette","6,400","800","1,500","6","--","*","--","*","--"
2003,"Sweetwater","37,200","4,700","9,700","128","--","53","--","25","--"
2003,"Teton","18,700","1,600","3,500","28","--","7","--","5","--"
2003,"Uinta","19,800","2,900","5,900","44","--","10","--","16","--"
2003,"Washakie","7,900","1,100","2,000","13","--","0","--","*","--"
2003,"Weston","6,700","700","1,400","7","--","*","--","0","--"
2009,"Albany","34,000","2,100","5,600","33","--","0","--","--","--"
2009,"Big Horn","11,600","1,400","3,000","7","--","*","--","--","--"
2009,"Campbell","44,000","5,100","12,300","80","--","35","--","--","--"
2009,"Carbon","15,700","1,600","3,800","18","--","22","--","--","--"
2009,"Converse","13,600","1,500","3,400","43","--","16","--","--","--"
2009,"Crook","6,700","700","1,500","13","--","0","--","--","--"
2009,"Fremont","38,700","4,200","10,000","23","--","7","--","--","--"
2009,"Goshen","12,300","1,300","2,700","16","--","13","--","--","--"
2009,"Hot Springs","4,600","400","900","9","--","*","--","--","--"
2009,"Johnson","8,500","900","1,900","10","--","*","--","--","--"
2009,"Laramie","88,900","9,000","21,600","122","--","35","--","--","--"
2009,"Lincoln","17,000","2,100","4,900","18","--","*","--","--","--"
2009,"Natrona","74,500","7,800","18,200","75","--","40","--","--","--"
2009,"Niobrara","2,400","200","500","*","--","0","--","--","--"
2009,"Park","28,000","2,700","5,900","43","--","9","--","--","--"
2009,"Platte","8,200","900","1,800","15","--","5","--","--","--"
2009,"Sheridan","29,200","2,900","6,500","27","--","23","--","--","--"
2009,"Sublette","8,800","1,000","2,300","14","--","10","--","--","--"
2009,"Sweetwater","41,200","4,600","11,500","95","--","36","--","--","--"
2009,"Teton","20,700","1,400","3,900","14","--","*","--","--","--"
2009,"Uinta","20,900","2,800","6,400","41","--","7","--","--","--"
2009,"Washakie","7,900","1,000","2,000","10","--","*","--","--","--"
2009,"Weston","7,000","700","1,500","9","--","0","--","--","--"
2010,"Albany","36,400","2,400","6,100","24","--","*","--","--","--"
2010,"Big Horn","11,700","1,400","3,000","10","--","5","--","--","--"
2010,"Campbell","46,200","5,400","13,000","93","--","32","--","--","--"
2010,"Carbon","15,800","1,600","3,700","21","--","9","--","--","--"
2010,"Converse","13,800","1,600","3,500","45","--","13","--","--","--"
2010,"Crook","7,100","700","1,700","11","--","*","--","--","--"
2010,"Fremont","40,200","4,200","10,300","39","--","6","--","--","--"
2010,"Goshen","13,400","1,300","2,700","27","--","12","--","--","--"
2010,"Hot Springs","4,800","400","1,000","9","--","*","--","--","--"
2010,"Johnson","8,600","800","1,900","6","--","7","--","--","--"
2010,"Laramie","92,200","9,500","22,400","133","--","26","--","--","--"
2010,"Lincoln","18,100","2,300","5,100","25","--","0","--","--","--"
2010,"Natrona","75,500","7,700","18,000","66","--","30","--","--","--"
2010,"Niobrara","2,500","200","500","*","--","0","--","--","--"
2010,"Park","28,300","2,700","5,900","46","--","*","--","--","--"
2010,"Platte","8,700","900","1,800","36","--","5","--","--","--"
2010,"Sheridan","29,100","2,900","6,500","18","--","18","--","--","--"
2010,"Sublette","10,200","1,000","2,400","14","--","5","--","--","--"
2010,"Sweetwater","43,600","4,800","11,800","90","--","21","--","--","--"
2010,"Teton","21,300","1,700","4,100","*","--","*","--","--","--"
2010,"Uinta","21,100","2,800","6,400","19","--","*","--","--","--"
2010,"Washakie","8,500","1,000","2,200","11","--","5","--","--","--"
2010,"Weston","7,200","700","1,600","8","--","*","--","--","--"
2011,"Albany","36,900","2,400","6,100","32","--","*","--","19","--"
2011,"Big Horn","11,700","1,400","3,000","16","--","*","--","15","--"
2011,"Campbell","46,600","5,400","13,100","85","--","26","--","62","--"
2011,"Carbon","15,800","1,600","3,700","20","--","15","--","23","--"
2011,"Converse","13,700","1,500","3,400","23","--","7","--","17","--"
2011,"Crook","7,100","700","1,700","*","--","*","--","7","--"
2011,"Fremont","40,600","4,200","10,400","29","--","*","--","26","--"
2011,"Goshen","13,600","1,300","2,700","31","--","13","--","9","--"
2011,"Hot Springs","4,800","400","900","21","--","*","--","11","--"
2011,"Johnson","8,600","800","1,900","10","--","*","--","12","--"
2011,"Laramie","92,600","9,400","22,300","99","--","30","--","46","--"
2011,"Lincoln","18,000","2,200","5,000","26","--","0","--","5","--"
2011,"Natrona","76,400","7,700","18,100","62","--","14","--","119","--"
2011,"Niobrara","2,500","200","400","*","--","*","--","*","--"
2011,"Park","28,500","2,700","6,000","38","--","13","--","22","--"
2011,"Platte","8,700","800","1,700","39","--","8","--","14","--"
2011,"Sheridan","29,300","2,800","6,400","23","--","20","--","27","--"
2011,"Sublette","10,100","1,100","2,400","13","--","8","--","*","--"
2011,"Sweetwater","44,000","4,900","11,900","112","--","28","--","56","--"
2011,"Teton","21,500","1,700","4,200","12","--","*","--","5","--"
2011,"Uinta","20,900","2,800","6,300","20","--","*","--","12","--"
2011,"Washakie","8,500","1,000","2,100","16","--","*","--","6","--"
2011,"Weston","7,100","700","1,600","*","--","0","--","*","--"
2012,"Albany","37,400","2,400","6,200","25","--","5","--","10","--"
2012,"Big Horn","11,800","1,400","3,000","27","--","6","--","12","--"
2012,"Campbell","47,900","5,500","13,400","126","--","33","--","79","--"
2012,"Carbon","15,700","1,600","3,600","11","--","7","--","12","--"
2012,"Converse","14,000","1,600","3,500","32","--","*","--","18","--"
2012,"Crook","7,100","700","1,700","5","--","*","--","5","--"
2012,"Fremont","41,100","4,300","10,400","24","--","*","--","12","--"
2012,"Goshen","13,700","1,300","2,700","36","--","12","--","5","--"
2012,"Hot Springs","4,800","500","1,000","6","--","*","--","11","--"
2012,"Johnson","8,600","800","1,900","6","--","*","--","8","--"
2012,"Laramie","94,800","9,500","22,400","76","--","18","--","36","--"
2012,"Lincoln","17,900","2,200","4,900","13","--","0","--","6","--"
2012,"Natrona","78,700","7,900","18,700","60","--","25","--","62","--"
2012,"Niobrara","2,500","200","400","0","--","0","--","*","--"
2012,"Park","28,800","2,700","6,000","41","--","10","--","25","--"
2012,"Platte","8,700","800","1,700","24","--","*","--","7","--"
2012,"Sheridan","29,600","2,900","6,400","20","--","20","--","22","--"
2012,"Sublette","10,400","1,100","2,500","15","--","*","--","0","--"
2012,"Sweetwater","45,100","5,100","12,100","72","--","32","--","64","--"
2012,"Teton","21,700","1,700","4,200","19","--","*","--","*","--"
2012,"Uinta","21,000","2,800","6,200","25","--","0","--","6","--"
2012,"Washakie","8,400","1,000","2,100","25","--","0","--","16","--"
2012,"Weston","7,100","700","1,500","5","--","0","--","*","--"
2013,"Albany","37,600","2,400","6,100","35","--","*","--","9","--"
2013,"Big Horn","12,000","1,400","3,000","30","--","5","--","20","--"
2013,"Campbell","48,200","5,600","13,500","102","--","25","--","82","--"
2013,"Carbon","15,800","1,600","3,700","8","--","10","--","18","--"
2013,"Converse","14,300","1,600","3,600","57","--","*","--","15","--"
2013,"Crook","7,200","700","1,700","5","--","*","--","6","--"
2013,"Fremont","41,100","4,300","10,400","31","--","*","--","18","--"
2013,"Goshen","13,600","1,300","2,700","17","--","5","--","12","--"
2013,"Hot Springs","4,900","500","1,000","6","--","*","--","7","--"
2013,"Johnson","8,600","800","1,900","12","--","0","--","12","--"
2013,"Laramie","96,000","9,600","22,600","152","--","20","--","52","--"
2013,"Lincoln","18,300","2,200","5,000","15","--","*","--","*","--"
2013,"Natrona","81,100","8,200","19,300","57","--","25","--","101","--"
2013,"Niobrara","2,500","200","500","*","--","*","--","*","--"
2013,"Park","29,200","2,700","6,000","31","--","5","--","20","--"
2013,"Platte","8,700","900","1,800","17","--","17","--","16","--"
2013,"Sheridan","29,800","2,900","6,400","23","--","16","--","21","--"
2013,"Sublette","10,100","1,100","2,400","7","--","*","--","*","--"
2013,"Sweetwater","45,200","5,200","12,200","94","--","23","--","79","--"
2013,"Teton","22,400","1,700","4,300","16","--","*","--","*","--"
2013,"Uinta","21,000","2,800","6,200","12","--","*","--","11","--"
2013,"Washakie","8,400","1,000","2,100","30","--","*","--","11","--"
2013,"Weston","7,200","700","1,500","8","--","*","--","5","--"
2015,"Albany","38,100","2,400","6,200","24","--","*","--","13","--"
2015,"Big Horn","12,000","1,500","3,100","14","--","5","--","14","--"
2015,"Campbell","49,300","5,800","13,900","110","--","30","--","100","--"
2015,"Carbon","15,600","1,600","3,700","10","--","8","--","165","--"
2015,"Converse","14,300","1,600","3,700","32","--","10","--","32","--"
2015,"Crook","7,400","800","1,800","7","--","*","--","7","--"
2015,"Fremont","40,400","4,300","10,300","52","--","8","--","49","--"
2015,"Goshen","13,600","1,300","2,800","15","--","5","--","13","--"
2015,"Hot Springs","4,700","400","1,000","*","--","*","--","5","--"
2015,"Johnson","8,600","800","1,900","11","--","*","--","14","--"
2015,"Laramie","97,200","9,900","22,900","165","--","32","--","91","--"
2015,"Lincoln","18,800","2,300","5,100","8","--","6","--","7","--"
2015,"Natrona","82,200","8,300","19,900","37","--","20","--","78","--"
2015,"Niobrara","2,500","200","500","*","--","0","--","*","--"
2015,"Park","29,100","2,600","5,900","25","--","15","--","32","--"
2015,"Platte","8,800","800","1,800","19","--","16","--","16","--"
2015,"Sheridan","30,100","2,900","6,500","21","--","12","--","25","--"
2015,"Sublette","9,900","1,000","2,400","11","--","*","--","7","--"
2015,"Sweetwater","44,700","5,200","12,100","78","--","44","--","87","--"
2015,"Teton","23,100","1,800","4,300","14","--","*","--","*","--"
2015,"Uinta","20,800","2,700","6,200","33","--","0","--","23","--"
2015,"Washakie","8,300","1,000","2,000","12","--","0","--","12","--"
2015,"Weston","7,200","700","1,600","8","--","0","--","8","--"
