period,Total Children in Care,Psychiatric RTC,Relative foster home,Supervised Independent Living,Long Term FC Non Relative,Long Term FC Relative,Interim,Boys School,State Hospital,Girls School,Hospital,Total Family-like setting,Therapeutic FC Non Relative,Specialized FC Relative,Jail,Pre-adoptive home,Crisis Center,Detention,district,Therapeutic FC Relative,Trial Home Visit,Runaway,Total Group Care,Non-relative foster home,Residential Treatment,Group Home,Specialized FC Non Relative,Unknown
Mar 2014,28,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,9,0,0,0,28,0,6,11,0,0
Apr 2014,28,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,9,0,0,0,28,0,6,10,0,0
May 2014,26,1,1,0,0,0,0,7,0,1,0,1,0,0,0,0,0,2,9,0,0,0,25,0,5,9,0,0
Jun 2014,25,1,1,0,0,0,0,6,0,1,0,1,0,0,0,0,0,2,9,0,0,0,24,0,6,8,0,0
Jul 2014,25,1,2,0,0,0,0,6,0,1,0,2,0,0,0,0,0,0,9,0,0,0,23,0,9,6,0,0
Aug 2014,24,1,1,1,0,0,0,6,0,1,0,3,0,0,0,0,0,0,9,0,1,0,21,0,7,6,0,0
Sep 2014,26,1,1,1,0,0,0,6,0,1,0,4,0,0,0,0,0,1,9,0,2,0,22,0,7,6,0,0
Oct 2014,27,1,1,0,0,0,0,6,0,1,0,2,0,0,0,0,0,2,9,0,1,1,24,0,5,9,0,0
Nov 2014,28,1,0,0,0,0,0,7,0,1,0,2,0,0,0,0,0,4,9,0,2,1,25,0,6,6,0,0
Dec 2014,24,1,0,0,0,0,0,7,0,1,0,2,0,0,0,0,0,2,9,0,2,0,22,0,5,6,0,0
Jan 2015,25,2,0,0,0,0,0,8,0,1,0,1,0,0,0,0,0,2,9,0,1,0,24,0,4,7,0,0
Feb 2015,24,3,0,0,0,0,0,8,0,1,0,1,0,0,0,0,0,1,9,0,1,0,23,0,3,7,0,0
Mar 2015,23,4,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,9,0,0,0,23,0,3,7,0,0
Apr 2015,24,4,0,0,0,0,0,7,0,1,0,1,0,0,0,0,0,1,9,0,1,0,23,0,4,6,0,0
May 2015,25,4,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,1,9,0,1,0,24,0,4,8,0,0
Jun 2015,27,5,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,2,9,0,1,0,26,0,5,8,0,0
Jul 2015,26,5,0,0,0,0,0,4,0,3,0,1,0,0,0,0,0,0,9,0,1,0,25,0,5,8,0,0
Aug 2015,23,5,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,9,0,1,0,22,0,5,6,0,0
Sep 2015,21,5,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,9,0,1,0,20,0,5,5,0,0
Oct 2015,21,3,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,9,0,1,0,20,0,5,7,0,0
Nov 2015,21,3,0,0,0,0,0,3,0,4,0,2,0,0,0,0,0,0,9,0,2,0,19,0,4,5,0,0
Dec 2015,19,3,0,0,0,0,0,3,0,4,0,1,0,0,0,0,0,0,9,0,1,0,18,0,4,4,0,0
Jan 2016,19,3,0,0,0,0,0,3,0,4,0,1,0,0,0,0,0,0,9,0,1,0,18,0,3,5,0,0
Feb 2016,20,2,1,0,0,0,0,4,0,5,0,2,0,0,0,0,0,0,9,0,1,0,18,0,2,5,0,0
Mar 2016,19,3,1,0,0,0,0,3,0,5,0,3,0,0,0,0,0,0,9,0,2,0,16,0,2,3,0,0
Apr 2016,18,4,1,0,0,0,0,2,0,4,0,3,0,0,0,0,0,1,9,0,2,0,15,0,1,3,0,0
May 2016,17,4,1,0,0,0,0,2,0,3,0,2,0,0,0,0,1,3,9,0,1,0,15,0,1,1,0,0
Jun 2016,16,3,1,0,0,0,0,3,0,3,0,2,0,0,0,0,0,2,9,0,1,0,14,0,2,1,0,0
Jul 2016,16,3,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,9,0,0,0,16,0,3,3,0,0
Aug 2016,17,0,0,0,0,0,0,4,0,1,0,3,0,0,0,0,0,0,9,0,3,0,14,0,4,5,0,0
Sep 2016,18,2,0,0,0,0,0,5,0,1,0,3,0,0,0,0,0,0,9,0,3,0,15,0,2,5,0,0
Oct 2016,18,2,0,0,0,0,0,4,0,1,0,3,0,0,0,0,0,0,9,0,3,0,15,0,3,5,0,0
Nov 2016,19,3,0,0,0,0,0,5,0,1,0,2,0,0,0,0,0,0,9,0,2,0,17,0,3,5,0,0
Dec 2016,18,4,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,9,0,0,0,18,0,3,5,0,0
Jan 2017,20,5,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,9,0,0,0,20,0,4,6,0,0
Feb 2017,21,5,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,9,0,0,0,21,0,5,6,0,0
Mar 2017,18,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,9,0,2,0,16,0,7,4,0,0
Apr 2017,16,3,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,9,0,1,0,14,1,6,3,0,0
May 2017,17,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,9,0,0,0,16,1,6,3,0,0
Jun 2017,17,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,9,0,0,0,16,1,4,5,0,0
Jul 2017,16,4,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,9,0,0,0,15,1,4,3,0,0
Aug 2017,16,4,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,1,9,0,1,0,15,0,4,1,0,0
Sep 2017,15,3,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,9,0,1,0,14,0,5,0,0,0
Oct 2017,16,3,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,9,0,1,0,15,0,4,4,0,0
Nov 2017,15,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,9,0,0,0,15,0,4,3,0,0
Dec 2017,15,3,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,9,0,1,0,14,0,4,3,0,0
Jan 2018,15,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,9,0,0,0,15,0,5,3,0,0
Feb 2018,16,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,9,0,0,0,16,0,6,2,0,0
Mar 2018,17,3,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,9,0,1,0,16,0,6,3,0,0
Apr 2018,15,2,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,1,9,0,2,0,13,0,3,3,0,0
May 2018,11,1,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,1,9,0,1,0,10,0,2,2,0,0
