period,Psychiatric RTC,Relative foster home,Supervised Independent Living,Long Term FC Non Relative,Long Term FC Relative,Interim,Boys School,State Hospital,Girls School,Total Children in Care,Hospital,Total Family-like setting,Therapeutic FC Non Relative,Specialized FC Relative,Jail,Pre-adoptive home,Crisis Center,Detention,district,Therapeutic FC Relative,Trial Home Visit,Runaway,Total Group Care,Non-relative foster home,Residential Treatment,Group Home,Specialized FC Non Relative,Unknown
Oct 2013,8,0,0,0,0,0,11,0,2,60,0,7,0,0,0,0,0,5,1,0,1,0,53,6,26,1,0,0
Nov 2013,6,0,0,0,0,0,12,0,2,59,0,7,0,0,0,0,0,8,1,0,0,0,52,7,24,0,0,0
Dec 2013,6,0,0,0,0,0,10,0,1,56,0,5,0,0,0,0,1,8,1,0,0,0,51,5,25,0,0,0
Jan 2014,5,0,0,0,0,0,9,0,2,56,1,7,0,0,0,0,1,9,1,0,1,0,49,6,22,0,0,0
Feb 2014,6,0,0,0,0,0,11,0,2,61,1,6,0,0,0,0,0,9,1,0,1,1,54,5,24,1,0,0
Mar 2014,6,0,1,0,0,0,10,0,3,64,1,8,0,0,0,0,0,11,1,0,1,2,54,6,21,2,0,0
Apr 2014,6,0,1,0,0,0,12,0,4,65,1,10,0,0,0,0,0,8,1,0,1,1,54,8,22,1,0,0
May 2014,6,0,1,0,0,0,9,0,5,58,1,10,0,0,0,0,0,3,1,0,0,0,48,9,23,1,0,0
Jun 2014,6,0,0,0,0,0,9,0,6,55,0,8,0,0,0,0,0,6,1,0,1,0,47,7,19,1,0,0
Jul 2014,6,0,0,0,0,0,7,0,6,53,0,5,0,0,0,0,0,8,1,0,0,2,46,5,18,1,0,0
Aug 2014,4,0,0,0,0,0,8,0,6,50,0,5,0,0,0,0,1,5,1,0,1,3,42,4,17,1,0,0
Sep 2014,3,1,0,0,0,0,9,0,6,55,0,6,0,0,0,0,0,11,1,0,1,2,47,4,17,1,0,0
Oct 2014,4,1,0,0,0,0,7,0,6,56,0,5,0,0,0,0,1,9,1,0,1,2,49,3,21,1,0,0
Nov 2014,5,0,0,0,0,0,7,0,7,58,0,3,0,0,0,0,0,11,1,0,1,2,53,2,22,1,0,0
Dec 2014,3,0,0,0,0,0,7,0,6,59,0,5,0,0,0,0,0,13,1,0,2,2,52,3,23,0,0,0
Jan 2015,2,0,0,0,0,0,6,0,5,57,0,5,0,0,0,0,1,19,1,0,1,1,51,4,18,0,0,0
Feb 2015,5,0,0,0,0,0,9,0,6,61,0,4,0,0,0,0,3,10,1,0,0,1,56,4,23,0,0,0
Mar 2015,5,0,0,0,0,0,10,0,5,63,0,4,0,0,0,0,2,13,1,0,0,0,59,4,24,0,0,0
Apr 2015,5,0,0,0,0,0,8,0,5,62,0,4,0,0,0,0,2,11,1,0,0,0,58,4,27,0,0,0
May 2015,4,1,0,0,0,0,9,0,5,59,0,5,0,0,0,0,0,11,1,0,0,0,54,4,25,0,0,0
Jun 2015,3,1,0,0,0,0,11,0,5,54,0,6,0,0,0,0,0,8,1,0,0,0,48,5,21,0,0,0
Jul 2015,6,1,0,0,0,0,12,0,5,62,0,6,0,0,0,0,0,11,1,0,0,0,56,5,21,1,0,0
Aug 2015,3,1,0,0,0,0,10,0,5,53,0,9,0,0,0,0,0,4,1,0,0,0,44,8,21,1,0,0
Sep 2015,4,1,0,0,0,0,10,0,5,57,0,8,0,0,0,0,0,8,1,0,0,0,49,7,21,1,0,0
Oct 2015,2,2,0,0,0,0,12,0,4,57,0,9,0,0,0,0,0,9,1,0,0,1,47,7,19,1,0,0
Nov 2015,3,2,0,0,0,0,11,0,4,56,0,9,0,0,0,0,0,11,1,0,0,1,46,7,16,1,0,0
Dec 2015,2,2,0,0,0,0,14,0,3,58,0,10,0,0,0,0,0,10,1,0,0,1,47,8,17,1,0,0
Jan 2016,5,2,1,0,0,0,14,0,2,56,0,12,0,0,0,0,0,6,1,0,0,1,43,9,15,1,0,0
Feb 2016,5,2,1,0,0,0,13,0,2,58,0,11,0,0,0,0,1,8,1,0,0,0,47,8,16,2,0,0
Mar 2016,4,2,0,0,0,0,11,0,3,56,0,11,0,0,0,0,0,9,1,0,0,2,43,9,15,1,0,0
Apr 2016,5,1,0,0,0,0,9,0,3,54,0,11,0,0,0,0,0,5,1,0,1,1,42,9,19,1,0,0
May 2016,3,2,0,0,0,0,9,0,3,55,0,11,0,0,0,0,0,9,1,0,2,0,44,7,19,1,0,0
Jun 2016,4,0,0,0,0,0,8,0,2,52,0,10,0,0,0,0,0,8,1,0,2,1,41,8,18,1,0,0
Jul 2016,6,0,0,0,0,0,10,0,2,49,0,8,0,0,0,0,0,9,1,0,2,0,41,6,13,1,0,0
Aug 2016,6,2,0,0,0,0,9,0,1,47,0,9,0,0,0,0,0,9,1,0,1,0,38,6,12,1,0,0
Sep 2016,9,1,0,0,0,0,11,0,1,49,0,7,0,0,0,0,0,7,1,0,0,0,42,6,13,1,0,0
Oct 2016,9,2,0,0,0,0,12,0,1,51,0,8,0,0,0,0,0,6,1,0,0,1,42,6,13,1,0,0
Nov 2016,10,2,0,0,0,0,11,0,1,51,0,9,0,0,0,0,1,6,1,0,0,0,42,7,12,1,0,0
Dec 2016,9,2,0,0,0,0,11,0,1,51,0,11,0,0,0,0,1,5,1,0,1,1,39,8,11,1,0,0
Jan 2017,9,1,0,0,0,0,11,0,1,45,2,11,0,0,0,0,0,3,1,0,1,0,34,9,7,1,0,0
Feb 2017,10,1,0,0,0,0,11,0,2,45,0,9,0,0,0,0,1,4,1,0,1,0,36,7,7,1,0,0
Mar 2017,10,2,0,0,0,0,10,0,2,46,0,10,0,0,0,0,1,5,1,0,1,0,36,7,7,1,0,0
Apr 2017,9,2,0,0,0,0,10,0,2,43,0,8,0,0,0,0,0,7,1,0,1,0,35,5,6,1,0,0
May 2017,7,1,0,0,0,0,8,0,2,40,0,7,0,0,0,0,0,8,1,0,1,0,33,5,7,1,0,0
Jun 2017,7,2,0,0,0,0,9,0,4,44,0,7,0,0,0,0,1,5,1,0,1,0,37,4,11,0,0,0
Jul 2017,6,2,0,0,0,0,9,0,4,44,0,7,0,0,0,0,1,2,1,0,1,0,37,4,15,0,0,0
Aug 2017,5,2,0,0,0,0,8,0,2,44,0,9,1,0,0,0,1,6,1,0,0,0,35,6,13,0,0,0
Sep 2017,4,2,0,0,0,0,8,0,3,47,0,7,1,0,0,0,4,7,1,0,0,0,40,4,14,0,0,0
Oct 2017,6,3,0,0,0,0,7,0,2,48,0,9,1,0,0,0,1,6,1,0,1,0,39,4,17,0,0,0
Nov 2017,7,3,0,0,0,0,5,0,2,50,0,9,1,0,0,0,4,9,1,0,2,0,41,3,14,0,0,0
Dec 2017,7,3,0,0,0,0,4,0,1,45,0,12,1,0,0,0,2,8,1,0,2,0,33,6,11,0,0,0
Jan 2018,6,4,0,0,0,0,3,0,1,43,0,13,1,0,0,0,4,2,1,0,3,0,30,5,14,0,0,0
Feb 2018,7,4,0,0,0,0,3,0,1,48,0,14,1,0,0,0,4,6,1,0,3,1,33,6,12,0,0,0
Mar 2018,7,4,0,0,0,0,5,0,2,47,0,14,1,0,0,0,3,2,1,0,4,0,33,5,14,0,0,0
Apr 2018,7,3,0,0,0,0,5,0,2,51,0,14,1,0,0,0,2,5,1,0,4,1,36,6,15,0,0,0
May 2018,7,4,0,0,0,0,2,0,3,47,0,14,1,0,0,0,0,4,1,0,3,1,32,6,16,0,0,0
