period,Total Children in Care,Psychiatric RTC,Relative foster home,Supervised Independent Living,Long Term FC Non Relative,Long Term FC Relative,Interim,Boys School,State Hospital,Girls School,Hospital,Total Family-like setting,Therapeutic FC Non Relative,Specialized FC Relative,Jail,Pre-adoptive home,Crisis Center,Detention,district,Therapeutic FC Relative,Trial Home Visit,Runaway,Total Group Care,Non-relative foster home,Residential Treatment,Group Home,Specialized FC Non Relative,Unknown
May 2015,40,5,0,0,0,0,0,12,0,4,0,1,0,0,1,0,3,0,6,0,0,0,39,1,12,2,0,0
Jun 2015,40,5,0,0,0,0,0,12,0,4,0,0,0,0,2,0,3,0,6,0,0,0,40,0,12,2,0,0
Jul 2015,36,5,0,0,0,0,0,11,0,4,0,1,0,0,1,0,1,0,6,0,1,0,35,0,11,2,0,0
Aug 2015,33,5,0,0,0,0,0,8,0,3,0,0,0,0,0,0,1,3,6,0,0,0,33,0,11,2,0,0
Sep 2015,34,4,0,0,0,0,0,10,0,2,0,0,0,0,0,0,1,0,6,0,0,0,34,0,11,6,0,0
Oct 2015,35,4,0,0,0,0,0,8,0,2,0,1,0,0,2,0,0,3,6,0,0,0,34,1,10,5,0,0
Nov 2015,37,4,0,0,0,0,0,10,0,2,0,1,0,0,1,0,0,1,6,0,0,0,36,1,13,5,0,0
Dec 2015,39,5,0,0,0,0,0,8,0,3,0,1,0,0,0,0,1,1,6,0,0,0,38,1,17,3,0,0
Jan 2016,38,5,0,0,0,0,0,7,0,1,0,2,0,0,0,0,0,2,6,0,0,0,36,2,15,6,0,0
Feb 2016,42,7,0,0,0,0,0,8,0,3,0,2,0,0,0,0,0,0,6,0,0,0,40,2,16,6,0,0
Mar 2016,37,7,0,0,0,0,0,7,0,3,0,2,0,0,0,0,0,0,6,0,0,0,35,2,14,4,0,0
Apr 2016,40,7,0,0,0,0,0,7,0,3,0,2,0,0,0,0,2,1,6,0,0,0,38,2,13,5,0,0
May 2016,40,6,0,0,0,0,0,6,0,3,0,3,0,0,0,0,4,0,6,0,1,0,37,2,14,4,0,0
Jun 2016,37,8,0,0,0,0,0,6,0,3,0,2,0,0,0,0,2,1,6,0,1,0,35,1,11,4,0,0
Jul 2016,39,8,0,0,0,0,0,5,0,4,0,2,0,0,1,0,3,3,6,0,2,0,37,0,10,3,0,0
Aug 2016,31,6,0,0,0,0,0,4,0,3,0,0,0,0,1,0,2,1,6,0,0,0,31,0,10,4,0,0
Sep 2016,33,5,0,0,0,0,0,6,0,4,0,1,0,0,0,0,2,0,6,0,0,0,32,1,9,6,0,0
Oct 2016,33,4,0,0,0,0,0,6,0,4,0,1,0,0,0,0,3,0,6,0,0,0,32,1,9,6,0,0
Nov 2016,35,5,1,0,0,0,0,6,0,4,0,2,0,0,1,0,2,0,6,0,1,0,33,0,10,5,0,0
Dec 2016,34,7,1,0,0,0,0,5,0,2,0,1,0,0,0,0,0,0,6,0,0,0,33,0,16,3,0,0
Jan 2017,40,7,0,1,0,0,0,4,0,2,0,1,0,0,0,0,1,1,6,0,0,0,39,0,18,6,0,0
Feb 2017,42,9,0,0,0,0,0,3,0,2,0,1,0,0,0,0,2,2,6,0,1,0,41,0,19,4,0,0
Mar 2017,39,6,0,0,0,0,0,8,0,1,0,2,0,0,0,0,1,1,6,0,2,1,36,0,18,1,0,0
Apr 2017,36,5,0,0,0,0,0,9,0,2,0,1,0,0,0,0,0,3,6,0,1,1,34,0,14,1,0,0
May 2017,37,7,0,1,0,0,0,7,0,3,0,1,0,0,1,0,2,2,6,0,0,1,35,0,11,2,0,0
Jun 2017,38,9,0,0,0,0,0,9,0,3,0,0,0,0,0,0,1,2,6,0,0,1,37,0,12,1,0,0
Jul 2017,39,8,1,0,0,0,0,10,0,2,0,1,0,0,0,0,2,0,6,0,0,1,37,0,14,1,0,0
Aug 2017,35,5,1,0,0,0,0,8,0,2,0,1,0,0,0,0,3,0,6,0,0,1,33,0,12,3,0,0
Sep 2017,32,5,1,0,0,0,0,7,0,2,0,1,0,0,0,0,3,1,6,0,0,0,31,0,11,2,0,0
Oct 2017,30,2,1,0,0,0,0,6,1,2,0,1,0,0,0,0,3,0,6,0,0,0,29,0,12,3,0,0
Nov 2017,27,1,1,0,0,0,0,5,1,3,0,2,0,0,1,0,1,0,6,0,1,0,25,0,9,4,0,0
Dec 2017,29,0,1,0,0,0,0,5,1,2,0,3,0,0,1,0,3,1,6,0,2,0,25,0,11,1,0,1
Jan 2018,25,1,1,0,0,0,0,4,0,3,0,2,0,0,0,0,1,1,6,0,1,0,22,0,11,1,0,1
Feb 2018,27,2,0,0,0,0,0,4,0,3,0,1,0,0,0,0,0,0,6,0,1,0,25,0,13,3,0,1
Mar 2018,31,2,0,0,0,0,0,4,0,3,0,1,0,0,1,0,1,3,6,0,1,0,29,0,13,2,0,1
Apr 2018,34,2,1,0,0,0,0,6,0,3,0,2,0,0,0,0,1,2,6,0,1,0,31,0,14,3,0,1
May 2018,36,5,1,0,0,0,0,7,0,2,0,3,0,0,0,0,1,2,6,0,1,0,32,1,13,2,0,1
