Report Period,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,
Crisis Center,0,0,0,0,0,0,0,1,
Hospital,0,0,0,0,0,0,0,1,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,1,0,1,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Sep 30, 2014","Oct 31, 2014","Nov 30, 2014","Dec 31, 2014","Jan 31, 2015","Feb 28, 2015","Mar 31, 2015","Apr 30, 2015",
Report Period,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,
Total Children in Care,72,62,60,52,57,60,63,64,
Total Family-like setting,1,1,1,1,1,2,1,1,
Relative foster home,0,1,1,1,1,1,1,1,
Non-relative foster home,0,0,0,0,0,0,0,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,1,0,0,0,0,1,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,71,61,59,50,56,58,61,63,
Group Home,23,19,15,9,11,13,14,17,
Residential Treatment,23,17,19,18,15,16,13,13,
Psychiatric RTC,2,3,4,2,3,3,4,3,
Boys School,14,17,15,14,19,21,20,19,
Girls School,6,4,5,2,2,3,7,8,
Detention,2,0,0,3,3,1,2,2,
Crisis Center,1,1,1,1,2,1,1,1,
Hospital,0,0,0,1,1,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,1,0,0,1,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"May 31, 2015","Jun 30, 2015","Jul 31, 2015","Aug 31, 2015","Sep 30, 2015","Oct 31, 2015","Nov 30, 2015","Dec 31, 2015",
Report Period,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,
Total Children in Care,59,68,72,75,76,69,73,67,
Total Family-like setting,1,1,1,1,1,1,3,3,
Relative foster home,0,0,0,0,0,0,1,1,
Non-relative foster home,0,0,0,0,0,0,1,1,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,1,1,1,1,1,1,1,1,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,58,67,71,74,75,68,70,64,
Group Home,17,21,24,21,21,21,19,14,
Residential Treatment,9,10,14,16,22,22,22,17,
Psychiatric RTC,3,3,3,3,2,1,2,2,
Boys School,18,19,18,21,16,16,19,20,
Girls School,9,10,9,10,13,8,8,10,
Detention,1,3,1,1,1,0,0,1,
Crisis Center,1,1,1,1,0,0,0,0,
Hospital,0,0,1,1,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Jan 31, 2016","Feb 29, 2016","Mar 31, 2016","Apr 30, 2016","May 31, 2016","Jun 30, 2016","Jul 31, 2016","Aug 31, 2016",
Report Period,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,
Total Children in Care,76,77,75,73,80,78,78,87,
Total Family-like setting,3,3,2,2,2,1,0,0,
Relative foster home,1,1,1,1,1,1,0,0,
Non-relative foster home,1,1,1,1,1,0,0,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,1,1,0,0,0,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,73,74,73,71,77,77,78,87,
Group Home,22,23,20,24,26,20,25,29,
Residential Treatment,17,17,17,14,15,17,17,17,
Psychiatric RTC,1,1,1,1,1,1,1,2,
Boys School,19,18,20,16,15,16,18,19,
Girls School,13,12,13,15,15,18,14,14,
Detention,1,2,2,1,4,5,3,6,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,1,0,0,1,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,1,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Sep 30, 2016","Oct 31, 2016","Nov 30, 2016","Dec 31, 2016","Jan 31, 2017","Feb 28, 2017","Mar 31, 2017","Apr 30, 2017",
Report Period,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,
Total Children in Care,85,81,81,78,82,79,81,76,
Total Family-like setting,1,1,1,1,1,1,2,3,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,0,0,0,0,0,1,1,2,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,1,1,1,1,1,0,1,1,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,84,80,80,77,80,77,78,72,
Group Home,25,22,26,23,23,21,19,20,
Residential Treatment,18,17,18,17,20,26,27,30,
Psychiatric RTC,2,2,2,3,3,1,1,1,
Boys School,23,24,22,23,23,21,21,14,
Girls School,14,13,10,10,10,8,10,7,
Detention,1,1,1,1,1,0,0,0,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,1,1,1,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,1,1,1,1,
Date data are based,"May 31, 2017","Jun 30, 2017","Jul 31, 2017","Aug 31, 2017","Sep 30, 2017","Oct 31, 2017","Nov 30, 2017","Dec 31, 2017",
Report Period,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,
Total Children in Care,78,77,85,84,75,
Total Family-like setting,3,3,4,3,2,
Relative foster home,0,0,1,1,0,
Non-relative foster home,1,1,1,1,1,
Pre-adoptive home,0,0,0,0,0,
Trial Home Visit,2,2,2,1,1,
Supervised Independent Living,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,
Total Group Care,75,74,81,81,73,
Group Home,22,24,24,23,18,
Residential Treatment,30,29,28,28,27,
Psychiatric RTC,2,3,4,4,5,
Boys School,14,12,15,16,14,
Girls School,7,5,8,10,8,
Detention,0,1,2,0,1,
Crisis Center,0,0,0,0,0,
Hospital,0,0,0,0,0,
State Hospital,0,0,0,0,0,
Jail,0,0,0,0,0,
Runaway,0,0,0,0,0,
Interim,0,0,0,0,0,
Unknown,0,0,0,0,0,
Date data are based,"Jan 31, 2018","Feb 28, 2018","Mar 31, 2018","Apr 30, 2018","May 31, 2018",
