period,Total Children in Care,Psychiatric RTC,Relative foster home,Supervised Independent Living,Long Term FC Non Relative,Long Term FC Relative,Interim,Boys School,State Hospital,Girls School,Hospital,Total Family-like setting,Therapeutic FC Non Relative,Specialized FC Relative,Jail,Pre-adoptive home,Crisis Center,Detention,district,Therapeutic FC Relative,Trial Home Visit,Runaway,Total Group Care,Non-relative foster home,Residential Treatment,Group Home,Specialized FC Non Relative,Unknown
Feb 2013,18,1,0,2,0,0,0,8,0,0,0,4,0,0,1,0,0,0,2,0,0,0,14,2,4,0,0,0
Mar 2013,19,1,0,2,0,0,0,6,0,0,0,6,0,0,0,0,0,1,2,0,0,0,13,4,4,1,0,0
Apr 2013,18,1,0,2,0,0,0,6,0,0,0,6,0,0,0,0,0,1,2,0,0,0,12,4,4,0,0,0
May 2013,20,1,0,2,0,0,0,6,0,0,0,6,0,0,0,0,0,2,2,0,0,0,14,4,4,1,0,0
Jun 2013,18,1,0,1,0,0,0,6,0,1,0,4,0,0,0,0,0,1,2,0,0,1,13,3,4,0,0,0
Jul 2013,16,1,1,0,0,0,0,5,0,1,0,3,0,0,0,0,0,0,2,0,0,1,12,2,3,2,0,0
Aug 2013,18,1,2,0,0,0,0,4,0,1,0,5,0,0,1,0,0,1,2,0,0,0,13,3,3,2,0,0
Sep 2013,20,1,2,0,0,0,0,3,0,1,0,7,0,0,1,0,0,2,2,0,0,0,13,5,4,1,0,0
Oct 2013,20,1,3,0,0,0,0,5,0,1,0,8,0,0,0,0,0,0,2,0,0,0,12,5,4,1,0,0
Nov 2013,18,1,2,0,0,0,0,5,0,1,0,6,0,0,0,0,0,0,2,0,0,0,12,4,3,2,0,0
Dec 2013,17,1,3,0,0,0,0,4,0,1,0,6,0,0,0,0,0,0,2,0,0,0,11,3,4,1,0,0
Jan 2014,17,0,3,0,0,0,0,3,0,1,0,7,0,0,0,0,0,0,2,0,0,0,10,4,5,1,0,0
Feb 2014,17,0,3,0,0,0,0,2,0,1,0,8,0,0,0,0,0,0,2,0,1,0,9,4,5,1,0,0
Mar 2014,17,0,3,0,0,0,0,1,0,0,0,7,0,0,0,0,0,3,2,0,1,0,10,3,5,1,0,0
Apr 2014,19,0,3,0,0,0,0,1,0,0,0,7,0,0,0,0,0,3,2,0,1,0,12,3,7,1,0,0
May 2014,20,0,3,0,0,0,0,1,0,0,0,8,0,0,0,0,0,3,2,0,1,0,12,4,8,0,0,0
Jun 2014,20,0,2,0,0,0,0,2,0,0,0,6,0,0,0,0,0,3,2,0,2,0,14,2,9,0,0,0
Jul 2014,21,1,1,0,0,0,0,4,0,0,0,5,0,0,0,0,0,3,2,0,2,0,16,2,8,0,0,0
Aug 2014,22,1,1,0,0,0,0,5,0,0,0,5,0,0,0,0,0,3,2,0,0,0,17,4,8,0,0,0
Sep 2014,21,2,1,0,0,0,0,6,0,1,0,5,0,0,0,0,0,0,2,0,0,0,16,4,7,0,0,0
Oct 2014,21,2,1,0,0,0,0,6,0,1,0,4,0,0,0,0,0,1,2,0,0,0,17,3,7,0,0,0
Nov 2014,22,2,1,0,0,0,0,6,0,1,0,4,0,0,0,0,1,1,2,0,0,0,18,3,7,0,0,0
Dec 2014,23,3,1,0,0,0,0,5,0,1,0,5,0,0,0,0,0,0,2,0,1,0,18,3,9,0,0,0
Jan 2015,25,2,1,0,0,0,0,4,0,1,0,5,0,0,0,0,0,1,2,0,1,0,20,3,11,1,0,0
Feb 2015,24,2,0,0,0,0,0,3,0,2,0,4,0,0,0,0,0,1,2,0,1,0,20,3,11,1,0,0
Mar 2015,25,2,0,0,0,0,0,2,0,2,0,5,0,0,0,0,1,1,2,0,2,0,20,3,11,1,0,0
Apr 2015,25,2,0,0,0,0,0,2,0,2,0,5,0,0,0,0,0,1,2,0,2,0,20,3,11,2,0,0
May 2015,23,1,0,0,0,0,0,3,0,2,0,4,0,0,0,0,0,1,2,0,3,0,19,1,10,2,0,0
Jun 2015,20,1,0,0,0,0,0,2,0,2,0,3,0,0,0,0,1,0,2,0,2,0,17,1,8,3,0,0
Jul 2015,20,1,0,0,0,0,0,2,0,2,0,3,0,0,0,0,1,2,2,0,2,0,17,1,7,2,0,0
Aug 2015,20,0,0,0,0,0,0,3,0,2,0,5,0,0,0,0,1,2,2,0,3,0,15,2,6,1,0,0
Sep 2015,18,0,0,0,0,0,0,4,0,2,0,5,0,0,0,0,1,0,2,0,3,0,13,2,5,1,0,0
Oct 2015,13,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,2,0,2,0,2,0,9,2,2,1,0,0
Nov 2015,12,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,2,0,2,0,9,1,4,1,0,0
Dec 2015,12,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,2,0,4,0,7,1,4,0,0,0
Jan 2016,11,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,2,0,1,0,9,1,5,0,0,0
Feb 2016,11,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,2,0,1,0,9,1,4,0,0,0
Mar 2016,11,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,2,0,0,0,10,1,4,0,0,0
Apr 2016,10,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,2,0,0,0,9,1,4,0,0,0
May 2016,11,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,3,2,0,0,0,10,1,4,0,0,0
Jun 2016,11,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,0,1,0,9,1,5,1,0,0
Jul 2016,11,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,2,0,1,0,9,1,5,1,0,0
Aug 2016,9,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,2,0,0,0,8,1,3,1,0,0
Sep 2016,11,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,2,0,0,0,10,1,3,2,0,0
Oct 2016,14,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,2,2,2,0,0,0,13,1,3,2,0,0
Nov 2016,17,1,0,0,0,0,0,5,0,1,0,2,0,0,0,0,1,1,2,0,1,0,15,1,3,3,0,0
Dec 2016,19,2,1,0,0,0,0,6,0,1,0,3,0,0,0,0,0,0,2,0,1,0,16,1,4,3,0,0
Jan 2017,18,2,1,0,0,0,0,7,0,1,0,2,0,0,0,0,0,0,2,0,0,0,16,1,5,1,0,0
Feb 2017,20,2,1,0,0,0,0,7,0,1,0,3,0,0,0,0,0,0,2,0,1,0,17,1,5,2,0,0
Mar 2017,18,2,1,0,0,0,0,6,0,2,0,2,0,0,0,0,0,0,2,0,0,0,16,1,4,2,0,0
Apr 2017,18,1,1,0,0,0,0,6,0,2,0,2,0,0,0,0,0,0,2,0,0,0,16,1,5,2,0,0
May 2017,20,1,1,0,0,0,0,6,0,1,0,3,0,0,0,0,0,0,2,0,1,0,17,1,6,3,0,0
Jun 2017,20,1,1,0,0,0,0,6,0,1,0,3,0,0,0,0,0,0,2,0,1,0,17,1,7,2,0,0
Jul 2017,20,1,1,0,0,0,0,5,0,1,0,3,0,0,0,0,0,0,2,0,1,0,17,1,7,3,0,0
Aug 2017,16,0,2,0,0,0,0,3,0,1,0,4,0,0,0,0,0,1,2,0,1,0,11,1,4,2,0,1
Sep 2017,16,0,2,0,0,0,0,3,0,1,1,3,0,0,0,0,0,2,2,0,0,1,12,1,4,1,0,0
Oct 2017,14,0,2,0,0,0,0,3,0,2,0,3,0,0,0,0,1,1,2,0,0,0,11,1,4,0,0,0
Nov 2017,15,0,1,0,0,0,0,3,0,2,0,2,0,0,0,0,0,3,2,0,0,0,13,1,4,1,0,0
Dec 2017,14,1,1,0,0,0,0,3,0,2,0,2,0,0,0,0,0,0,2,0,0,0,12,1,5,1,0,0
Jan 2018,16,1,1,0,0,0,0,3,0,2,0,2,0,0,0,0,0,1,2,0,0,0,14,1,5,2,0,0
Feb 2018,19,1,1,0,0,0,0,4,0,2,0,3,0,0,0,0,0,1,2,0,1,0,16,1,4,4,0,0
Mar 2018,19,2,1,0,0,0,0,4,0,1,0,5,0,0,0,0,0,1,2,0,3,0,14,1,3,3,0,0
Apr 2018,22,2,1,0,0,0,0,5,0,1,0,5,0,0,0,0,0,3,2,0,3,0,17,1,3,3,0,0
May 2018,19,2,1,0,0,0,0,3,0,1,0,5,0,0,0,0,0,1,2,0,4,0,14,0,4,3,0,0
