period,Total Children in Care,Psychiatric RTC,Relative foster home,Supervised Independent Living,Long Term FC Non Relative,Long Term FC Relative,Interim,Boys School,State Hospital,Girls School,Hospital,Total Family-like setting,Therapeutic FC Non Relative,Specialized FC Relative,Jail,Pre-adoptive home,Crisis Center,Detention,district,Therapeutic FC Relative,Trial Home Visit,Runaway,Total Group Care,Non-relative foster home,Residential Treatment,Group Home,Specialized FC Non Relative,Unknown
May 2017,27,2,2,0,0,0,0,5,0,1,0,3,0,0,0,0,4,3,7,0,0,0,24,1,6,3,0,0
Jun 2017,28,2,1,0,0,0,0,5,0,2,0,2,0,0,0,0,1,4,7,0,0,0,25,1,7,4,0,1
Jul 2017,28,2,1,0,0,0,0,5,0,1,1,3,0,0,0,0,0,4,7,0,0,0,24,2,8,3,0,1
Aug 2017,26,1,1,0,0,0,0,6,0,1,0,2,0,0,0,0,0,2,7,0,0,0,23,1,10,3,0,1
Sep 2017,27,1,1,0,0,0,0,7,0,1,0,2,0,0,0,0,0,2,7,0,0,0,24,1,10,3,0,1
Oct 2017,30,2,1,0,0,0,0,7,0,2,0,2,0,0,0,0,0,1,7,0,0,0,27,1,12,3,0,1
Nov 2017,34,2,1,0,0,0,0,10,0,2,0,2,0,0,0,0,0,2,7,0,0,0,31,1,13,2,0,1
Dec 2017,36,2,1,0,0,0,0,11,0,2,0,3,0,0,0,0,1,1,7,0,1,0,32,1,11,4,0,1
Jan 2018,34,1,1,0,0,0,0,10,0,1,0,3,0,0,0,0,0,2,7,0,1,0,30,1,10,6,0,1
Feb 2018,34,2,1,0,0,0,0,10,0,1,1,3,0,0,0,0,0,1,7,0,1,0,30,1,10,5,0,1
Mar 2018,30,2,1,0,0,0,0,6,0,2,0,2,0,0,0,0,1,3,7,0,0,0,27,1,8,5,0,1
Apr 2018,33,2,1,0,0,0,0,8,0,3,0,2,0,0,0,0,1,3,7,0,0,0,30,1,8,5,0,1
May 2018,35,3,1,0,0,0,0,9,0,3,0,3,0,0,0,0,0,4,7,0,0,0,31,2,7,5,0,1
