period,district,Long Term FC Non Relative,Total Family-like setting,State Hospital,Unknown,Hospital,Pre-adoptive home,Long Term FC Relative,Trial Home Visit,Total Children in Care,Detention,Group Home,Boys School,Girls School,Therapeutic FC Non Relative,Jail,Specialized FC Relative,Crisis Center,Relative foster home,Specialized FC Non Relative,Therapeutic FC Relative,Non-relative foster home,Supervised Independent Living,Total Group Care,Residential Treatment,Interim,Psychiatric RTC,Runaway
Feb 2015,4,0,1,0,0,0,0,0,0,20,0,2,7,3,0,0,0,0,0,0,0,1,0,19,5,0,2,0
Mar 2015,4,0,1,0,0,1,0,0,0,16,0,1,7,2,0,0,0,0,0,0,0,1,0,15,3,0,1,0
Apr 2015,4,0,1,0,0,0,0,0,0,18,1,2,7,3,0,0,0,0,0,0,0,1,0,17,3,0,1,0
May 2015,4,0,3,0,0,1,0,0,1,15,1,1,5,2,0,0,0,0,0,0,0,2,0,12,1,0,1,0
Jun 2015,4,0,2,0,0,0,0,0,1,16,3,2,5,2,0,0,0,0,1,0,0,0,0,14,2,0,0,0
Jul 2015,4,0,2,0,0,0,0,0,1,16,1,2,7,2,0,0,0,0,1,0,0,0,0,14,1,0,1,0
Aug 2015,4,0,2,0,0,0,0,0,1,13,0,2,6,1,0,0,0,0,1,0,0,0,0,11,1,0,1,0
Sep 2015,4,0,2,0,0,0,0,0,1,17,0,4,8,1,0,0,0,0,1,0,0,0,0,15,1,0,1,0
Oct 2015,4,0,1,0,0,0,0,0,0,17,1,5,7,1,0,0,0,0,1,0,0,0,0,16,1,0,1,0
Nov 2015,4,0,1,0,0,0,0,0,0,19,0,5,9,2,0,0,0,0,1,0,0,0,0,18,1,0,1,0
Dec 2015,4,0,1,0,0,0,0,0,0,19,0,5,9,2,0,0,0,0,1,0,0,0,0,18,1,0,1,0
Jan 2016,4,0,1,0,0,0,0,0,0,18,0,4,9,1,0,0,0,0,1,0,0,0,0,17,1,0,2,0
Feb 2016,4,0,1,0,0,0,0,0,0,18,1,5,7,1,0,0,0,0,1,0,0,0,0,17,1,0,2,0
Mar 2016,4,0,1,0,0,0,0,0,0,17,1,7,4,1,0,0,0,0,1,0,0,0,0,16,1,0,2,0
Apr 2016,4,0,1,0,0,0,0,0,0,11,0,2,3,1,0,0,0,0,1,0,0,0,0,10,3,0,1,0
May 2016,4,0,1,0,0,0,0,0,0,9,0,3,1,1,0,0,0,0,1,0,0,0,0,8,2,0,1,0
Jun 2016,4,0,1,0,0,0,0,0,0,9,0,2,2,0,0,0,0,0,1,0,0,0,0,8,3,0,1,0
Jul 2016,4,0,1,0,0,0,0,0,0,9,1,2,1,0,0,0,0,0,1,0,0,0,0,8,3,0,1,0
Aug 2016,4,0,2,0,0,0,0,0,0,10,3,0,0,0,0,1,0,0,1,0,0,1,0,8,3,0,1,0
Sep 2016,4,0,2,0,0,0,0,0,0,13,1,2,2,2,0,1,0,0,1,0,0,1,0,11,2,0,1,0
Oct 2016,4,0,2,0,0,0,0,0,0,13,0,2,5,2,0,0,0,0,1,0,0,1,0,11,1,0,1,0
Nov 2016,4,0,2,0,0,0,0,0,0,13,1,2,5,2,0,0,0,0,1,0,0,1,0,11,0,0,1,0
Dec 2016,4,0,1,0,0,0,0,0,0,13,0,2,6,3,0,0,0,0,0,0,0,1,0,12,0,0,1,0
Jan 2017,4,0,0,0,0,0,0,0,0,13,0,2,7,3,0,0,0,0,0,0,0,0,0,13,0,0,1,0
Feb 2017,4,0,0,0,0,0,0,0,0,15,2,2,7,2,0,0,0,0,0,0,0,0,0,15,1,0,1,0
Mar 2017,4,0,0,0,0,0,0,0,0,18,2,4,7,2,0,1,0,0,0,0,0,0,0,18,1,0,1,0
Apr 2017,4,0,1,0,0,0,0,0,0,17,0,3,7,2,0,1,0,0,0,0,0,1,0,16,2,0,1,0
May 2017,4,0,2,0,0,0,0,0,1,15,0,2,7,1,0,0,0,0,0,0,0,1,0,13,2,0,1,0
Jun 2017,4,0,1,0,0,0,0,0,0,12,0,0,7,1,0,0,0,0,0,0,0,1,0,11,2,0,1,0
Jul 2017,4,0,1,0,0,0,0,0,0,13,0,1,7,1,0,0,0,0,0,0,0,1,0,12,2,0,1,0
Aug 2017,4,0,1,0,0,0,0,0,0,12,0,1,6,1,0,0,0,0,0,0,0,1,0,11,2,0,1,0
Sep 2017,4,0,2,0,0,0,0,0,1,13,1,1,6,1,0,0,0,0,0,0,0,1,0,11,1,0,1,0
Oct 2017,4,0,1,0,0,0,0,0,0,15,1,1,8,3,0,0,0,0,0,0,0,1,0,14,0,0,1,0
Nov 2017,4,0,1,0,0,0,0,0,0,13,0,0,8,3,0,0,0,0,0,0,0,1,0,12,0,0,1,0
Dec 2017,4,0,0,0,0,0,0,0,0,14,0,2,7,4,0,0,0,0,0,0,0,0,0,14,0,0,1,0
Jan 2018,4,0,0,0,0,0,0,0,0,15,2,1,7,4,0,0,0,0,0,0,0,0,0,15,0,0,1,0
Feb 2018,4,0,0,0,0,0,0,0,0,15,2,1,7,4,0,0,0,0,0,0,0,0,0,15,0,0,1,0
Mar 2018,4,0,0,0,0,0,0,0,0,15,2,1,7,4,0,0,0,0,0,0,0,0,0,15,0,0,1,0
Apr 2018,4,0,1,0,0,0,0,0,0,15,2,2,6,4,0,0,0,0,1,0,0,0,0,14,0,0,0,0
May 2018,4,0,1,0,0,0,0,0,0,15,2,3,6,3,0,0,0,0,1,0,0,0,0,14,0,0,0,0
