Report Period,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,
Residential Treatment,6,7,8,10,10,12,13,11,
Psychiatric RTC,2,2,2,1,1,2,2,2,
Boys School,5,5,5,6,7,7,10,11,
Girls School,1,2,1,1,1,2,2,2,
Detention,3,4,4,2,2,1,2,1,
Crisis Center,4,1,0,0,0,0,0,1,
Hospital,0,0,1,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,1,1,1,1,1,1,1,
Date data are based,"May 31, 2017","Jun 30, 2017","Jul 31, 2017","Aug 31, 2017","Sep 30, 2017","Oct 31, 2017","Nov 30, 2017","Dec 31, 2017",
Report Period,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,
Total Children in Care,34,34,30,33,35,
Total Family-like setting,3,3,2,2,3,
Relative foster home,1,1,1,1,1,
Non-relative foster home,1,1,1,1,2,
Pre-adoptive home,0,0,0,0,0,
Trial Home Visit,1,1,0,0,0,
Supervised Independent Living,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,
Total Group Care,30,30,27,30,31,
Group Home,6,5,5,5,5,
Residential Treatment,10,10,8,8,7,
Psychiatric RTC,1,2,2,2,3,
Boys School,10,10,6,8,9,
Girls School,1,1,2,3,3,
Detention,2,1,3,3,4,
Crisis Center,0,0,1,1,0,
Hospital,0,1,0,0,0,
State Hospital,0,0,0,0,0,
Jail,0,0,0,0,0,
Runaway,0,0,0,0,0,
Interim,0,0,0,0,0,
Unknown,1,1,1,1,1,
Date data are based,"Jan 31, 2018","Feb 28, 2018","Mar 31, 2018","Apr 30, 2018","May 31, 2018",
