period,Total Children in Care,Psychiatric RTC,Relative foster home,Supervised Independent Living,Long Term FC Non Relative,Long Term FC Relative,Interim,Boys School,State Hospital,Girls School,Hospital,Total Family-like setting,Therapeutic FC Non Relative,Specialized FC Relative,Jail,Pre-adoptive home,Crisis Center,Detention,district,Therapeutic FC Relative,Trial Home Visit,Runaway,Total Group Care,Non-relative foster home,Residential Treatment,Group Home,Specialized FC Non Relative,Unknown
Jul 2014,24,1,2,0,0,0,0,8,0,3,0,3,0,0,0,0,0,0,5,0,1,0,21,0,6,3,0,0
Aug 2014,25,1,1,0,0,0,0,8,1,4,0,2,0,0,0,0,0,1,5,0,1,0,23,0,5,3,0,0
Sep 2014,24,2,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,5,0,0,0,24,0,5,3,0,0
Oct 2014,23,0,1,0,0,0,0,9,0,7,0,1,0,0,0,0,0,0,5,0,0,0,22,0,3,3,0,0
Nov 2014,25,0,1,0,0,0,0,12,0,7,0,1,0,0,0,0,0,0,5,0,0,0,24,0,4,1,0,0
Dec 2014,26,0,0,1,0,0,0,12,0,7,0,1,0,0,0,0,0,0,5,0,0,0,25,0,4,2,0,0
Jan 2015,27,0,0,1,0,0,0,11,0,5,0,1,0,0,0,0,0,0,5,0,0,0,26,0,4,6,0,0
Feb 2015,29,2,0,1,0,0,0,11,0,5,0,1,0,0,0,0,0,0,5,0,0,0,28,0,4,6,0,0
Mar 2015,27,3,0,1,0,0,0,10,0,5,0,2,0,0,0,0,0,0,5,0,0,0,25,1,2,5,0,0
Apr 2015,25,2,0,1,0,0,0,9,0,6,0,3,0,0,0,0,0,1,5,0,1,0,22,1,1,3,0,0
May 2015,27,2,0,1,0,0,0,9,0,7,0,2,0,0,0,0,0,1,5,0,0,1,24,1,1,4,0,0
Jun 2015,24,2,0,1,0,0,0,7,0,5,0,2,0,0,0,0,0,1,5,0,0,1,21,1,1,5,0,0
Jul 2015,26,3,0,1,0,0,0,7,0,4,0,3,0,0,0,0,0,0,5,0,0,1,22,2,1,7,0,0
Aug 2015,18,2,0,1,0,0,0,3,0,3,0,4,0,0,0,0,0,0,5,0,1,1,13,2,0,5,0,0
Sep 2015,17,2,0,1,0,0,0,3,0,3,0,4,0,0,0,0,0,0,5,0,1,1,12,2,0,4,0,0
Oct 2015,20,2,0,0,0,0,0,3,0,3,0,4,0,0,1,0,0,2,5,0,2,1,15,2,0,4,0,0
Nov 2015,23,2,0,0,0,0,0,4,0,5,0,3,0,0,0,0,0,2,5,0,1,1,19,2,1,5,0,0
Dec 2015,23,2,0,0,0,0,0,3,0,5,0,3,0,0,1,0,0,0,5,0,1,1,19,2,1,7,0,0
Jan 2016,20,3,0,0,0,0,0,4,0,4,0,4,0,0,1,0,0,0,5,0,1,0,16,3,1,3,0,0
Feb 2016,21,4,0,0,0,0,0,6,0,4,0,2,0,0,0,0,0,0,5,0,0,0,19,2,1,4,0,0
Mar 2016,23,3,0,0,0,0,0,8,0,5,0,2,0,0,0,0,0,0,5,0,0,0,21,2,1,4,0,0
Apr 2016,28,2,0,0,0,0,0,9,0,8,2,2,0,0,0,0,0,1,5,0,0,0,26,2,1,3,0,0
May 2016,27,2,0,0,0,0,0,8,0,8,1,2,0,0,0,0,0,0,5,0,0,0,25,2,2,4,0,0
Jun 2016,23,1,0,0,0,0,0,10,0,6,0,2,0,0,0,0,0,1,5,0,0,0,21,2,2,1,0,0
Jul 2016,21,1,0,0,0,0,0,10,0,5,0,1,0,0,0,0,0,1,5,0,0,0,20,1,2,1,0,0
Aug 2016,14,1,0,0,0,0,0,3,0,5,0,2,0,0,0,0,0,1,5,0,0,0,12,2,2,0,0,0
Sep 2016,15,1,0,0,0,0,0,4,0,5,0,2,0,0,0,0,0,0,5,0,0,0,13,2,2,1,0,0
Oct 2016,16,2,0,0,0,0,0,3,0,6,0,2,0,0,0,0,0,0,5,0,0,0,14,2,1,2,0,0
Nov 2016,15,2,0,0,0,0,0,2,0,6,0,2,0,0,0,0,0,1,5,0,0,0,13,2,1,1,0,0
Dec 2016,18,2,0,0,0,0,0,5,0,5,0,2,0,0,0,0,0,3,5,0,0,0,16,2,1,0,0,0
Jan 2017,15,1,0,0,0,0,0,5,0,4,0,2,0,0,0,0,0,0,5,0,0,0,13,2,1,2,0,0
Feb 2017,17,1,0,0,0,0,0,5,0,4,0,1,0,0,0,0,0,1,5,0,0,0,16,1,1,4,0,0
Mar 2017,21,2,0,0,0,0,0,6,0,4,0,2,0,0,0,0,0,1,5,0,0,0,19,2,2,4,0,0
Apr 2017,20,1,0,0,0,0,0,8,0,3,0,1,0,0,0,0,0,1,5,0,0,0,19,1,2,4,0,0
May 2017,24,1,0,0,0,0,0,9,0,4,0,1,0,0,0,0,0,2,5,0,0,0,23,1,2,5,0,0
Jun 2017,23,1,0,0,0,0,0,10,0,5,0,1,0,0,0,0,0,0,5,0,0,0,22,1,1,5,0,0
Jul 2017,26,1,0,0,0,0,0,9,0,5,0,1,0,0,0,0,0,1,5,0,0,0,25,1,1,8,0,0
Aug 2017,18,0,0,0,0,0,0,8,0,2,0,2,0,0,0,0,0,1,5,0,1,0,16,1,1,4,0,0
Sep 2017,18,1,0,0,0,0,0,8,0,2,0,1,0,0,0,0,0,1,5,0,0,0,17,1,1,4,0,0
Oct 2017,21,1,0,0,0,0,0,10,0,2,0,1,0,0,0,0,0,2,5,0,0,0,20,1,1,4,0,0
Nov 2017,24,1,0,0,0,0,0,15,0,2,0,1,0,0,0,0,0,1,5,0,0,0,23,1,1,3,0,0
Dec 2017,20,1,0,0,0,0,0,13,0,1,0,1,0,0,0,0,0,0,5,0,0,0,19,1,1,3,0,0
Jan 2018,20,1,0,0,0,0,0,12,0,1,0,1,0,0,0,0,0,0,5,0,0,0,19,1,1,4,0,0
Feb 2018,23,1,0,0,0,0,0,12,0,2,0,1,0,0,0,0,0,3,5,0,0,0,22,1,1,3,0,0
Mar 2018,21,1,0,0,0,0,0,12,0,1,0,1,0,0,0,0,0,2,5,0,0,0,20,1,2,2,0,0
Apr 2018,24,1,1,0,0,0,0,11,0,1,0,2,0,0,0,0,0,2,5,0,0,0,22,1,2,5,0,0
May 2018,18,1,0,0,0,0,0,11,0,1,0,1,0,0,0,0,0,0,5,0,0,0,17,1,1,3,0,0
