Report Period,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,
Report Period,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,
Total Children in Care,17,17,16,16,15,16,15,15,
Total Family-like setting,1,1,1,1,1,1,0,1,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,1,1,1,0,0,0,0,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,1,1,1,0,1,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,16,16,15,15,14,15,15,14,
Group Home,3,5,3,1,0,4,3,3,
Residential Treatment,6,4,4,4,5,4,4,4,
Psychiatric RTC,4,4,4,4,3,3,4,3,
Boys School,1,1,2,3,3,2,2,2,
Girls School,1,1,1,2,3,2,2,2,
Detention,1,1,1,1,0,0,0,0,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"May 31, 2017","Jun 30, 2017","Jul 31, 2017","Aug 31, 2017","Sep 30, 2017","Oct 31, 2017","Nov 30, 2017","Dec 31, 2017",
Report Period,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,
Total Children in Care,15,16,17,15,11,
Total Family-like setting,0,0,1,2,1,
Relative foster home,0,0,0,0,0,
Non-relative foster home,0,0,0,0,0,
Pre-adoptive home,0,0,0,0,0,
Trial Home Visit,0,0,1,2,1,
Supervised Independent Living,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,
Total Group Care,15,16,16,13,10,
Group Home,3,2,3,3,2,
Residential Treatment,5,6,6,3,2,
Psychiatric RTC,3,3,3,2,1,
Boys School,2,1,1,2,2,
Girls School,2,2,2,2,2,
Detention,0,2,1,1,1,
Crisis Center,0,0,0,0,0,
Hospital,0,0,0,0,0,
State Hospital,0,0,0,0,0,
Jail,0,0,0,0,0,
Runaway,0,0,0,0,0,
Interim,0,0,0,0,0,
Unknown,0,0,0,0,0,
Date data are based,"Jan 31, 2018","Feb 28, 2018","Mar 31, 2018","Apr 30, 2018","May 31, 2018",
