period,Long Term FC Non Relative,Total Family-like setting,State Hospital,Unknown,Hospital,Pre-adoptive home,Long Term FC Relative,Trial Home Visit,Total Children in Care,district,Detention,Group Home,Boys School,Girls School,Therapeutic FC Non Relative,Jail,Specialized FC Relative,Crisis Center,Relative foster home,Specialized FC Non Relative,Therapeutic FC Relative,Non-relative foster home,Supervised Independent Living,Total Group Care,Residential Treatment,Interim,Psychiatric RTC,Runaway
Sep 2014,0,1,0,0,0,0,0,0,23,7,3,3,9,1,0,0,0,0,0,0,0,1,0,22,5,0,1,0
Oct 2014,0,0,0,0,0,0,0,0,24,7,3,4,10,1,0,0,0,0,0,0,0,0,0,24,5,0,1,0
Nov 2014,0,0,0,0,0,0,0,0,22,7,0,4,10,1,0,0,0,0,0,0,0,0,0,22,6,0,1,0
Dec 2014,0,0,0,0,0,0,0,0,21,7,0,4,9,1,0,0,0,0,0,0,0,0,0,21,6,0,1,0
Jan 2015,0,0,0,0,0,0,0,0,21,7,2,4,6,1,0,0,0,1,0,0,0,0,0,21,5,0,2,0
Feb 2015,0,0,0,0,0,0,0,0,22,7,2,4,7,2,0,0,0,0,0,0,0,0,0,22,6,0,1,0
Mar 2015,0,0,0,0,0,0,0,0,19,7,1,3,8,2,0,0,0,0,0,0,0,0,0,19,3,0,2,0
Apr 2015,0,0,0,0,0,0,0,0,19,7,1,4,8,2,0,0,0,0,0,0,0,0,0,19,3,0,1,0
May 2015,0,0,0,0,0,0,0,0,22,7,2,4,8,2,0,0,0,0,0,0,0,0,0,22,5,0,1,0
Jun 2015,0,0,0,0,0,0,0,0,24,7,1,5,9,2,0,0,0,0,0,0,0,0,0,24,6,0,1,0
Jul 2015,0,0,0,0,0,0,0,0,27,7,5,4,9,2,0,0,0,1,0,0,0,0,0,27,5,0,1,0
Aug 2015,0,0,0,0,0,0,0,0,24,7,4,5,8,1,0,0,0,0,0,0,0,0,0,24,5,0,1,0
Sep 2015,0,1,0,0,0,0,0,1,24,7,3,5,8,1,0,0,0,0,0,0,0,0,0,22,4,0,1,1
Oct 2015,0,1,0,0,0,0,0,1,22,7,2,4,7,1,0,0,0,0,0,0,0,0,0,20,5,0,1,1
Nov 2015,0,0,0,0,0,0,0,0,21,7,1,3,6,1,0,0,0,0,0,0,0,0,0,20,8,0,1,1
Dec 2015,0,0,0,0,0,0,0,0,22,7,2,2,6,1,0,0,0,1,0,0,0,0,0,21,8,0,1,1
Jan 2016,0,0,0,0,0,0,0,0,22,7,1,3,6,2,0,0,0,0,0,0,0,0,0,21,8,0,1,1
Feb 2016,0,0,0,0,0,0,0,0,20,7,0,2,7,2,0,0,0,0,0,0,0,0,0,19,7,0,1,1
Mar 2016,0,0,0,0,0,0,0,0,23,7,3,4,6,1,0,0,0,2,0,0,0,0,0,23,6,0,1,0
Apr 2016,0,0,0,0,0,0,0,0,26,7,5,7,5,1,0,0,0,2,0,0,0,0,0,26,5,0,1,0
May 2016,0,1,0,0,0,0,0,1,24,7,4,6,5,1,0,0,0,1,0,0,0,0,0,23,5,0,1,0
Jun 2016,0,0,0,0,0,0,0,0,24,7,5,5,6,1,0,0,0,1,0,0,0,0,0,24,6,0,0,0
Jul 2016,0,1,0,0,0,0,0,1,24,7,1,6,8,1,0,0,0,1,0,0,0,0,0,23,6,0,0,0
Aug 2016,0,0,0,0,0,0,0,0,21,7,1,7,7,1,0,0,0,1,0,0,0,0,0,21,3,0,1,0
Sep 2016,0,1,0,0,0,0,0,0,24,7,5,6,7,0,0,0,0,1,1,0,0,0,0,23,3,0,1,0
Oct 2016,0,1,0,0,0,0,0,0,25,7,5,4,9,1,0,0,0,1,1,0,0,0,0,24,3,0,1,0
Nov 2016,0,2,0,0,0,0,0,0,25,7,1,6,8,1,0,0,0,2,1,0,0,1,0,23,4,0,1,0
Dec 2016,0,2,0,0,0,0,0,0,21,7,1,5,6,1,0,0,0,2,1,0,0,1,0,19,4,0,0,0
Jan 2017,0,2,0,0,0,0,0,0,16,7,3,2,6,1,0,0,0,1,1,0,0,1,0,14,1,0,0,0
Feb 2017,0,3,0,0,0,0,0,0,18,7,1,3,6,1,0,0,0,2,2,0,0,1,0,15,1,0,1,0
Mar 2017,0,3,0,0,0,0,0,0,17,7,1,3,4,1,0,0,0,2,2,0,0,1,0,14,2,0,1,0
Apr 2017,0,3,0,0,0,0,0,0,21,7,2,3,5,1,0,0,0,2,2,0,0,1,0,18,3,0,2,0
May 2017,0,3,0,0,0,0,0,0,27,7,3,3,5,1,0,0,0,4,2,0,0,1,0,24,6,0,2,0
Jun 2017,0,2,0,1,0,0,0,0,28,7,4,4,5,2,0,0,0,1,1,0,0,1,0,25,7,0,2,0
Jul 2017,0,3,0,1,1,0,0,0,28,7,4,3,5,1,0,0,0,0,1,0,0,2,0,24,8,0,2,0
Aug 2017,0,2,0,1,0,0,0,0,26,7,2,3,6,1,0,0,0,0,1,0,0,1,0,23,10,0,1,0
Sep 2017,0,2,0,1,0,0,0,0,27,7,2,3,7,1,0,0,0,0,1,0,0,1,0,24,10,0,1,0
Oct 2017,0,2,0,1,0,0,0,0,30,7,1,3,7,2,0,0,0,0,1,0,0,1,0,27,12,0,2,0
Nov 2017,0,2,0,1,0,0,0,0,34,7,2,2,10,2,0,0,0,0,1,0,0,1,0,31,13,0,2,0
Dec 2017,0,3,0,1,0,0,0,1,36,7,1,4,11,2,0,0,0,1,1,0,0,1,0,32,11,0,2,0
Jan 2018,0,3,0,1,0,0,0,1,34,7,2,6,10,1,0,0,0,0,1,0,0,1,0,30,10,0,1,0
Feb 2018,0,3,0,1,1,0,0,1,34,7,1,5,10,1,0,0,0,0,1,0,0,1,0,30,10,0,2,0
Mar 2018,0,2,0,1,0,0,0,0,30,7,3,5,6,2,0,0,0,1,1,0,0,1,0,27,8,0,2,0
Apr 2018,0,2,0,1,0,0,0,0,33,7,3,5,8,3,0,0,0,1,1,0,0,1,0,30,8,0,2,0
May 2018,0,3,0,1,0,0,0,0,35,7,4,5,9,3,0,0,0,0,1,0,0,2,0,31,7,0,3,0
