period,district,Long Term FC Non Relative,Total Family-like setting,State Hospital,Unknown,Hospital,Pre-adoptive home,Long Term FC Relative,Trial Home Visit,Total Children in Care,Detention,Group Home,Boys School,Girls School,Therapeutic FC Non Relative,Jail,Specialized FC Relative,Crisis Center,Relative foster home,Specialized FC Non Relative,Therapeutic FC Relative,Non-relative foster home,Supervised Independent Living,Total Group Care,Residential Treatment,Interim,Psychiatric RTC,Runaway
Feb 2016,3,0,1,0,0,0,0,0,1,68,3,21,19,10,0,0,0,1,0,0,0,0,0,67,10,0,3,0
Mar 2016,3,0,1,0,0,1,0,0,1,72,1,24,18,9,0,0,0,1,0,0,0,0,0,71,14,0,3,0
Apr 2016,3,0,1,0,0,1,0,0,1,75,1,21,21,10,0,0,0,1,0,0,0,0,0,74,16,0,3,0
May 2016,3,0,1,0,0,0,0,0,1,76,1,21,16,13,0,0,0,0,0,0,0,0,0,75,22,0,2,0
Jun 2016,3,0,1,0,0,0,0,0,1,69,0,21,16,8,0,0,0,0,0,0,0,0,0,68,22,0,1,0
Jul 2016,3,0,3,0,0,0,0,0,1,73,0,19,19,8,0,0,0,0,1,0,0,1,0,70,22,0,2,0
Aug 2016,3,0,3,0,0,0,0,0,1,67,1,14,20,10,0,0,0,0,1,0,0,1,0,64,17,0,2,0
Sep 2016,3,0,3,0,0,0,0,0,1,76,1,22,19,13,0,0,0,0,1,0,0,1,0,73,17,0,1,0
Oct 2016,3,0,3,0,0,1,0,0,1,77,2,23,18,12,0,0,0,0,1,0,0,1,0,74,17,0,1,0
Nov 2016,3,0,2,0,0,0,0,0,0,75,2,20,20,13,0,0,0,0,1,0,0,1,0,73,17,0,1,0
Dec 2016,3,0,2,0,0,0,0,0,0,73,1,24,16,15,0,0,0,0,1,0,0,1,0,71,14,0,1,0
Jan 2017,3,0,2,0,0,1,0,0,0,80,4,26,15,15,0,0,0,0,1,0,0,1,0,77,15,0,1,1
Feb 2017,3,0,1,0,0,0,0,0,0,78,5,20,16,18,0,0,0,0,1,0,0,0,0,77,17,0,1,0
Mar 2017,3,0,0,0,0,0,0,0,0,78,3,25,18,14,0,0,0,0,0,0,0,0,0,78,17,0,1,0
Apr 2017,3,0,0,0,0,0,0,0,0,87,6,29,19,14,0,0,0,0,0,0,0,0,0,87,17,0,2,0
May 2017,3,0,1,0,0,1,0,0,1,85,1,25,23,14,0,0,0,0,0,0,0,0,0,84,18,0,2,0
Jun 2017,3,0,1,0,0,1,0,0,1,81,1,22,24,13,0,0,0,0,0,0,0,0,0,80,17,0,2,0
Jul 2017,3,0,1,0,0,1,0,0,1,81,1,26,22,10,0,0,0,0,0,0,0,0,0,80,18,0,2,0
Aug 2017,3,0,1,0,0,0,0,0,1,78,1,23,23,10,0,0,0,0,0,0,0,0,0,77,17,0,3,0
Sep 2017,3,0,1,0,1,0,0,0,1,82,1,23,23,10,0,0,0,0,0,0,0,0,0,80,20,0,3,0
Oct 2017,3,0,1,0,1,0,0,0,0,79,0,21,21,8,0,0,0,0,0,0,0,1,0,77,26,0,1,0
Nov 2017,3,0,2,0,1,0,0,0,1,81,0,19,21,10,0,0,0,0,0,0,0,1,0,78,27,0,1,0
Dec 2017,3,0,3,0,1,0,0,0,1,76,0,20,14,7,0,0,0,0,0,0,0,2,0,72,30,0,1,0
Jan 2018,3,0,3,0,0,0,0,0,2,78,0,22,14,7,0,0,0,0,0,0,0,1,0,75,30,0,2,0
Feb 2018,3,0,3,0,0,0,0,0,2,77,1,24,12,5,0,0,0,0,0,0,0,1,0,74,29,0,3,0
Mar 2018,3,0,4,0,0,0,0,0,2,85,2,24,15,8,0,0,0,0,1,0,0,1,0,81,28,0,4,0
Apr 2018,3,0,3,0,0,0,0,0,1,84,0,23,16,10,0,0,0,0,1,0,0,1,0,81,28,0,4,0
May 2018,3,0,2,0,0,0,0,0,1,75,1,18,14,8,0,0,0,0,0,0,0,1,0,73,27,0,5,0
