"",Actual,Cleared,%Cleared,Stolen,%Change
Murder,6,2,33.3%,$0,500.0%
Cody,,,,2,6,42,,50,3,49,3,2.0%
"",,,,,,,,,,,,
Powell,,1,,1,3,27,1,33,3,28,3,17.9%
"",,,,,,,,,,,,
PLATTE,,,,,,,,,,,,
"",0,0,0,4,7,16,1,28,,15,,86.7%
COUNTY,,,,,,,,,,,,
Sheriff,,,,,3,4,,7,3,3,3,133.3%
"",,,,,,,,,,,,
Wheatland,,,,4,4,12,1,21,3,12,3,75.0%
"",,,,,,,,,,,,
Guernsey,,,,,,,,0,0,0,3,0.0%
"",,,,,,,,,,,,
SHERIDAN,,,,,,,,,,,,
"",0,0,0,4,11,56,1,72,,93,,-22.6%
COUNTY,,,,,,,,,,,,
Sheriff,,,,,,6,,6,3,7,3,-14.3%
"",,,,,,,,,,,,
Sheridan,,,,4,11,50,1,66,3,86,3,-23.3%
"",,,,,,,,,,,,
NWCCD,,,,,,,,0,3,0,3,200.0%
"",,,,,,,,,,,,
SUBLETTE,,,,,,,,,,,,
"",0,0,0,1,2,17,1,21,,23,,-8.7%
COUNTY,,,,,,,,,,,,
Sheriff,,,,1,2,17,1,21,3,23,3,-8.7%
"",,,,,,,,,,,,
SWEETWATE,,,,,,,,,,,,
"",0,15,0,22,28,148,9,222,,204,,8.8%
R COUNTY,,,,,,,,,,,,
Sheriff,,3,,5,4,15,2,29,3,37,3,-21.6%
"",,,,,,,,,,,,
Green River,,,,7,12,21,,40,3,45,3,-11.1%
"",,,,,,,,,,,,
Rock Springs,,12,,10,12,112,7,153,3,122,3,25.4%
"",,,,,,,,,,,,
TETON,,,,,,,,,,,,
"",0,4,1,6,5,38,4,58,,38,,52.6%
COUNTY,,,,,,,,,,,,
Jackson,,4,1,6,5,38,4,58,3,38,3,52.6%
"",,,,,,,,,,,,
UINTA,,,,,,,,,,,,
"",0,0,0,1,4,84,5,94,,86,,9.3%
COUNTY,,,,,,,,,,,,
Sheriff,,,,1,,10,2,13,3,22,3,-40.9%
"",,,,,,,,,,,,
Evanston,,,,,4,74,3,81,3,64,3,26.6%
"",,,,,,,,,,,,
WASHAKIE,,,,,,,,,,,,
"",0,2,0,0,5,9,1,17,,10,,70.0%
COUNTY,,,,,,,,,,,,
Sheriff,,,,,1,,,1,3,0,3,0.0%
"",,,,,,,,,,,,
Worland,,2,,,4,9,1,16,3,10,3,60.0%
"",,,,,,,,,,,,
WESTON,,,,,,,,,,,,
"",0,0,0,0,2,19,2,23,,21,,9.5%
COUNTY,,,,,,,,,,,,
Sheriff,,,,,,2,,2,3,4,3,-50.0%
"",,,,,,,,,,,,
Newcastle,,,,,2,17,2,21,3,17,3,23.5%
"",,,,,,,,,,,,
TOTAL,6,43,10,209,351,"1,767",132,"2,518",2.4%,"2,460",,
"",,,
"",,ADULT,JUVENILE
CLASSIFICATION OF OFFENSES,,,
"",Male,Female,Male Female
Murder & Non-Negligent Manslaughter,2,1,0 0
Forcible Rape,7,0,0 0
Robbery,4,0,0 0
Aggravated Assault,89,7,5 0
Burglary,52,6,7 0
Larceny-Theft,200,171,86 57
Motor Vehicle Theft,10,8,2 2
TOTAL INDEX OFFENSE ARRESTS,364,193,100 59
Manslaughter by Negligence,1,0,0 0
Arson,6,4,4 0
Other Assaults,268,94,75 35
Forgery & Counterfeiting,8,6,1 0
Fraud,32,15,2 0
Embezzlement,2,1,0 0
"Stolen Property; By Receive, Possess",14,2,0 0
Vandalism,60,11,28 4
"Weapons; Carry, Possess, etc.",11,3,2 1
Prostitution & Commercialized Vice,0,1,0 0
Sex Offenses(Except Rape & Prostitution),20,1,2 2
GRAND TOTAL DRUG ABUSE VIOLATIONS,678,284,94 31
"(1) Sale/Manufacture Subtotal",86,36,9 0
"(2) Possession Subtotal",592,248,85 31
Gambling Offenses,0,0,0 0
Offenses Against Family & Children,62,27,2 1
Driving Under the Influence,546,174,6 5
Liquor Laws,198,85,82 45
Drunkenness,391,84,7 2
Disorderly Conduct,113,40,21 5
Vagrancy,1,1,8 3
All Other Offenses (Except Traffic),1465,591,139 43
Suspicion,1,0,2 0
Curfew & Loitering Law Violations,N/A,N/A,19 4
Runaways,N/A,N/A,10 11
TOTALS,"4,241","1,617",604 251
Total Arrests Adult - Juvenile,"5,858",,855
"",,,
TOTAL ARRESTS,"6,713",,
"",2016,2015,% Change
"",,,
Adult Male,"4,238","4,656",-8.98%
Adult Female,"1,617","1,784",-9.36%
Adult Total,"5,855","6,440",-9.08%
"",,,
JV Male,604,664,-9.04%
JV Female,251,339,-25.96%
JV Total,855,"1,003",-14.76%
"",,,
TOTAL,"6,710","7,443",-9.85%
"",VALUE,VALUE,PERCENT
TYPE OF PROPERTY,STOLEN,RECOVERED,RECOVERED
"A) Currency, Notes, etc.","$288,035","$19,152",6.6%
B) Jewelry & Precious Metal,"$114,405","$18,605",16.3%
C) Clothing & Furs,"$39,000","$12,382",31.7%
D) Locally Stolen Motor Vehicles,"$900,254","$587,988",65.3%
E) Office Equipment,"$32,242","$4,521",14.0%
"F) Televisions, Radios, Stereos, etc.","$164,315","$9,936",6.0%
G) Firearms,"$87,506","$24,798",28.3%
H) Household Goods,"$34,247","$3,194",9.3%
I) Consumable Goods,"$364,994","$5,059",1.4%
J) Livestock,"$29,063",$0,0.0%
K) Miscellaneous,"$802,972","$154,310",19.2%
TOTAL,"$2,857,033","$839,945",29.4%
"",,,,Estimated
"",Number,Total,Uninhabited,Value of
"",of,Offenses,or Abandoned,Property
Property Classification,Offenses,Cleared,Structures,Damaged
Single Occupancy Residence,2,,1,"$12,150"
"",,,,
Other Residence,,,,
"",,,,
Storage,,,,
"",,,,
Industrial/Manufacturing,,,,
"",,,,
Other Commercial,,,,
"",,,,
Community/Public,,,,
"",,,,
All other Structures,,,,
"",,,,
TOTAL STRUCTURES,2,0,1,"$12,150"
Motor Vehicles,2,,,"$13,500"
"",,,,
Other Mobile Property,,,,
"",,,,
TOTAL MOBILE,2,0,0,"$13,500"
TOTAL OTHER,2,1,,$51
"",,,,
GRAND TOTAL,6,1,1,"$25,701"
"",,,Total Number of,Total Number of,,
"",,,Victims,Offenders,Total Arrest,% of Incidents
"",Total Number,,,,By Incident,Resulting In
"",,,,,Type,Arrest
TYPE OF VIOLENCE,of Incidents,,,,,
"",,Male,Female,Male Female,,
Abductions,0,,,,,-
"",,,,,,
Assaults,426,147,279,299 123,221,51.9%
Intimidation,6,2,4,4 2,2,33.3%
Murder,6,2,4,4 2,2,33.3%
Robbery,0,,,,,-
"",,,,,,
Sex Assault,7,1,6,7 0,3,42.9%
Viol. Protection,49,9,40,37 12,12,24.5%
Other,21,6,15,13 7,6,28.6%
TOTAL,515,167,348,364 146,246,47.8%
"",NUMBER INCIDENTS BY COUNTY,,
"",,,
Albany,64 Big Horn,Campbell,65
"",,,
Carbon,Converse 2,Crook,6
"",,,
Fremont,24 Goshen 5,Hot Springs,
"",,,
Johnson,6 Laramie 41,Lincoln,8
Natrona,106 Niobrara,Park,23
"",,,
Platte,11 Sheridan 44,Sublette,4
Sweetwater,75 Teton 7,Uinta,17
Washakie,Weston 7,State Total,515
"",,DOMESTIC VIOLENCE INCIDENTS BY MONTH,,
"",,,,
"",,,,
JAN,FEB,MAR APR MAY JUN JUL AUG SEP OCT NOV,DEC,TOTAL
203,148,164,,515
"",NUMBER OF INCIDENTS BY DAY OF WEEK,
"",,
Sunday,89 Thursday,74
Monday,76 Friday,70
Tuesday,73 Saturday,86
Wednesday,47 Total,515
NUMBER OF INCIDENTS IN TWO-HOUR INCREMENTS,
"",
00:01 - 01:59 51 12:00 - 13:59,44
02:00 - 03:59 43 14:00 - 15:59,43
04:00 - 05:59 13 16:00 - 17:59,65
06:00 - 07:59 13 18:00 - 19:59,70
08:00 - 09:59 30 20:00 - 21:59,59
10:00 - 11:59 24 22:00 - 23:59,60
unknown Total,515
"",VICTIM AND OFFENDER BY SEX,
"",,
"",Victims Offenders,
"",,
"",Number of Victims Victims Under 18 Male Female,Under 18
"",,
Female,348 32 311 35,6
Male,167 13 53 111,7
Total,515 45 364 146,13
"",,
"",RELATIONSHIP OF VICTIM TO OFFENDER,
"",,
Spouse,107 Former Spouse,27
Parent,37 Other Relative,7
Other household Member,93 Former Other Household Member,8
Child,41 Dating,128
Sibling,18 Former Dating,49
Unknown,Total,515
"",VICTIM AND OFFENDER BY AGE,
"",,
Victim Age,Offender Age,
"",,
1 - 17,45 16 -17,13
18 - 29,187 18 -29,193
30 - 39,154 30 -39,181
40 - 59,109 40 -59,114
60 & Over,19 60 & Over,13
No Age Given,1 No Age Given,1
Total,515 Total,515
"",EXTENT OF INJURY,
"",,
None,214 Minor Injuries,279
Broken Bones,8 Other Major Injury,7
Death,1 Loss of Teeth,0
Internal Injures,0 Unconsciousness,1
Severe Lacerations,5 Total,515
"",INCIDENT BY WEAPON,
"",,
Firearm,6 Other Dangerous Weapon,13
Knife/Cutting Instrument,13 No Weapon,483
Unknown,0 Total,515
"",
NUMBER OF INCIDENTS BY TYPE OF DISPOSITION,
"",
Arrested 246 Referred to Social Agency,13
Mediation by Officer 51 Separated from Premises,99
Offender Not Found 23 Other,28
Papers Filed Against 55 Total,512
"",,,,Type of Weapon,,,Type of Assignment,,,
"",,,,,,,,,,
"",,,,,,,,,,
"",,Total,,,,,,,,
"",,Assaults,,Knife,"Hand,",,One-Man Detective,,,
"",,by,,or Other Other,"Fists,",,,,,
"",,Weapon,,Cutting Dangerous,"Feet,",Two-Man,Vehicle Special Assign.,,Other,
"",,,Firearm,Instrument Weapon,Etc.,Vehicle,,,,
"",,,,,,,Alone Assisted Alone Assisted,Alone,Assisted,Cleared
"",Type of Activity,A,B,C D,E,F,G H I J,K,L,M
"",,,,,,,,,,
"",,,,,,,,,,
"",,,,,,,,,,
1,"Responding to ""Disturbance"" Call",2,,,2,,1,,1,1
"",,,,,,,,,,
"",Burglaries in progress or pursuing burglary,,,,,,,,,
2,,0,,,,,,,,
"",suspect,,,,,,,,,
"",Robberies in progress or pursuing robbery,,,,,,,,,
3,,0,,,,,,,,
"",suspect,,,,,,,,,
4,Attempting other arrest,2,1,,1,,1 1,,,1
"",,,,,,,,,,
5,"Civil disorder (riot, mass disobedience)",0,,,,,,,,
"",,,,,,,,,,
"","Handling,  transporting, custody of",,,,,,,,,
6,,3,,,3,,1,1,1,2
"",prisoners,,,,,,,,,
"",Investigation suspicious persons or,,,,,,,,,
7,,1,,,1,,1,,,
"",circumstances,,,,,,,,,
8,Ambush - no warning,0,,,,,,,,
"",,,,,,,,,,
9,Mentally deranged,1,,1,,,1,,,1
"",,,,,,,,,,
10,Traffic pursuits and stops,0,,,,,,,,
"",,,,,,,,,,
11,All others,1,,,1,,,,1,1
"",,,,,,,,,,
12,TOTALS,10,1,0 1,8,0,0 5 0 1,1,3,6
13,Number with personal injury,5,1,,4,,,,,
"",,,,,,,,,,
14,Number without personal injury,5,,1,4,,,,,
"",,,,,,,,,,
"",AM,1,0,0 0,0,1,,,,
"",,,,,,,,,,
"",Time of Assaults PM,3,1,1 2,1,0,,,,
"",,,,,,,,,,
"",,12:01 -2:00,2:01 - 4:00,4:01 - 6:00 6:01 - 8:00,8:01 - 10:00,10:01 - 12:00,,,,
