Placement Type (of those in care),,,,,,,,,,,,,,,,,,,,,
"The number/percent of children on the caseload on the last day of each report period, by the level of care they were in on that day Report Time Period: January 1, 2012 - May 31, 2018 (Monthly)",,,,,,,,,,,,,,,,,,,,,
Statewide,,,,,,,,,,,,,,,,,,,,,
Filters Active,,,,,,,,,,,,,,,,,,,,,
Report Period,Jan 2012,,Feb 2012,,,Mar 2012,,,Apr 2012,,May 2012,,,Jun 2012,,,Jul 2012,,Aug 2012,,
Psychiatric RTC,0,0.0%,0,,0.0%,0,0.0%,,2,12.5%,2,,10.5%,2,10.5%,,2,11.1%,3,,16.7%
Boys School,1,11.1%,1,,10.0%,1,7.7%,,2,12.5%,4,,21.1%,6,31.6%,,4,22.2%,4,,22.2%
Girls School,4,44.4%,5,,50.0%,5,38.5%,,6,37.5%,6,,31.6%,7,36.8%,,6,33.3%,6,,33.3%
Detention,0,0.0%,0,,0.0%,1,7.7%,,0,0.0%,2,,10.5%,0,0.0%,,1,5.6%,2,,11.1%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Sep 30, 2012",,"Oct 31, 2012",,,"Nov 30, 2012",,,"Dec 31, 2012",,"Jan 31, 2013",,,"Feb 28, 2013",,,"Mar 31, 2013",,"Apr 30, 2013",,
Report Period,May 2013,,Jun 2013,,,Jul 2013,,,Aug 2013,,Sep 2013,,,Oct 2013,,,Nov 2013,,Dec 2013,,
Total Children in Care,18,100.0%,14,,100.0%,11,100.0%,,9,100.0%,11,,100.0%,11,100.0%,,15,100.0%,17,,100.0%
Total Family-like setting,1,5.6%,1,,7.1%,1,9.1%,,1,11.1%,1,,9.1%,1,9.1%,,1,6.7%,1,,5.9%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,1,11.1%,1,,9.1%,1,9.1%,,1,6.7%,1,,5.9%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,1,5.6%,1,,7.1%,1,9.1%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,17,94.4%,13,,92.9%,10,90.9%,,8,88.9%,10,,90.9%,10,90.9%,,14,93.3%,16,,94.1%
Group Home,3,16.7%,2,,14.3%,1,9.1%,,1,11.1%,0,,0.0%,0,0.0%,,2,13.3%,3,,17.6%
Residential Treatment,3,16.7%,3,,21.4%,3,27.3%,,3,33.3%,3,,27.3%,2,18.2%,,2,13.3%,1,,5.9%
Psychiatric RTC,2,11.1%,1,,7.1%,1,9.1%,,1,11.1%,1,,9.1%,1,9.1%,,1,6.7%,1,,5.9%
Boys School,4,22.2%,2,,14.3%,1,9.1%,,0,0.0%,0,,0.0%,2,18.2%,,4,26.7%,4,,23.5%
Girls School,3,16.7%,4,,28.6%,3,27.3%,,3,33.3%,3,,27.3%,4,36.4%,,5,33.3%,5,,29.4%
Detention,2,11.1%,1,,7.1%,1,9.1%,,0,0.0%,3,,27.3%,1,9.1%,,0,0.0%,2,,11.8%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"May 31, 2013",,"Jun 30, 2013",,,"Jul 31, 2013",,,"Aug 31, 2013",,"Sep 30, 2013",,,"Oct 31, 2013",,,"Nov 30, 2013",,"Dec 31, 2013",,
Report Period,Jan 2014,,Feb 2014,,,Mar 2014,,,Apr 2014,,May 2014,,,Jun 2014,,,Jul 2014,,Aug 2014,,
Total Children in Care,17,100.0%,20,,100.0%,20,100.0%,,23,100.0%,23,,100.0%,20,100.0%,,19,100.0%,19,,100.0%
Total Family-like setting,1,5.9%,1,,5.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,5.3%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,1,5.9%,1,,5.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,5.3%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,16,94.1%,19,,95.0%,20,100.0%,,23,100.0%,23,,100.0%,20,100.0%,,19,100.0%,18,,94.7%
Group Home,3,17.6%,2,,10.0%,3,15.0%,,4,17.4%,4,,17.4%,3,15.0%,,3,15.8%,2,,10.5%
Residential Treatment,1,5.9%,3,,15.0%,3,15.0%,,5,21.7%,5,,21.7%,5,25.0%,,4,21.1%,4,,21.1%
Psychiatric RTC,2,11.8%,2,,10.0%,3,15.0%,,3,13.0%,3,,13.0%,3,15.0%,,3,15.8%,3,,15.8%
Boys School,6,35.3%,6,,30.0%,6,30.0%,,6,26.1%,5,,21.7%,5,25.0%,,4,21.1%,3,,15.8%
Girls School,4,23.5%,4,,20.0%,5,25.0%,,5,21.7%,5,,21.7%,4,20.0%,,5,26.3%,4,,21.1%
Detention,0,0.0%,1,,5.0%,0,0.0%,,0,0.0%,1,,4.3%,0,0.0%,,0,0.0%,2,,10.5%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,1,,5.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Jan 31, 2014",,"Feb 28, 2014",,,"Mar 31, 2014",,,"Apr 30, 2014",,"May 31, 2014",,,"Jun 30, 2014",,,"Jul 31, 2014",,"Aug 31, 2014",,
Report Period,Sep 2014,,Oct 2014,,,Nov 2014,,,Dec 2014,,Jan 2015,,,Feb 2015,,,Mar 2015,,Apr 2015,,
Total Children in Care,21,100.0%,20,,100.0%,24,100.0%,,23,100.0%,20,,100.0%,20,100.0%,,16,100.0%,18,,100.0%
Total Family-like setting,1,4.8%,1,,5.0%,1,4.2%,,1,4.3%,1,,5.0%,1,5.0%,,1,6.3%,1,,5.6%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,1,4.8%,1,,5.0%,1,4.2%,,1,4.3%,1,,5.0%,1,5.0%,,1,6.3%,1,,5.6%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,19,90.5%,18,,90.0%,22,91.7%,,21,91.3%,18,,90.0%,19,95.0%,,15,93.8%,17,,94.4%
Group Home,3,14.3%,1,,5.0%,3,12.5%,,2,8.7%,2,,10.0%,2,10.0%,,1,6.3%,2,,11.1%
Residential Treatment,5,23.8%,6,,30.0%,5,20.8%,,5,21.7%,5,,25.0%,5,25.0%,,3,18.8%,3,,16.7%
Psychiatric RTC,3,14.3%,2,,10.0%,2,8.3%,,2,8.7%,2,,10.0%,2,10.0%,,1,6.3%,1,,5.6%
Boys School,4,19.0%,5,,25.0%,5,20.8%,,7,30.4%,7,,35.0%,7,35.0%,,7,43.8%,7,,38.9%
Girls School,4,19.0%,4,,20.0%,4,16.7%,,4,17.4%,2,,10.0%,3,15.0%,,2,12.5%,3,,16.7%
Detention,0,0.0%,0,,0.0%,2,8.3%,,1,4.3%,0,,0.0%,0,0.0%,,0,0.0%,1,,5.6%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,1,4.2%,,0,0.0%,0,,0.0%,0,0.0%,,1,6.3%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,1,4.8%,1,,5.0%,1,4.2%,,1,4.3%,1,,5.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Sep 30, 2014",,"Oct 31, 2014",,,"Nov 30, 2014",,,"Dec 31, 2014",,"Jan 31, 2015",,,"Feb 28, 2015",,,"Mar 31, 2015",,"Apr 30, 2015",,
Report Period,May 2015,,Jun 2015,,,Jul 2015,,,Aug 2015,,Sep 2015,,,Oct 2015,,,Nov 2015,,Dec 2015,,
Total Children in Care,15,100.0%,16,,100.0%,16,100.0%,,13,100.0%,17,,100.0%,17,100.0%,,19,100.0%,19,,100.0%
Total Family-like setting,3,20.0%,2,,12.5%,2,12.5%,,2,15.4%,2,,11.8%,1,5.9%,,1,5.3%,1,,5.3%
Relative foster home,0,0.0%,1,,6.3%,1,6.3%,,1,7.7%,1,,5.9%,1,5.9%,,1,5.3%,1,,5.3%
Non-relative foster home,2,13.3%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,1,6.7%,1,,6.3%,1,6.3%,,1,7.7%,1,,5.9%,0,0.0%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,12,80.0%,14,,87.5%,14,87.5%,,11,84.6%,15,,88.2%,16,94.1%,,18,94.7%,18,,94.7%
Group Home,1,6.7%,2,,12.5%,2,12.5%,,2,15.4%,4,,23.5%,5,29.4%,,5,26.3%,5,,26.3%
Residential Treatment,1,6.7%,2,,12.5%,1,6.3%,,1,7.7%,1,,5.9%,1,5.9%,,1,5.3%,1,,5.3%
Psychiatric RTC,1,6.7%,0,,0.0%,1,6.3%,,1,7.7%,1,,5.9%,1,5.9%,,1,5.3%,1,,5.3%
Boys School,5,33.3%,5,,31.3%,7,43.8%,,6,46.2%,8,,47.1%,7,41.2%,,9,47.4%,9,,47.4%
Girls School,2,13.3%,2,,12.5%,2,12.5%,,1,7.7%,1,,5.9%,1,5.9%,,2,10.5%,2,,10.5%
Detention,1,6.7%,3,,18.8%,1,6.3%,,0,0.0%,0,,0.0%,1,5.9%,,0,0.0%,0,,0.0%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,1,6.7%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"May 31, 2015",,"Jun 30, 2015",,,"Jul 31, 2015",,,"Aug 31, 2015",,"Sep 30, 2015",,,"Oct 31, 2015",,,"Nov 30, 2015",,"Dec 31, 2015",,
Report Period,Jan 2016,,Feb 2016,,,Mar 2016,,,Apr 2016,,May 2016,,,Jun 2016,,,Jul 2016,,Aug 2016,,
Total Children in Care,18,100.0%,18,,100.0%,17,100.0%,,11,100.0%,9,,100.0%,9,100.0%,,9,100.0%,10,,100.0%
Total Family-like setting,1,5.6%,1,,5.6%,1,5.9%,,1,9.1%,1,,11.1%,1,11.1%,,1,11.1%,2,,20.0%
Relative foster home,1,5.6%,1,,5.6%,1,5.9%,,1,9.1%,1,,11.1%,1,11.1%,,1,11.1%,1,,10.0%
Non-relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,10.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,17,94.4%,17,,94.4%,16,94.1%,,10,90.9%,8,,88.9%,8,88.9%,,8,88.9%,8,,80.0%
Group Home,4,22.2%,5,,27.8%,7,41.2%,,2,18.2%,3,,33.3%,2,22.2%,,2,22.2%,0,,0.0%
Residential Treatment,1,5.6%,1,,5.6%,1,5.9%,,3,27.3%,2,,22.2%,3,33.3%,,3,33.3%,3,,30.0%
Psychiatric RTC,2,11.1%,2,,11.1%,2,11.8%,,1,9.1%,1,,11.1%,1,11.1%,,1,11.1%,1,,10.0%
Boys School,9,50.0%,7,,38.9%,4,23.5%,,3,27.3%,1,,11.1%,2,22.2%,,1,11.1%,0,,0.0%
