Placement Type (of those in care),,,,,,,,,,,,,,,,,,,,,
"The number/percent of children on the caseload on the last day of each report period, by the level of care they were in on that day Report Time Period: January 1, 2012 - May 31, 2018 (Monthly)",,,,,,,,,,,,,,,,,,,,,
Statewide,,,,,,,,,,,,,,,,,,,,,
Filters Active,,,,,,,,,,,,,,,,,,,,,
Report Period,Jan 2012,,Feb 2012,,,Mar 2012,,,Apr 2012,,May 2012,,,Jun 2012,,,Jul 2012,,Aug 2012,,
Total Group Care,8,100.0%,10,,100.0%,12,100.0%,,12,100.0%,19,,100.0%,25,100.0%,,31,100.0%,37,,100.0%
Group Home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,3,12.0%,,3,9.7%,2,,5.4%
Residential Treatment,5,62.5%,5,,50.0%,6,50.0%,,6,50.0%,9,,47.4%,11,44.0%,,15,48.4%,21,,56.8%
Psychiatric RTC,0,0.0%,1,,10.0%,1,8.3%,,1,8.3%,1,,5.3%,1,4.0%,,1,3.2%,2,,5.4%
Boys School,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,5.3%,2,8.0%,,2,6.5%,3,,8.1%
Girls School,2,25.0%,4,,40.0%,5,41.7%,,5,41.7%,5,,26.3%,6,24.0%,,6,19.4%,8,,21.6%
Detention,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,3,,15.8%,2,8.0%,,4,12.9%,1,,2.7%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,1,12.5%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Jan 31, 2012",,"Feb 29, 2012",,,"Mar 31, 2012",,,"Apr 30, 2012",,"May 31, 2012",,,"Jun 30, 2012",,,"Jul 31, 2012",,"Aug 31, 2012",,
Report Period,Sep 2012,,Oct 2012,,,Nov 2012,,,Dec 2012,,Jan 2013,,,Feb 2013,,,Mar 2013,,Apr 2013,,
Total Children in Care,40,100.0%,41,,100.0%,46,100.0%,,53,100.0%,46,,100.0%,48,100.0%,,45,100.0%,54,,100.0%
Total Family-like setting,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,1,2.2%,1,,1.9%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,1,2.2%,1,,1.9%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,40,100.0%,41,,100.0%,45,97.8%,,52,98.1%,45,,97.8%,48,100.0%,,44,97.8%,53,,98.1%
Group Home,2,5.0%,1,,2.4%,1,2.2%,,1,1.9%,1,,2.2%,1,2.1%,,1,2.2%,4,,7.4%
Residential Treatment,23,57.5%,25,,61.0%,28,60.9%,,32,60.4%,28,,60.9%,28,58.3%,,27,60.0%,30,,55.6%
Psychiatric RTC,2,5.0%,3,,7.3%,3,6.5%,,7,13.2%,6,,13.0%,7,14.6%,,7,15.6%,7,,13.0%
Boys School,3,7.5%,4,,9.8%,4,8.7%,,4,7.5%,5,,10.9%,5,10.4%,,4,8.9%,5,,9.3%
Girls School,8,20.0%,8,,19.5%,6,13.0%,,6,11.3%,2,,4.3%,2,4.2%,,3,6.7%,4,,7.4%
Detention,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Crisis Center,1,2.5%,0,,0.0%,1,2.2%,,2,3.8%,3,,6.5%,4,8.3%,,1,2.2%,2,,3.7%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,1,2.5%,0,,0.0%,2,4.3%,,0,0.0%,0,,0.0%,1,2.1%,,1,2.2%,1,,1.9%
Runaway,0,0.0%,0,,0.0%,1,2.2%,,1,1.9%,1,,2.2%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Sep 30, 2012",,"Oct 31, 2012",,,"Nov 30, 2012",,,"Dec 31, 2012",,"Jan 31, 2013",,,"Feb 28, 2013",,,"Mar 31, 2013",,"Apr 30, 2013",,
Report Period,May 2013,,Jun 2013,,,Jul 2013,,,Aug 2013,,Sep 2013,,,Oct 2013,,,Nov 2013,,Dec 2013,,
Total Children in Care,50,100.0%,47,,100.0%,40,100.0%,,38,100.0%,35,,100.0%,31,100.0%,,34,100.0%,30,,100.0%
Total Family-like setting,1,2.0%,1,,2.1%,1,2.5%,,2,5.3%,1,,2.9%,3,9.7%,,3,8.8%,3,,10.0%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,1,3.2%,,1,2.9%,1,,3.3%
Non-relative foster home,1,2.0%,1,,2.1%,1,2.5%,,2,5.3%,1,,2.9%,2,6.5%,,2,5.9%,2,,6.7%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,49,98.0%,46,,97.9%,39,97.5%,,36,94.7%,34,,97.1%,28,90.3%,,31,91.2%,27,,90.0%
Group Home,5,10.0%,4,,8.5%,2,5.0%,,2,5.3%,1,,2.9%,3,9.7%,,3,8.8%,2,,6.7%
Residential Treatment,26,52.0%,24,,51.1%,20,50.0%,,17,44.7%,16,,45.7%,15,48.4%,,17,50.0%,17,,56.7%
Psychiatric RTC,7,14.0%,6,,12.8%,5,12.5%,,6,15.8%,5,,14.3%,2,6.5%,,2,5.9%,2,,6.7%
Boys School,7,14.0%,5,,10.6%,5,12.5%,,5,13.2%,5,,14.3%,4,12.9%,,4,11.8%,1,,3.3%
Girls School,3,6.0%,4,,8.5%,4,10.0%,,3,7.9%,3,,8.6%,1,3.2%,,1,2.9%,1,,3.3%
Detention,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,1,2.9%,0,,0.0%
Crisis Center,0,0.0%,2,,4.3%,3,7.5%,,3,7.9%,3,,8.6%,2,6.5%,,3,8.8%,4,,13.3%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,1,2.0%,1,,2.1%,0,0.0%,,0,0.0%,1,,2.9%,1,3.2%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"May 31, 2013",,"Jun 30, 2013",,,"Jul 31, 2013",,,"Aug 31, 2013",,"Sep 30, 2013",,,"Oct 31, 2013",,,"Nov 30, 2013",,"Dec 31, 2013",,
Report Period,Jan 2014,,Feb 2014,,,Mar 2014,,,Apr 2014,,May 2014,,,Jun 2014,,,Jul 2014,,Aug 2014,,
Total Children in Care,30,100.0%,27,,100.0%,31,100.0%,,25,100.0%,30,,100.0%,31,100.0%,,33,100.0%,35,,100.0%
Total Family-like setting,4,13.3%,4,,14.8%,3,9.7%,,2,8.0%,1,,3.3%,2,6.5%,,2,6.1%,3,,8.6%
Relative foster home,1,3.3%,1,,3.7%,1,3.2%,,1,4.0%,0,,0.0%,1,3.2%,,1,3.0%,1,,2.9%
Non-relative foster home,3,10.0%,3,,11.1%,2,6.5%,,1,4.0%,1,,3.3%,1,3.2%,,0,0.0%,1,,2.9%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,1,3.0%,1,,2.9%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,26,86.7%,23,,85.2%,28,90.3%,,23,92.0%,29,,96.7%,29,93.5%,,31,93.9%,32,,91.4%
Group Home,4,13.3%,2,,7.4%,0,0.0%,,0,0.0%,2,,6.7%,1,3.2%,,2,6.1%,4,,11.4%
Residential Treatment,15,50.0%,15,,55.6%,15,48.4%,,13,52.0%,13,,43.3%,11,35.5%,,13,39.4%,13,,37.1%
Psychiatric RTC,1,3.3%,2,,7.4%,2,6.5%,,3,12.0%,3,,10.0%,4,12.9%,,4,12.1%,3,,8.6%
Boys School,1,3.3%,1,,3.7%,2,6.5%,,3,12.0%,3,,10.0%,5,16.1%,,4,12.1%,3,,8.6%
Girls School,0,0.0%,0,,0.0%,1,3.2%,,1,4.0%,1,,3.3%,1,3.2%,,2,6.1%,2,,5.7%
Detention,2,6.7%,0,,0.0%,1,3.2%,,0,0.0%,2,,6.7%,0,0.0%,,1,3.0%,1,,2.9%
Crisis Center,3,10.0%,3,,11.1%,6,19.4%,,3,12.0%,5,,16.7%,6,19.4%,,4,12.1%,4,,11.4%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,1,3.2%,,0,0.0%,0,,0.0%,1,3.2%,,1,3.0%,2,,5.7%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Jan 31, 2014",,"Feb 28, 2014",,,"Mar 31, 2014",,,"Apr 30, 2014",,"May 31, 2014",,,"Jun 30, 2014",,,"Jul 31, 2014",,"Aug 31, 2014",,
Report Period,Sep 2014,,Oct 2014,,,Nov 2014,,,Dec 2014,,Jan 2015,,,Feb 2015,,,Mar 2015,,Apr 2015,,
Total Children in Care,38,100.0%,41,,100.0%,34,100.0%,,34,100.0%,36,,100.0%,37,100.0%,,40,100.0%,40,,100.0%
Total Family-like setting,3,7.9%,3,,7.3%,2,5.9%,,1,2.9%,2,,5.6%,1,2.7%,,1,2.5%,1,,2.5%
Relative foster home,1,2.6%,1,,2.4%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,2,5.3%,2,,4.9%,2,5.9%,,1,2.9%,1,,2.8%,1,2.7%,,1,2.5%,1,,2.5%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,2.8%,0,0.0%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,35,92.1%,38,,92.7%,32,94.1%,,33,97.1%,34,,94.4%,36,97.3%,,39,97.5%,39,,97.5%
Group Home,6,15.8%,5,,12.2%,2,5.9%,,2,5.9%,1,,2.8%,1,2.7%,,2,5.0%,2,,5.0%
Residential Treatment,13,34.2%,14,,34.1%,13,38.2%,,11,32.4%,13,,36.1%,14,37.8%,,13,32.5%,13,,32.5%
Psychiatric RTC,3,7.9%,4,,9.8%,2,5.9%,,1,2.9%,2,,5.6%,3,8.1%,,4,10.0%,5,,12.5%
Boys School,7,18.4%,8,,19.5%,9,26.5%,,11,32.4%,12,,33.3%,12,32.4%,,12,30.0%,12,,30.0%
Girls School,2,5.3%,2,,4.9%,2,5.9%,,2,5.9%,2,,5.6%,3,8.1%,,4,10.0%,5,,12.5%
Detention,1,2.6%,1,,2.4%,1,2.9%,,1,2.9%,0,,0.0%,1,2.7%,,1,2.5%,0,,0.0%
Crisis Center,3,7.9%,4,,9.8%,3,8.8%,,4,11.8%,3,,8.3%,2,5.4%,,3,7.5%,2,,5.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,1,2.9%,1,,2.8%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Sep 30, 2014",,"Oct 31, 2014",,,"Nov 30, 2014",,,"Dec 31, 2014",,"Jan 31, 2015",,,"Feb 28, 2015",,,"Mar 31, 2015",,"Apr 30, 2015",,
Report Period,May 2015,,Jun 2015,,,Jul 2015,,,Aug 2015,,Sep 2015,,,Oct 2015,,,Nov 2015,,Dec 2015,,
Total Children in Care,40,100.0%,40,,100.0%,36,100.0%,,33,100.0%,34,,100.0%,35,100.0%,,37,100.0%,39,,100.0%
Total Family-like setting,1,2.5%,0,,0.0%,1,2.8%,,0,0.0%,0,,0.0%,1,2.9%,,1,2.7%,1,,2.6%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,1,2.5%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,1,2.9%,,1,2.7%,1,,2.6%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,1,2.8%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,39,97.5%,40,,100.0%,35,97.2%,,33,100.0%,34,,100.0%,34,97.1%,,36,97.3%,38,,97.4%
Group Home,2,5.0%,2,,5.0%,2,5.6%,,2,6.1%,6,,17.6%,5,14.3%,,5,13.5%,3,,7.7%
Residential Treatment,12,30.0%,12,,30.0%,11,30.6%,,11,33.3%,11,,32.4%,10,28.6%,,13,35.1%,17,,43.6%
Psychiatric RTC,5,12.5%,5,,12.5%,5,13.9%,,5,15.2%,4,,11.8%,4,11.4%,,4,10.8%,5,,12.8%
Boys School,12,30.0%,12,,30.0%,11,30.6%,,8,24.2%,10,,29.4%,8,22.9%,,10,27.0%,8,,20.5%
Girls School,4,10.0%,4,,10.0%,4,11.1%,,3,9.1%,2,,5.9%,2,5.7%,,2,5.4%,3,,7.7%
Detention,0,0.0%,0,,0.0%,0,0.0%,,3,9.1%,0,,0.0%,3,8.6%,,1,2.7%,1,,2.6%
Crisis Center,3,7.5%,3,,7.5%,1,2.8%,,1,3.0%,1,,2.9%,0,0.0%,,0,0.0%,1,,2.6%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,1,2.5%,2,,5.0%,1,2.8%,,0,0.0%,0,,0.0%,2,5.7%,,1,2.7%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"May 31, 2015",,"Jun 30, 2015",,,"Jul 31, 2015",,,"Aug 31, 2015",,"Sep 30, 2015",,,"Oct 31, 2015",,,"Nov 30, 2015",,"Dec 31, 2015",,
Report Period,Jan 2016,,Feb 2016,,,Mar 2016,,,Apr 2016,,May 2016,,,Jun 2016,,,Jul 2016,,Aug 2016,,
Total Children in Care,38,100.0%,42,,100.0%,37,100.0%,,40,100.0%,40,,100.0%,37,100.0%,,39,100.0%,31,,100.0%
Total Family-like setting,2,5.3%,2,,4.8%,2,5.4%,,2,5.0%,3,,7.5%,2,5.4%,,2,5.1%,0,,0.0%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,2,5.3%,2,,4.8%,2,5.4%,,2,5.0%,2,,5.0%,1,2.7%,,0,0.0%,0,,0.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,2.5%,1,2.7%,,2,5.1%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,36,94.7%,40,,95.2%,35,94.6%,,38,95.0%,37,,92.5%,35,94.6%,,37,94.9%,31,,100.0%
Group Home,6,15.8%,6,,14.3%,4,10.8%,,5,12.5%,4,,10.0%,4,10.8%,,3,7.7%,4,,12.9%
Residential Treatment,15,39.5%,16,,38.1%,14,37.8%,,13,32.5%,14,,35.0%,11,29.7%,,10,25.6%,10,,32.3%
Psychiatric RTC,5,13.2%,7,,16.7%,7,18.9%,,7,17.5%,6,,15.0%,8,21.6%,,8,20.5%,6,,19.4%
Boys School,7,18.4%,8,,19.0%,7,18.9%,,7,17.5%,6,,15.0%,6,16.2%,,5,12.8%,4,,12.9%
