Placement Type (of those in care),,,,,,,,,,,,,,,,,,,,,
"The number/percent of children on the caseload on the last day of each report period, by the level of care they were in on that day Report Time Period: January 1, 2012 - May 31, 2018 (Monthly)",,,,,,,,,,,,,,,,,,,,,
Statewide,,,,,,,,,,,,,,,,,,,,,
Filters Active,,,,,,,,,,,,,,,,,,,,,
Report Period,Jan 2012,,Feb 2012,,,Mar 2012,,,Apr 2012,,May 2012,,,Jun 2012,,,Jul 2012,,Aug 2012,,
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,16,88.9%,18,,90.0%,18,85.7%,,20,87.0%,16,,84.2%,14,77.8%,,13,68.4%,12,,66.7%
Group Home,1,5.6%,2,,10.0%,2,9.5%,,2,8.7%,1,,5.3%,0,0.0%,,1,5.3%,0,,0.0%
Residential Treatment,5,27.8%,6,,30.0%,6,28.6%,,7,30.4%,5,,26.3%,4,22.2%,,4,21.1%,4,,22.2%
Psychiatric RTC,1,5.6%,1,,5.0%,1,4.8%,,1,4.3%,1,,5.3%,1,5.6%,,1,5.3%,1,,5.6%
Boys School,6,33.3%,7,,35.0%,7,33.3%,,7,30.4%,7,,36.8%,8,44.4%,,6,31.6%,6,,33.3%
Girls School,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Detention,3,16.7%,2,,10.0%,2,9.5%,,3,13.0%,1,,5.3%,0,0.0%,,1,5.3%,1,,5.6%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,5.3%,1,5.6%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Sep 30, 2012",,"Oct 31, 2012",,,"Nov 30, 2012",,,"Dec 31, 2012",,"Jan 31, 2013",,,"Feb 28, 2013",,,"Mar 31, 2013",,"Apr 30, 2013",,
Report Period,May 2013,,Jun 2013,,,Jul 2013,,,Aug 2013,,Sep 2013,,,Oct 2013,,,Nov 2013,,Dec 2013,,
Total Children in Care,20,100.0%,18,,100.0%,16,100.0%,,18,100.0%,20,,100.0%,20,100.0%,,18,100.0%,17,,100.0%
Total Family-like setting,6,30.0%,4,,22.2%,3,18.8%,,5,27.8%,7,,35.0%,8,40.0%,,6,33.3%,6,,35.3%
Relative foster home,0,0.0%,0,,0.0%,1,6.3%,,2,11.1%,2,,10.0%,3,15.0%,,2,11.1%,3,,17.6%
Non-relative foster home,4,20.0%,3,,16.7%,2,12.5%,,3,16.7%,5,,25.0%,5,25.0%,,4,22.2%,3,,17.6%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Supervised Independent Living,2,10.0%,1,,5.6%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,14,70.0%,13,,72.2%,12,75.0%,,13,72.2%,13,,65.0%,12,60.0%,,12,66.7%,11,,64.7%
Group Home,1,5.0%,0,,0.0%,2,12.5%,,2,11.1%,1,,5.0%,1,5.0%,,2,11.1%,1,,5.9%
Residential Treatment,4,20.0%,4,,22.2%,3,18.8%,,3,16.7%,4,,20.0%,4,20.0%,,3,16.7%,4,,23.5%
Psychiatric RTC,1,5.0%,1,,5.6%,1,6.3%,,1,5.6%,1,,5.0%,1,5.0%,,1,5.6%,1,,5.9%
Boys School,6,30.0%,6,,33.3%,5,31.3%,,4,22.2%,3,,15.0%,5,25.0%,,5,27.8%,4,,23.5%
Girls School,0,0.0%,1,,5.6%,1,6.3%,,1,5.6%,1,,5.0%,1,5.0%,,1,5.6%,1,,5.9%
Detention,2,10.0%,1,,5.6%,0,0.0%,,1,5.6%,2,,10.0%,0,0.0%,,0,0.0%,0,,0.0%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,1,5.6%,1,,5.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,1,,5.6%,1,6.3%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"May 31, 2013",,"Jun 30, 2013",,,"Jul 31, 2013",,,"Aug 31, 2013",,"Sep 30, 2013",,,"Oct 31, 2013",,,"Nov 30, 2013",,"Dec 31, 2013",,
Report Period,Jan 2014,,Feb 2014,,,Mar 2014,,,Apr 2014,,May 2014,,,Jun 2014,,,Jul 2014,,Aug 2014,,
Total Children in Care,17,100.0%,17,,100.0%,17,100.0%,,19,100.0%,20,,100.0%,20,100.0%,,21,100.0%,22,,100.0%
Total Family-like setting,7,41.2%,8,,47.1%,7,41.2%,,7,36.8%,8,,40.0%,6,30.0%,,5,23.8%,5,,22.7%
Relative foster home,3,17.6%,3,,17.6%,3,17.6%,,3,15.8%,3,,15.0%,2,10.0%,,1,4.8%,1,,4.5%
Non-relative foster home,4,23.5%,4,,23.5%,3,17.6%,,3,15.8%,4,,20.0%,2,10.0%,,2,9.5%,4,,18.2%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,1,,5.9%,1,5.9%,,1,5.3%,1,,5.0%,2,10.0%,,2,9.5%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,10,58.8%,9,,52.9%,10,58.8%,,12,63.2%,12,,60.0%,14,70.0%,,16,76.2%,17,,77.3%
Group Home,1,5.9%,1,,5.9%,1,5.9%,,1,5.3%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Residential Treatment,5,29.4%,5,,29.4%,5,29.4%,,7,36.8%,8,,40.0%,9,45.0%,,8,38.1%,8,,36.4%
Psychiatric RTC,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,1,4.8%,1,,4.5%
Boys School,3,17.6%,2,,11.8%,1,5.9%,,1,5.3%,1,,5.0%,2,10.0%,,4,19.0%,5,,22.7%
Girls School,1,5.9%,1,,5.9%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Detention,0,0.0%,0,,0.0%,3,17.6%,,3,15.8%,3,,15.0%,3,15.0%,,3,14.3%,3,,13.6%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Jan 31, 2014",,"Feb 28, 2014",,,"Mar 31, 2014",,,"Apr 30, 2014",,"May 31, 2014",,,"Jun 30, 2014",,,"Jul 31, 2014",,"Aug 31, 2014",,
Report Period,Sep 2014,,Oct 2014,,,Nov 2014,,,Dec 2014,,Jan 2015,,,Feb 2015,,,Mar 2015,,Apr 2015,,
Total Children in Care,21,100.0%,21,,100.0%,22,100.0%,,23,100.0%,25,,100.0%,24,100.0%,,25,100.0%,25,,100.0%
Total Family-like setting,5,23.8%,4,,19.0%,4,18.2%,,5,21.7%,5,,20.0%,4,16.7%,,5,20.0%,5,,20.0%
Relative foster home,1,4.8%,1,,4.8%,1,4.5%,,1,4.3%,1,,4.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,4,19.0%,3,,14.3%,3,13.6%,,3,13.0%,3,,12.0%,3,12.5%,,3,12.0%,3,,12.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,1,4.3%,1,,4.0%,1,4.2%,,2,8.0%,2,,8.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,16,76.2%,17,,81.0%,18,81.8%,,18,78.3%,20,,80.0%,20,83.3%,,20,80.0%,20,,80.0%
Group Home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,4.0%,1,4.2%,,1,4.0%,2,,8.0%
Residential Treatment,7,33.3%,7,,33.3%,7,31.8%,,9,39.1%,11,,44.0%,11,45.8%,,11,44.0%,11,,44.0%
Psychiatric RTC,2,9.5%,2,,9.5%,2,9.1%,,3,13.0%,2,,8.0%,2,8.3%,,2,8.0%,2,,8.0%
Boys School,6,28.6%,6,,28.6%,6,27.3%,,5,21.7%,4,,16.0%,3,12.5%,,2,8.0%,2,,8.0%
Girls School,1,4.8%,1,,4.8%,1,4.5%,,1,4.3%,1,,4.0%,2,8.3%,,2,8.0%,2,,8.0%
Detention,0,0.0%,1,,4.8%,1,4.5%,,0,0.0%,1,,4.0%,1,4.2%,,1,4.0%,1,,4.0%
Crisis Center,0,0.0%,0,,0.0%,1,4.5%,,0,0.0%,0,,0.0%,0,0.0%,,1,4.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Sep 30, 2014",,"Oct 31, 2014",,,"Nov 30, 2014",,,"Dec 31, 2014",,"Jan 31, 2015",,,"Feb 28, 2015",,,"Mar 31, 2015",,"Apr 30, 2015",,
Report Period,May 2015,,Jun 2015,,,Jul 2015,,,Aug 2015,,Sep 2015,,,Oct 2015,,,Nov 2015,,Dec 2015,,
Total Children in Care,23,100.0%,20,,100.0%,20,100.0%,,20,100.0%,18,,100.0%,13,100.0%,,12,100.0%,12,,100.0%
Total Family-like setting,4,17.4%,3,,15.0%,3,15.0%,,5,25.0%,5,,27.8%,4,30.8%,,3,25.0%,5,,41.7%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,1,4.3%,1,,5.0%,1,5.0%,,2,10.0%,2,,11.1%,2,15.4%,,1,8.3%,1,,8.3%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,3,13.0%,2,,10.0%,2,10.0%,,3,15.0%,3,,16.7%,2,15.4%,,2,16.7%,4,,33.3%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,19,82.6%,17,,85.0%,17,85.0%,,15,75.0%,13,,72.2%,9,69.2%,,9,75.0%,7,,58.3%
Group Home,2,8.7%,3,,15.0%,2,10.0%,,1,5.0%,1,,5.6%,1,7.7%,,1,8.3%,0,,0.0%
Residential Treatment,10,43.5%,8,,40.0%,7,35.0%,,6,30.0%,5,,27.8%,2,15.4%,,4,33.3%,4,,33.3%
Psychiatric RTC,1,4.3%,1,,5.0%,1,5.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Boys School,3,13.0%,2,,10.0%,2,10.0%,,3,15.0%,4,,22.2%,4,30.8%,,4,33.3%,3,,25.0%
Girls School,2,8.7%,2,,10.0%,2,10.0%,,2,10.0%,2,,11.1%,0,0.0%,,0,0.0%,0,,0.0%
Detention,1,4.3%,0,,0.0%,2,10.0%,,2,10.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Crisis Center,0,0.0%,1,,5.0%,1,5.0%,,1,5.0%,1,,5.6%,2,15.4%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"May 31, 2015",,"Jun 30, 2015",,,"Jul 31, 2015",,,"Aug 31, 2015",,"Sep 30, 2015",,,"Oct 31, 2015",,,"Nov 30, 2015",,"Dec 31, 2015",,
Report Period,Jan 2016,,Feb 2016,,,Mar 2016,,,Apr 2016,,May 2016,,,Jun 2016,,,Jul 2016,,Aug 2016,,
Total Children in Care,11,100.0%,11,,100.0%,11,100.0%,,10,100.0%,11,,100.0%,11,100.0%,,11,100.0%,9,,100.0%
Total Family-like setting,2,18.2%,2,,18.2%,1,9.1%,,1,10.0%,1,,9.1%,2,18.2%,,2,18.2%,1,,11.1%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,1,9.1%,1,,9.1%,1,9.1%,,1,10.0%,1,,9.1%,1,9.1%,,1,9.1%,1,,11.1%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,1,9.1%,1,,9.1%,0,0.0%,,0,0.0%,0,,0.0%,1,9.1%,,1,9.1%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,9,81.8%,9,,81.8%,10,90.9%,,9,90.0%,10,,90.9%,9,81.8%,,9,81.8%,8,,88.9%
Group Home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,1,9.1%,,1,9.1%,1,,11.1%
Residential Treatment,5,45.5%,4,,36.4%,4,36.4%,,4,40.0%,4,,36.4%,5,45.5%,,5,45.5%,3,,33.3%
Psychiatric RTC,0,0.0%,1,,9.1%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,11.1%
Boys School,3,27.3%,3,,27.3%,3,27.3%,,3,30.0%,2,,18.2%,1,9.1%,,1,9.1%,1,,11.1%
