Placement Type (of those in care),,,,,,,,,,,,,,,,,,,,,
"The number/percent of children on the caseload on the last day of each report period, by the level of care they were in on that day Report Time Period: January 1, 2012 - May 31, 2018 (Monthly)",,,,,,,,,,,,,,,,,,,,,
Statewide,,,,,,,,,,,,,,,,,,,,,
Filters Active,,,,,,,,,,,,,,,,,,,,,
Report Period,Jan 2012,,Feb 2012,,,Mar 2012,,,Apr 2012,,May 2012,,,Jun 2012,,,Jul 2012,,Aug 2012,,
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Jan 31, 2012",,"Feb 29, 2012",,,"Mar 31, 2012",,,"Apr 30, 2012",,"May 31, 2012",,,"Jun 30, 2012",,,"Jul 31, 2012",,"Aug 31, 2012",,
Report Period,Sep 2012,,Oct 2012,,,Nov 2012,,,Dec 2012,,Jan 2013,,,Feb 2013,,,Mar 2013,,Apr 2013,,
Total Children in Care,26,100.0%,31,,100.0%,32,100.0%,,35,100.0%,36,,100.0%,35,100.0%,,38,100.0%,36,,100.0%
Total Family-like setting,3,11.5%,3,,9.7%,3,9.4%,,2,5.7%,1,,2.8%,0,0.0%,,0,0.0%,0,,0.0%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,1,3.8%,1,,3.2%,1,3.1%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Supervised Independent Living,2,7.7%,2,,6.5%,2,6.3%,,2,5.7%,1,,2.8%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,23,88.5%,28,,90.3%,29,90.6%,,33,94.3%,35,,97.2%,35,100.0%,,38,100.0%,36,,100.0%
Group Home,4,15.4%,3,,9.7%,3,9.4%,,4,11.4%,3,,8.3%,3,8.6%,,5,13.2%,4,,11.1%
Residential Treatment,3,11.5%,4,,12.9%,6,18.8%,,7,20.0%,7,,19.4%,9,25.7%,,9,23.7%,9,,25.0%
Psychiatric RTC,1,3.8%,0,,0.0%,1,3.1%,,1,2.9%,1,,2.8%,1,2.9%,,1,2.6%,1,,2.8%
Boys School,9,34.6%,11,,35.5%,14,43.8%,,14,40.0%,16,,44.4%,15,42.9%,,16,42.1%,15,,41.7%
Girls School,3,11.5%,4,,12.9%,5,15.6%,,5,14.3%,4,,11.1%,6,17.1%,,6,15.8%,5,,13.9%
Detention,2,7.7%,5,,16.1%,0,0.0%,,2,5.7%,3,,8.3%,1,2.9%,,0,0.0%,0,,0.0%
Crisis Center,1,3.8%,1,,3.2%,0,0.0%,,0,0.0%,1,,2.8%,0,0.0%,,1,2.6%,2,,5.6%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Sep 30, 2012",,"Oct 31, 2012",,,"Nov 30, 2012",,,"Dec 31, 2012",,"Jan 31, 2013",,,"Feb 28, 2013",,,"Mar 31, 2013",,"Apr 30, 2013",,
Report Period,May 2013,,Jun 2013,,,Jul 2013,,,Aug 2013,,Sep 2013,,,Oct 2013,,,Nov 2013,,Dec 2013,,
Total Children in Care,36,100.0%,29,,100.0%,33,100.0%,,33,100.0%,37,,100.0%,35,100.0%,,34,100.0%,29,,100.0%
Total Family-like setting,0,0.0%,0,,0.0%,1,3.0%,,1,3.0%,1,,2.7%,1,2.9%,,1,2.9%,1,,3.4%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,3.4%
Supervised Independent Living,0,0.0%,0,,0.0%,1,3.0%,,1,3.0%,1,,2.7%,1,2.9%,,1,2.9%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,35,97.2%,28,,96.6%,31,93.9%,,32,97.0%,36,,97.3%,34,97.1%,,33,97.1%,28,,96.6%
Group Home,3,8.3%,2,,6.9%,2,6.1%,,2,6.1%,2,,5.4%,3,8.6%,,2,5.9%,2,,6.9%
Residential Treatment,10,27.8%,10,,34.5%,12,36.4%,,12,36.4%,14,,37.8%,13,37.1%,,13,38.2%,9,,31.0%
Psychiatric RTC,1,2.8%,2,,6.9%,2,6.1%,,2,6.1%,2,,5.4%,2,5.7%,,1,2.9%,1,,3.4%
Boys School,13,36.1%,9,,31.0%,9,27.3%,,10,30.3%,14,,37.8%,12,34.3%,,13,38.2%,11,,37.9%
Girls School,3,8.3%,2,,6.9%,2,6.1%,,2,6.1%,2,,5.4%,2,5.7%,,2,5.9%,2,,6.9%
Detention,4,11.1%,2,,6.9%,1,3.0%,,3,9.1%,1,,2.7%,2,5.7%,,2,5.9%,3,,10.3%
Crisis Center,0,0.0%,1,,3.4%,3,9.1%,,1,3.0%,1,,2.7%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,1,2.8%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,1,2.8%,1,,3.4%,1,3.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"May 31, 2013",,"Jun 30, 2013",,,"Jul 31, 2013",,,"Aug 31, 2013",,"Sep 30, 2013",,,"Oct 31, 2013",,,"Nov 30, 2013",,"Dec 31, 2013",,
Report Period,Jan 2014,,Feb 2014,,,Mar 2014,,,Apr 2014,,May 2014,,,Jun 2014,,,Jul 2014,,Aug 2014,,
Total Children in Care,26,100.0%,30,,100.0%,25,100.0%,,26,100.0%,23,,100.0%,21,100.0%,,19,100.0%,19,,100.0%
Total Family-like setting,1,3.8%,1,,3.3%,0,0.0%,,0,0.0%,2,,8.7%,3,14.3%,,1,5.3%,1,,5.3%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,4.3%,1,4.8%,,1,5.3%,1,,5.3%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,1,3.8%,1,,3.3%,0,0.0%,,0,0.0%,0,,0.0%,1,4.8%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,4.3%,1,4.8%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,25,96.2%,29,,96.7%,25,100.0%,,26,100.0%,21,,91.3%,18,85.7%,,18,94.7%,18,,94.7%
Group Home,2,7.7%,5,,16.7%,10,40.0%,,7,26.9%,6,,26.1%,2,9.5%,,2,10.5%,2,,10.5%
Residential Treatment,8,30.8%,8,,26.7%,6,24.0%,,8,30.8%,5,,21.7%,6,28.6%,,5,26.3%,5,,26.3%
Psychiatric RTC,1,3.8%,2,,6.7%,1,4.0%,,1,3.8%,1,,4.3%,1,4.8%,,1,5.3%,1,,5.3%
Boys School,8,30.8%,8,,26.7%,7,28.0%,,7,26.9%,6,,26.1%,7,33.3%,,9,47.4%,7,,36.8%
Girls School,2,7.7%,2,,6.7%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Detention,4,15.4%,4,,13.3%,1,4.0%,,2,7.7%,2,,8.7%,2,9.5%,,0,0.0%,3,,15.8%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,1,3.8%,1,,4.3%,0,0.0%,,1,5.3%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Jan 31, 2014",,"Feb 28, 2014",,,"Mar 31, 2014",,,"Apr 30, 2014",,"May 31, 2014",,,"Jun 30, 2014",,,"Jul 31, 2014",,"Aug 31, 2014",,
Report Period,Sep 2014,,Oct 2014,,,Nov 2014,,,Dec 2014,,Jan 2015,,,Feb 2015,,,Mar 2015,,Apr 2015,,
Total Children in Care,23,100.0%,24,,100.0%,22,100.0%,,21,100.0%,21,,100.0%,22,100.0%,,19,100.0%,19,,100.0%
Total Family-like setting,1,4.3%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,1,4.3%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,22,95.7%,24,,100.0%,22,100.0%,,21,100.0%,21,,100.0%,22,100.0%,,19,100.0%,19,,100.0%
Group Home,3,13.0%,4,,16.7%,4,18.2%,,4,19.0%,4,,19.0%,4,18.2%,,3,15.8%,4,,21.1%
Residential Treatment,5,21.7%,5,,20.8%,6,27.3%,,6,28.6%,5,,23.8%,6,27.3%,,3,15.8%,3,,15.8%
Psychiatric RTC,1,4.3%,1,,4.2%,1,4.5%,,1,4.8%,2,,9.5%,1,4.5%,,2,10.5%,1,,5.3%
Boys School,9,39.1%,10,,41.7%,10,45.5%,,9,42.9%,6,,28.6%,7,31.8%,,8,42.1%,8,,42.1%
Girls School,1,4.3%,1,,4.2%,1,4.5%,,1,4.8%,1,,4.8%,2,9.1%,,2,10.5%,2,,10.5%
Detention,3,13.0%,3,,12.5%,0,0.0%,,0,0.0%,2,,9.5%,2,9.1%,,1,5.3%,1,,5.3%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,4.8%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Sep 30, 2014",,"Oct 31, 2014",,,"Nov 30, 2014",,,"Dec 31, 2014",,"Jan 31, 2015",,,"Feb 28, 2015",,,"Mar 31, 2015",,"Apr 30, 2015",,
Report Period,May 2015,,Jun 2015,,,Jul 2015,,,Aug 2015,,Sep 2015,,,Oct 2015,,,Nov 2015,,Dec 2015,,
Total Children in Care,22,100.0%,24,,100.0%,27,100.0%,,24,100.0%,24,,100.0%,22,100.0%,,21,100.0%,22,,100.0%
Total Family-like setting,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,4.2%,1,4.5%,,0,0.0%,0,,0.0%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,4.2%,1,4.5%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,22,100.0%,24,,100.0%,27,100.0%,,24,100.0%,22,,91.7%,20,90.9%,,20,95.2%,21,,95.5%
Group Home,4,18.2%,5,,20.8%,4,14.8%,,5,20.8%,5,,20.8%,4,18.2%,,3,14.3%,2,,9.1%
Residential Treatment,5,22.7%,6,,25.0%,5,18.5%,,5,20.8%,4,,16.7%,5,22.7%,,8,38.1%,8,,36.4%
Psychiatric RTC,1,4.5%,1,,4.2%,1,3.7%,,1,4.2%,1,,4.2%,1,4.5%,,1,4.8%,1,,4.5%
Boys School,8,36.4%,9,,37.5%,9,33.3%,,8,33.3%,8,,33.3%,7,31.8%,,6,28.6%,6,,27.3%
Girls School,2,9.1%,2,,8.3%,2,7.4%,,1,4.2%,1,,4.2%,1,4.5%,,1,4.8%,1,,4.5%
Detention,2,9.1%,1,,4.2%,5,18.5%,,4,16.7%,3,,12.5%,2,9.1%,,1,4.8%,2,,9.1%
Crisis Center,0,0.0%,0,,0.0%,1,3.7%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,4.5%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,4.2%,1,4.5%,,1,4.8%,1,,4.5%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"May 31, 2015",,"Jun 30, 2015",,,"Jul 31, 2015",,,"Aug 31, 2015",,"Sep 30, 2015",,,"Oct 31, 2015",,,"Nov 30, 2015",,"Dec 31, 2015",,
Report Period,Jan 2016,,Feb 2016,,,Mar 2016,,,Apr 2016,,May 2016,,,Jun 2016,,,Jul 2016,,Aug 2016,,
Total Children in Care,22,100.0%,20,,100.0%,23,100.0%,,26,100.0%,24,,100.0%,24,100.0%,,24,100.0%,21,,100.0%
Total Family-like setting,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,4.2%,0,0.0%,,1,4.2%,0,,0.0%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,4.2%,0,0.0%,,1,4.2%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,21,95.5%,19,,95.0%,23,100.0%,,26,100.0%,23,,95.8%,24,100.0%,,23,95.8%,21,,100.0%
Group Home,3,13.6%,2,,10.0%,4,17.4%,,7,26.9%,6,,25.0%,5,20.8%,,6,25.0%,7,,33.3%
Residential Treatment,8,36.4%,7,,35.0%,6,26.1%,,5,19.2%,5,,20.8%,6,25.0%,,6,25.0%,3,,14.3%
Psychiatric RTC,1,4.5%,1,,5.0%,1,4.3%,,1,3.8%,1,,4.2%,0,0.0%,,0,0.0%,1,,4.8%
Boys School,6,27.3%,7,,35.0%,6,26.1%,,5,19.2%,5,,20.8%,6,25.0%,,8,33.3%,7,,33.3%
