Placement Type (of those in care),,,,,,,,,,,,,,,,,,,,,
"The number/percent of children on the caseload on the last day of each report period, by the level of care they were in on that day Report Time Period: January 1, 2012 - May 31, 2018 (Monthly)",,,,,,,,,,,,,,,,,,,,,
Statewide,,,,,,,,,,,,,,,,,,,,,
Filters Active,,,,,,,,,,,,,,,,,,,,,
Report Period,Jan 2012,,Feb 2012,,,Mar 2012,,,Apr 2012,,May 2012,,,Jun 2012,,,Jul 2012,,Aug 2012,,
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,7.1%,1,6.3%,,1,5.6%,1,,4.5%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,7.1%,1,6.3%,,1,5.6%,1,,4.5%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Jan 31, 2012",,"Feb 29, 2012",,,"Mar 31, 2012",,,"Apr 30, 2012",,"May 31, 2012",,,"Jun 30, 2012",,,"Jul 31, 2012",,"Aug 31, 2012",,
Report Period,Sep 2012,,Oct 2012,,,Nov 2012,,,Dec 2012,,Jan 2013,,,Feb 2013,,,Mar 2013,,Apr 2013,,
Total Children in Care,24,100.0%,31,,100.0%,34,100.0%,,39,100.0%,34,,100.0%,35,100.0%,,30,100.0%,32,,100.0%
Total Family-like setting,1,4.2%,2,,6.5%,1,2.9%,,1,2.6%,1,,2.9%,2,5.7%,,3,10.0%,4,,12.5%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,1,,3.2%,0,0.0%,,0,0.0%,0,,0.0%,1,2.9%,,2,6.7%,3,,9.4%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,1,4.2%,1,,3.2%,1,2.9%,,1,2.6%,1,,2.9%,1,2.9%,,1,3.3%,1,,3.1%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,22,91.7%,29,,93.5%,32,94.1%,,37,94.9%,32,,94.1%,32,91.4%,,26,86.7%,28,,87.5%
Group Home,6,25.0%,8,,25.8%,7,20.6%,,12,30.8%,10,,29.4%,10,28.6%,,9,30.0%,7,,21.9%
Residential Treatment,7,29.2%,10,,32.3%,11,32.4%,,11,28.2%,11,,32.4%,11,31.4%,,8,26.7%,8,,25.0%
Psychiatric RTC,3,12.5%,2,,6.5%,2,5.9%,,3,7.7%,3,,8.8%,4,11.4%,,4,13.3%,5,,15.6%
Boys School,4,16.7%,6,,19.4%,6,17.6%,,5,12.8%,5,,14.7%,6,17.1%,,4,13.3%,5,,15.6%
Girls School,0,0.0%,0,,0.0%,1,2.9%,,1,2.6%,1,,2.9%,1,2.9%,,1,3.3%,1,,3.1%
Detention,2,8.3%,1,,3.2%,2,5.9%,,2,5.1%,1,,2.9%,0,0.0%,,0,0.0%,0,,0.0%
Crisis Center,0,0.0%,1,,3.2%,1,2.9%,,1,2.6%,1,,2.9%,0,0.0%,,0,0.0%,2,,6.3%
Hospital,0,0.0%,1,,3.2%,2,5.9%,,1,2.6%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,1,2.6%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,1,4.2%,0,,0.0%,1,2.9%,,1,2.6%,1,,2.9%,1,2.9%,,1,3.3%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Sep 30, 2012",,"Oct 31, 2012",,,"Nov 30, 2012",,,"Dec 31, 2012",,"Jan 31, 2013",,,"Feb 28, 2013",,,"Mar 31, 2013",,"Apr 30, 2013",,
Report Period,May 2013,,Jun 2013,,,Jul 2013,,,Aug 2013,,Sep 2013,,,Oct 2013,,,Nov 2013,,Dec 2013,,
Total Children in Care,27,100.0%,25,,100.0%,23,100.0%,,18,100.0%,18,,100.0%,15,100.0%,,15,100.0%,19,,100.0%
Total Family-like setting,4,14.8%,5,,20.0%,2,8.7%,,3,16.7%,1,,5.6%,1,6.7%,,0,0.0%,0,,0.0%
Relative foster home,1,3.7%,1,,4.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,2,7.4%,3,,12.0%,1,4.3%,,2,11.1%,1,,5.6%,1,6.7%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,1,3.7%,1,,4.0%,1,4.3%,,1,5.6%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,23,85.2%,19,,76.0%,20,87.0%,,13,72.2%,16,,88.9%,13,86.7%,,14,93.3%,18,,94.7%
Group Home,10,37.0%,5,,20.0%,8,34.8%,,4,22.2%,5,,27.8%,5,33.3%,,5,33.3%,7,,36.8%
Residential Treatment,5,18.5%,5,,20.0%,5,21.7%,,3,16.7%,3,,16.7%,2,13.3%,,2,13.3%,2,,10.5%
Psychiatric RTC,3,11.1%,3,,12.0%,3,13.0%,,2,11.1%,2,,11.1%,1,6.7%,,1,6.7%,1,,5.3%
Boys School,4,14.8%,4,,16.0%,3,13.0%,,3,16.7%,3,,16.7%,4,26.7%,,6,40.0%,6,,31.6%
Girls School,1,3.7%,1,,4.0%,1,4.3%,,1,5.6%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Detention,0,0.0%,1,,4.0%,0,0.0%,,0,0.0%,3,,16.7%,1,6.7%,,0,0.0%,1,,5.3%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,5.3%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,1,5.6%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,1,,4.0%,1,4.3%,,1,5.6%,1,,5.6%,1,6.7%,,1,6.7%,1,,5.3%
Date data are based,"May 31, 2013",,"Jun 30, 2013",,,"Jul 31, 2013",,,"Aug 31, 2013",,"Sep 30, 2013",,,"Oct 31, 2013",,,"Nov 30, 2013",,"Dec 31, 2013",,
Report Period,Jan 2014,,Feb 2014,,,Mar 2014,,,Apr 2014,,May 2014,,,Jun 2014,,,Jul 2014,,Aug 2014,,
Total Children in Care,22,100.0%,26,,100.0%,28,100.0%,,28,100.0%,26,,100.0%,25,100.0%,,25,100.0%,24,,100.0%
Total Family-like setting,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,3.8%,1,4.0%,,2,8.0%,3,,12.5%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,3.8%,1,4.0%,,2,8.0%,1,,4.2%
Non-relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,4.2%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,4.2%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,21,95.5%,26,,100.0%,28,100.0%,,28,100.0%,25,,96.2%,24,96.0%,,23,92.0%,21,,87.5%
Group Home,9,40.9%,10,,38.5%,11,39.3%,,10,35.7%,9,,34.6%,8,32.0%,,6,24.0%,6,,25.0%
Residential Treatment,3,13.6%,3,,11.5%,6,21.4%,,6,21.4%,5,,19.2%,6,24.0%,,9,36.0%,7,,29.2%
Psychiatric RTC,2,9.1%,4,,15.4%,1,3.6%,,1,3.6%,1,,3.8%,1,4.0%,,1,4.0%,1,,4.2%
Boys School,7,31.8%,8,,30.8%,9,32.1%,,9,32.1%,7,,26.9%,6,24.0%,,6,24.0%,6,,25.0%
Girls School,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,3.8%,1,4.0%,,1,4.0%,1,,4.2%
Detention,0,0.0%,1,,3.8%,1,3.6%,,2,7.1%,2,,7.7%,2,8.0%,,0,0.0%,0,,0.0%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,1,4.5%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Jan 31, 2014",,"Feb 28, 2014",,,"Mar 31, 2014",,,"Apr 30, 2014",,"May 31, 2014",,,"Jun 30, 2014",,,"Jul 31, 2014",,"Aug 31, 2014",,
Report Period,Sep 2014,,Oct 2014,,,Nov 2014,,,Dec 2014,,Jan 2015,,,Feb 2015,,,Mar 2015,,Apr 2015,,
Total Children in Care,26,100.0%,27,,100.0%,28,100.0%,,24,100.0%,25,,100.0%,24,100.0%,,23,100.0%,24,,100.0%
Total Family-like setting,4,15.4%,2,,7.4%,2,7.1%,,2,8.3%,1,,4.0%,1,4.2%,,0,0.0%,1,,4.2%
Relative foster home,1,3.8%,1,,3.7%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,2,7.7%,1,,3.7%,2,7.1%,,2,8.3%,1,,4.0%,1,4.2%,,0,0.0%,1,,4.2%
Supervised Independent Living,1,3.8%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,22,84.6%,24,,88.9%,25,89.3%,,22,91.7%,24,,96.0%,23,95.8%,,23,100.0%,23,,95.8%
Group Home,6,23.1%,9,,33.3%,6,21.4%,,6,25.0%,7,,28.0%,7,29.2%,,7,30.4%,6,,25.0%
Residential Treatment,7,26.9%,5,,18.5%,6,21.4%,,5,20.8%,4,,16.0%,3,12.5%,,3,13.0%,4,,16.7%
Psychiatric RTC,1,3.8%,1,,3.7%,1,3.6%,,1,4.2%,2,,8.0%,3,12.5%,,4,17.4%,4,,16.7%
Boys School,6,23.1%,6,,22.2%,7,25.0%,,7,29.2%,8,,32.0%,8,33.3%,,8,34.8%,7,,29.2%
Girls School,1,3.8%,1,,3.7%,1,3.6%,,1,4.2%,1,,4.0%,1,4.2%,,1,4.3%,1,,4.2%
Detention,1,3.8%,2,,7.4%,4,14.3%,,2,8.3%,2,,8.0%,1,4.2%,,0,0.0%,1,,4.2%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,1,,3.7%,1,3.6%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Sep 30, 2014",,"Oct 31, 2014",,,"Nov 30, 2014",,,"Dec 31, 2014",,"Jan 31, 2015",,,"Feb 28, 2015",,,"Mar 31, 2015",,"Apr 30, 2015",,
Report Period,May 2015,,Jun 2015,,,Jul 2015,,,Aug 2015,,Sep 2015,,,Oct 2015,,,Nov 2015,,Dec 2015,,
Total Children in Care,25,100.0%,27,,100.0%,26,100.0%,,23,100.0%,21,,100.0%,21,100.0%,,21,100.0%,19,,100.0%
Total Family-like setting,1,4.0%,1,,3.7%,1,3.8%,,1,4.3%,1,,4.8%,1,4.8%,,2,9.5%,1,,5.3%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,1,4.0%,1,,3.7%,1,3.8%,,1,4.3%,1,,4.8%,1,4.8%,,2,9.5%,1,,5.3%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,24,96.0%,26,,96.3%,25,96.2%,,22,95.7%,20,,95.2%,20,95.2%,,19,90.5%,18,,94.7%
Group Home,8,32.0%,8,,29.6%,8,30.8%,,6,26.1%,5,,23.8%,7,33.3%,,5,23.8%,4,,21.1%
Residential Treatment,4,16.0%,5,,18.5%,5,19.2%,,5,21.7%,5,,23.8%,5,23.8%,,4,19.0%,4,,21.1%
Psychiatric RTC,4,16.0%,5,,18.5%,5,19.2%,,5,21.7%,5,,23.8%,3,14.3%,,3,14.3%,3,,15.8%
Boys School,7,28.0%,6,,22.2%,4,15.4%,,3,13.0%,2,,9.5%,2,9.5%,,3,14.3%,3,,15.8%
Girls School,0,0.0%,0,,0.0%,3,11.5%,,3,13.0%,3,,14.3%,3,14.3%,,4,19.0%,4,,21.1%
Detention,1,4.0%,2,,7.4%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"May 31, 2015",,"Jun 30, 2015",,,"Jul 31, 2015",,,"Aug 31, 2015",,"Sep 30, 2015",,,"Oct 31, 2015",,,"Nov 30, 2015",,"Dec 31, 2015",,
Report Period,Jan 2016,,Feb 2016,,,Mar 2016,,,Apr 2016,,May 2016,,,Jun 2016,,,Jul 2016,,Aug 2016,,
Total Children in Care,19,100.0%,20,,100.0%,19,100.0%,,18,100.0%,17,,100.0%,16,100.0%,,16,100.0%,17,,100.0%
Total Family-like setting,1,5.3%,2,,10.0%,3,15.8%,,3,16.7%,2,,11.8%,2,12.5%,,0,0.0%,3,,17.6%
Relative foster home,0,0.0%,1,,5.0%,1,5.3%,,1,5.6%,1,,5.9%,1,6.3%,,0,0.0%,0,,0.0%
Non-relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,1,5.3%,1,,5.0%,2,10.5%,,2,11.1%,1,,5.9%,1,6.3%,,0,0.0%,3,,17.6%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,18,94.7%,18,,90.0%,16,84.2%,,15,83.3%,15,,88.2%,14,87.5%,,16,100.0%,14,,82.4%
Group Home,5,26.3%,5,,25.0%,3,15.8%,,3,16.7%,1,,5.9%,1,6.3%,,3,18.8%,5,,29.4%
Residential Treatment,3,15.8%,2,,10.0%,2,10.5%,,1,5.6%,1,,5.9%,2,12.5%,,3,18.8%,4,,23.5%
Psychiatric RTC,3,15.8%,2,,10.0%,3,15.8%,,4,22.2%,4,,23.5%,3,18.8%,,3,18.8%,0,,0.0%
Boys School,3,15.8%,4,,20.0%,3,15.8%,,2,11.1%,2,,11.8%,3,18.8%,,4,25.0%,4,,23.5%
