Placement Type (of those in care),,,,,,,,,,,,,,,,,,,,,
"The number/percent of children on the caseload on the last day of each report period, by the level of care they were in on that day Report Time Period: January 1, 2012 - May 31, 2018 (Monthly)",,,,,,,,,,,,,,,,,,,,,
Statewide,,,,,,,,,,,,,,,,,,,,,
Filters Active,,,,,,,,,,,,,,,,,,,,,
Report Period,Jan 2012,,Feb 2012,,,Mar 2012,,,Apr 2012,,May 2012,,,Jun 2012,,,Jul 2012,,Aug 2012,,
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Sep 30, 2012",,"Oct 31, 2012",,,"Nov 30, 2012",,,"Dec 31, 2012",,"Jan 31, 2013",,,"Feb 28, 2013",,,"Mar 31, 2013",,"Apr 30, 2013",,
Report Period,May 2013,,Jun 2013,,,Jul 2013,,,Aug 2013,,Sep 2013,,,Oct 2013,,,Nov 2013,,Dec 2013,,
Total Children in Care,33,100.0%,31,,100.0%,36,100.0%,,31,100.0%,31,,100.0%,32,100.0%,,34,100.0%,34,,100.0%
Total Family-like setting,10,30.3%,6,,19.4%,8,22.2%,,8,25.8%,10,,32.3%,8,25.0%,,8,23.5%,15,,44.1%
Relative foster home,1,3.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,2.9%
Non-relative foster home,3,9.1%,3,,9.7%,2,5.6%,,2,6.5%,3,,9.7%,3,9.4%,,4,11.8%,5,,14.7%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,4,12.1%,1,,3.2%,3,8.3%,,2,6.5%,3,,9.7%,2,6.3%,,1,2.9%,6,,17.6%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,1,3.2%,1,,3.2%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,2,6.1%,2,,6.5%,3,8.3%,,3,9.7%,3,,9.7%,3,9.4%,,3,8.8%,3,,8.8%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,23,69.7%,25,,80.6%,28,77.8%,,23,74.2%,21,,67.7%,23,71.9%,,25,73.5%,18,,52.9%
Group Home,1,3.0%,2,,6.5%,4,11.1%,,4,12.9%,5,,16.1%,6,18.8%,,7,20.6%,5,,14.7%
Residential Treatment,9,27.3%,8,,25.8%,8,22.2%,,6,19.4%,5,,16.1%,5,15.6%,,6,17.6%,6,,17.6%
Psychiatric RTC,5,15.2%,5,,16.1%,4,11.1%,,4,12.9%,4,,12.9%,4,12.5%,,4,11.8%,3,,8.8%
Boys School,6,18.2%,7,,22.6%,10,27.8%,,8,25.8%,6,,19.4%,6,18.8%,,6,17.6%,3,,8.8%
Girls School,1,3.0%,1,,3.2%,1,2.8%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Detention,0,0.0%,1,,3.2%,0,0.0%,,1,3.2%,1,,3.2%,2,6.3%,,2,5.9%,1,,2.9%
Crisis Center,1,3.0%,1,,3.2%,1,2.8%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,1,3.1%,,1,2.9%,1,,2.9%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"May 31, 2013",,"Jun 30, 2013",,,"Jul 31, 2013",,,"Aug 31, 2013",,"Sep 30, 2013",,,"Oct 31, 2013",,,"Nov 30, 2013",,"Dec 31, 2013",,
Report Period,Jan 2014,,Feb 2014,,,Mar 2014,,,Apr 2014,,May 2014,,,Jun 2014,,,Jul 2014,,Aug 2014,,
Total Children in Care,33,100.0%,31,,100.0%,30,100.0%,,31,100.0%,30,,100.0%,31,100.0%,,31,100.0%,37,,100.0%
Total Family-like setting,12,36.4%,12,,38.7%,11,36.7%,,11,35.5%,8,,26.7%,8,25.8%,,11,35.5%,10,,27.0%
Relative foster home,1,3.0%,1,,3.2%,1,3.3%,,2,6.5%,2,,6.7%,2,6.5%,,2,6.5%,2,,5.4%
Non-relative foster home,5,15.2%,4,,12.9%,4,13.3%,,5,16.1%,2,,6.7%,2,6.5%,,2,6.5%,0,,0.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,3,9.1%,4,,12.9%,3,10.0%,,1,3.2%,1,,3.3%,2,6.5%,,4,12.9%,6,,16.2%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,3,9.1%,3,,9.7%,3,10.0%,,3,9.7%,3,,10.0%,2,6.5%,,3,9.7%,2,,5.4%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,21,63.6%,19,,61.3%,19,63.3%,,20,64.5%,22,,73.3%,23,74.2%,,20,64.5%,27,,73.0%
Group Home,8,24.2%,6,,19.4%,3,10.0%,,3,9.7%,3,,10.0%,4,12.9%,,5,16.1%,6,,16.2%
Residential Treatment,6,18.2%,6,,19.4%,7,23.3%,,6,19.4%,7,,23.3%,8,25.8%,,7,22.6%,10,,27.0%
Psychiatric RTC,4,12.1%,4,,12.9%,5,16.7%,,5,16.1%,5,,16.7%,5,16.1%,,4,12.9%,4,,10.8%
Boys School,2,6.1%,3,,9.7%,2,6.7%,,1,3.2%,2,,6.7%,2,6.5%,,2,6.5%,1,,2.7%
Girls School,0,0.0%,0,,0.0%,1,3.3%,,1,3.2%,1,,3.3%,2,6.5%,,2,6.5%,2,,5.4%
Detention,1,3.0%,0,,0.0%,1,3.3%,,3,9.7%,1,,3.3%,1,3.2%,,0,0.0%,1,,2.7%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,1,3.2%,3,,10.0%,1,3.2%,,0,0.0%,2,,5.4%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,2.7%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Jan 31, 2014",,"Feb 28, 2014",,,"Mar 31, 2014",,,"Apr 30, 2014",,"May 31, 2014",,,"Jun 30, 2014",,,"Jul 31, 2014",,"Aug 31, 2014",,
Report Period,Sep 2014,,Oct 2014,,,Nov 2014,,,Dec 2014,,Jan 2015,,,Feb 2015,,,Mar 2015,,Apr 2015,,
Total Children in Care,35,100.0%,33,,100.0%,31,100.0%,,30,100.0%,30,,100.0%,29,100.0%,,30,100.0%,30,,100.0%
Total Family-like setting,8,22.9%,11,,33.3%,13,41.9%,,10,33.3%,7,,23.3%,6,20.7%,,5,16.7%,5,,16.7%
Relative foster home,2,5.7%,2,,6.1%,3,9.7%,,3,10.0%,3,,10.0%,3,10.3%,,2,6.7%,2,,6.7%
Non-relative foster home,0,0.0%,0,,0.0%,1,3.2%,,1,3.3%,1,,3.3%,0,0.0%,,2,6.7%,2,,6.7%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,4,11.4%,8,,24.2%,8,25.8%,,5,16.7%,3,,10.0%,3,10.3%,,1,3.3%,1,,3.3%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,2,5.7%,1,,3.0%,1,3.2%,,1,3.3%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,27,77.1%,22,,66.7%,18,58.1%,,20,66.7%,23,,76.7%,23,79.3%,,25,83.3%,25,,83.3%
Group Home,6,17.1%,5,,15.2%,3,9.7%,,5,16.7%,5,,16.7%,5,17.2%,,6,20.0%,7,,23.3%
Residential Treatment,11,31.4%,8,,24.2%,7,22.6%,,8,26.7%,10,,33.3%,9,31.0%,,9,30.0%,9,,30.0%
Psychiatric RTC,5,14.3%,5,,15.2%,5,16.1%,,3,10.0%,4,,13.3%,3,10.3%,,4,13.3%,3,,10.0%
Boys School,1,2.9%,2,,6.1%,1,3.2%,,2,6.7%,3,,10.0%,3,10.3%,,3,10.0%,4,,13.3%
Girls School,2,5.7%,1,,3.0%,1,3.2%,,1,3.3%,1,,3.3%,1,3.4%,,2,6.7%,2,,6.7%
Detention,1,2.9%,1,,3.0%,1,3.2%,,1,3.3%,0,,0.0%,2,6.9%,,1,3.3%,0,,0.0%
Crisis Center,1,2.9%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Sep 30, 2014",,"Oct 31, 2014",,,"Nov 30, 2014",,,"Dec 31, 2014",,"Jan 31, 2015",,,"Feb 28, 2015",,,"Mar 31, 2015",,"Apr 30, 2015",,
Report Period,May 2015,,Jun 2015,,,Jul 2015,,,Aug 2015,,Sep 2015,,,Oct 2015,,,Nov 2015,,Dec 2015,,
Total Children in Care,26,100.0%,23,,100.0%,21,100.0%,,23,100.0%,27,,100.0%,23,100.0%,,22,100.0%,23,,100.0%
Total Family-like setting,4,15.4%,1,,4.3%,2,9.5%,,3,13.0%,3,,11.1%,4,17.4%,,4,18.2%,3,,13.0%
Relative foster home,1,3.8%,1,,4.3%,0,0.0%,,0,0.0%,1,,3.7%,1,4.3%,,1,4.5%,1,,4.3%
Non-relative foster home,2,7.7%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,1,3.8%,0,,0.0%,2,9.5%,,3,13.0%,2,,7.4%,3,13.0%,,3,13.6%,2,,8.7%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,22,84.6%,22,,95.7%,18,85.7%,,19,82.6%,23,,85.2%,18,78.3%,,18,81.8%,20,,87.0%
Group Home,4,15.4%,4,,17.4%,2,9.5%,,2,8.7%,3,,11.1%,2,8.7%,,2,9.1%,2,,8.7%
Residential Treatment,9,34.6%,6,,26.1%,4,19.0%,,6,26.1%,5,,18.5%,4,17.4%,,4,18.2%,6,,26.1%
Psychiatric RTC,2,7.7%,1,,4.3%,0,0.0%,,0,0.0%,0,,0.0%,1,4.3%,,1,4.5%,2,,8.7%
Boys School,5,19.2%,6,,26.1%,7,33.3%,,5,21.7%,5,,18.5%,5,21.7%,,5,22.7%,5,,21.7%
Girls School,1,3.8%,2,,8.7%,3,14.3%,,3,13.0%,5,,18.5%,5,21.7%,,5,22.7%,5,,21.7%
Detention,1,3.8%,2,,8.7%,2,9.5%,,3,13.0%,5,,18.5%,1,4.3%,,1,4.5%,0,,0.0%
Crisis Center,0,0.0%,1,,4.3%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,1,4.8%,,1,4.3%,1,,3.7%,1,4.3%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"May 31, 2015",,"Jun 30, 2015",,,"Jul 31, 2015",,,"Aug 31, 2015",,"Sep 30, 2015",,,"Oct 31, 2015",,,"Nov 30, 2015",,"Dec 31, 2015",,
Report Period,Jan 2016,,Feb 2016,,,Mar 2016,,,Apr 2016,,May 2016,,,Jun 2016,,,Jul 2016,,Aug 2016,,
Total Children in Care,24,100.0%,28,,100.0%,29,100.0%,,30,100.0%,28,,100.0%,26,100.0%,,24,100.0%,18,,100.0%
Total Family-like setting,3,12.5%,4,,14.3%,5,17.2%,,4,13.3%,9,,32.1%,7,26.9%,,8,33.3%,5,,27.8%
Relative foster home,1,4.2%,1,,3.6%,1,3.4%,,1,3.3%,1,,3.6%,1,3.8%,,1,4.2%,1,,5.6%
Non-relative foster home,0,0.0%,1,,3.6%,0,0.0%,,0,0.0%,0,,0.0%,1,3.8%,,1,4.2%,0,,0.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,2,8.3%,2,,7.1%,4,13.8%,,3,10.0%,8,,28.6%,5,19.2%,,6,25.0%,4,,22.2%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,21,87.5%,24,,85.7%,24,82.8%,,26,86.7%,19,,67.9%,19,73.1%,,16,66.7%,13,,72.2%
Group Home,3,12.5%,5,,17.9%,6,20.7%,,6,20.0%,4,,14.3%,6,23.1%,,4,16.7%,3,,16.7%
Residential Treatment,5,20.8%,5,,17.9%,5,17.2%,,6,20.0%,3,,10.7%,3,11.5%,,3,12.5%,1,,5.6%
Psychiatric RTC,2,8.3%,2,,7.1%,2,6.9%,,4,13.3%,4,,14.3%,3,11.5%,,3,12.5%,3,,16.7%
Boys School,5,20.8%,8,,28.6%,7,24.1%,,7,23.3%,4,,14.3%,4,15.4%,,2,8.3%,3,,16.7%
