Placement Type (of those in care),,,,,,,,,,,,,,,,,,,,,
"The number/percent of children on the caseload on the last day of each report period, by the level of care they were in on that day Report Time Period: January 1, 2012 - May 31, 2018 (Monthly)",,,,,,,,,,,,,,,,,,,,,
Statewide,,,,,,,,,,,,,,,,,,,,,
Filters Active,,,,,,,,,,,,,,,,,,,,,
Report Period,Jan 2012,,Feb 2012,,,Mar 2012,,,Apr 2012,,May 2012,,,Jun 2012,,,Jul 2012,,Aug 2012,,
Total Family-like setting,7,12.5%,6,,9.8%,8,12.5%,,10,15.4%,10,,17.2%,8,14.5%,,5,9.4%,5,,10.0%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,6,10.7%,5,,8.2%,6,9.4%,,8,12.3%,9,,15.5%,7,12.7%,,5,9.4%,4,,8.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,1,1.8%,1,,1.6%,1,1.6%,,1,1.5%,0,,0.0%,1,1.8%,,0,0.0%,1,,2.0%
Supervised Independent Living,0,0.0%,0,,0.0%,1,1.6%,,1,1.5%,1,,1.7%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,49,87.5%,54,,88.5%,54,84.4%,,54,83.1%,48,,82.8%,47,85.5%,,46,86.8%,42,,84.0%
Group Home,0,0.0%,1,,1.6%,2,3.1%,,1,1.5%,1,,1.7%,1,1.8%,,1,1.9%,1,,2.0%
Residential Treatment,22,39.3%,24,,39.3%,21,32.8%,,22,33.8%,23,,39.7%,19,34.5%,,18,34.0%,17,,34.0%
Psychiatric RTC,5,8.9%,6,,9.8%,6,9.4%,,6,9.2%,6,,10.3%,6,10.9%,,6,11.3%,4,,8.0%
Boys School,9,16.1%,11,,18.0%,10,15.6%,,12,18.5%,9,,15.5%,9,16.4%,,7,13.2%,8,,16.0%
Girls School,2,3.6%,2,,3.3%,3,4.7%,,4,6.2%,5,,8.6%,6,10.9%,,6,11.3%,6,,12.0%
Detention,9,16.1%,9,,14.8%,11,17.2%,,8,12.3%,3,,5.2%,6,10.9%,,8,15.1%,5,,10.0%
Crisis Center,1,1.8%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,2.0%
Hospital,1,1.8%,1,,1.6%,1,1.6%,,1,1.5%,1,,1.7%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,1,,1.6%,2,3.1%,,1,1.5%,0,,0.0%,0,0.0%,,2,3.8%,3,,6.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Jan 31, 2014",,"Feb 28, 2014",,,"Mar 31, 2014",,,"Apr 30, 2014",,"May 31, 2014",,,"Jun 30, 2014",,,"Jul 31, 2014",,"Aug 31, 2014",,
Report Period,Sep 2014,,Oct 2014,,,Nov 2014,,,Dec 2014,,Jan 2015,,,Feb 2015,,,Mar 2015,,Apr 2015,,
Total Children in Care,55,100.0%,56,,100.0%,58,100.0%,,59,100.0%,57,,100.0%,61,100.0%,,63,100.0%,62,,100.0%
Total Family-like setting,6,10.9%,5,,8.9%,3,5.2%,,5,8.5%,5,,8.8%,4,6.6%,,4,6.3%,4,,6.5%
Relative foster home,1,1.8%,1,,1.8%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,4,7.3%,3,,5.4%,2,3.4%,,3,5.1%,4,,7.0%,4,6.6%,,4,6.3%,4,,6.5%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,1,1.8%,1,,1.8%,1,1.7%,,2,3.4%,1,,1.8%,0,0.0%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,47,85.5%,49,,87.5%,53,91.4%,,52,88.1%,51,,89.5%,56,91.8%,,59,93.7%,58,,93.5%
Group Home,1,1.8%,1,,1.8%,1,1.7%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Residential Treatment,17,30.9%,21,,37.5%,22,37.9%,,23,39.0%,18,,31.6%,23,37.7%,,24,38.1%,27,,43.5%
Psychiatric RTC,3,5.5%,4,,7.1%,5,8.6%,,3,5.1%,2,,3.5%,5,8.2%,,5,7.9%,5,,8.1%
Boys School,9,16.4%,7,,12.5%,7,12.1%,,7,11.9%,6,,10.5%,9,14.8%,,10,15.9%,8,,12.9%
Girls School,6,10.9%,6,,10.7%,7,12.1%,,6,10.2%,5,,8.8%,6,9.8%,,5,7.9%,5,,8.1%
Detention,11,20.0%,9,,16.1%,11,19.0%,,13,22.0%,19,,33.3%,10,16.4%,,13,20.6%,11,,17.7%
Crisis Center,0,0.0%,1,,1.8%,0,0.0%,,0,0.0%,1,,1.8%,3,4.9%,,2,3.2%,2,,3.2%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,2,3.6%,2,,3.6%,2,3.4%,,2,3.4%,1,,1.8%,1,1.6%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Sep 30, 2014",,"Oct 31, 2014",,,"Nov 30, 2014",,,"Dec 31, 2014",,"Jan 31, 2015",,,"Feb 28, 2015",,,"Mar 31, 2015",,"Apr 30, 2015",,
Report Period,May 2015,,Jun 2015,,,Jul 2015,,,Aug 2015,,Sep 2015,,,Oct 2015,,,Nov 2015,,Dec 2015,,
Total Children in Care,59,100.0%,54,,100.0%,62,100.0%,,53,100.0%,57,,100.0%,57,100.0%,,56,100.0%,58,,100.0%
Total Family-like setting,5,8.5%,6,,11.1%,6,9.7%,,9,17.0%,8,,14.0%,9,15.8%,,9,16.1%,10,,17.2%
Relative foster home,1,1.7%,1,,1.9%,1,1.6%,,1,1.9%,1,,1.8%,2,3.5%,,2,3.6%,2,,3.4%
Non-relative foster home,4,6.8%,5,,9.3%,5,8.1%,,8,15.1%,7,,12.3%,7,12.3%,,7,12.5%,8,,13.8%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,54,91.5%,48,,88.9%,56,90.3%,,44,83.0%,49,,86.0%,47,82.5%,,46,82.1%,47,,81.0%
Group Home,0,0.0%,0,,0.0%,1,1.6%,,1,1.9%,1,,1.8%,1,1.8%,,1,1.8%,1,,1.7%
Residential Treatment,25,42.4%,21,,38.9%,21,33.9%,,21,39.6%,21,,36.8%,19,33.3%,,16,28.6%,17,,29.3%
Psychiatric RTC,4,6.8%,3,,5.6%,6,9.7%,,3,5.7%,4,,7.0%,2,3.5%,,3,5.4%,2,,3.4%
Boys School,9,15.3%,11,,20.4%,12,19.4%,,10,18.9%,10,,17.5%,12,21.1%,,11,19.6%,14,,24.1%
Girls School,5,8.5%,5,,9.3%,5,8.1%,,5,9.4%,5,,8.8%,4,7.0%,,4,7.1%,3,,5.2%
Detention,11,18.6%,8,,14.8%,11,17.7%,,4,7.5%,8,,14.0%,9,15.8%,,11,19.6%,10,,17.2%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,1,1.8%,,1,1.8%,1,,1.7%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"May 31, 2015",,"Jun 30, 2015",,,"Jul 31, 2015",,,"Aug 31, 2015",,"Sep 30, 2015",,,"Oct 31, 2015",,,"Nov 30, 2015",,"Dec 31, 2015",,
Report Period,Jan 2016,,Feb 2016,,,Mar 2016,,,Apr 2016,,May 2016,,,Jun 2016,,,Jul 2016,,Aug 2016,,
Total Children in Care,56,100.0%,58,,100.0%,56,100.0%,,54,100.0%,55,,100.0%,52,100.0%,,49,100.0%,47,,100.0%
Total Family-like setting,12,21.4%,11,,19.0%,11,19.6%,,11,20.4%,11,,20.0%,10,19.2%,,8,16.3%,9,,19.1%
Relative foster home,2,3.6%,2,,3.4%,2,3.6%,,1,1.9%,2,,3.6%,0,0.0%,,0,0.0%,2,,4.3%
Non-relative foster home,9,16.1%,8,,13.8%,9,16.1%,,9,16.7%,7,,12.7%,8,15.4%,,6,12.2%,6,,12.8%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,1,1.9%,2,,3.6%,2,3.8%,,2,4.1%,1,,2.1%
Supervised Independent Living,1,1.8%,1,,1.7%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,43,76.8%,47,,81.0%,43,76.8%,,42,77.8%,44,,80.0%,41,78.8%,,41,83.7%,38,,80.9%
Group Home,1,1.8%,2,,3.4%,1,1.8%,,1,1.9%,1,,1.8%,1,1.9%,,1,2.0%,1,,2.1%
Residential Treatment,15,26.8%,16,,27.6%,15,26.8%,,19,35.2%,19,,34.5%,18,34.6%,,13,26.5%,12,,25.5%
Psychiatric RTC,5,8.9%,5,,8.6%,4,7.1%,,5,9.3%,3,,5.5%,4,7.7%,,6,12.2%,6,,12.8%
Boys School,14,25.0%,13,,22.4%,11,19.6%,,9,16.7%,9,,16.4%,8,15.4%,,10,20.4%,9,,19.1%
