ORINUM,Year,County,Manslaughter,Rape,Robbery,Aggravated-Assault,Burglary,Larceny-Theft,Motor-Vehicle-Theft,Arson,Other-Assaults,Forgery-Counterfeiting,Fraud,Embezzlement,Stolen-Property,Vandalism,Weapons,Prostitution,Sex-Offenses,Drug-Abuse-Violations,Drug-Abuse-Violations-Possession,Gambling-Offenses,Offenses-Against-Family-Children,Driving-Under-the-Influence,Liquor-Laws,Drunkenness,Disorderly-Conduct,All-Other-Offenses-Except-Traffic,Suspicion,Curfew-Loitering-Law-Violations,Run-a-ways,Vagrancy
400,2017,Carbon County Sheriff,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
401,2017,Rawlins Police Department,0,0,0,0,0,14,4,0,31,0,0,0,0,6,1,0,0,24,21,0,1,1,1,0,0,12,0,0,0,0
402,2017,Saratoga Police Department,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
405,2017,Hanna Police Department,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2017,Carbon,0,0,0,0,0,14,4,0,34,0,0,0,0,6,1,0,0,24,21,0,1,1,1,0,0,17,0,0,0,0
501,2017,Douglas Police Department,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
502,2017,Glenrock Police Department,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,0,0,0,2,0,0,0,0
50,2017,Converse,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,2,0,0,2,0,0,0,2,0,0,0,0
600,2017,Crook County Sheriff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0
601,2017,Sundance Police Department,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,2017,Moorcroft Police Department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0
60,2017,Crook,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,6,0,0,0,0
700,2017,Fremont County Sheriff,0,0,0,1,0,3,2,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,6,0,0,0,0
701,2017,lander Police Department,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,11,11,0,0,2,18,0,0,9,0,7,0,0
702,2017,Riverton Police Department,0,0,0,0,0,35,1,0,13,0,0,0,0,8,0,0,0,35,35,0,0,1,46,0,5,30,0,3,0,0
70,2017,Fremont,0,0,0,1,0,46,3,0,21,0,0,0,0,8,0,0,0,47,47,0,0,3,68,0,5,45,0,10,0,0
800,2017,Goshen County Sheriff,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,4,0,0,0,0,0,0,0
801,2017,Torrington Police Department,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
80,2017,Goshen,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,2,4,0,1,1,0,0,0,0
900,2017,Hot Springs County Sheriff,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
901,2017,Thermopolis Police Department,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,9,0,0,0,0
90,2017,Hot Springs,0,0,0,1,0,7,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,10,0,0,0,0
1000,2017,Johnson County Sheriff,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,4,0,0,2,0,0,0,0
1001,2017,Buffalo Police Department,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,6,2,0,7,0,0,0,0
100,2017,Johnson,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,10,2,0,9,0,0,0,0
1100,2017,Laramie County Sheriff,0,0,0,2,0,4,5,0,9,0,0,0,0,4,0,0,1,17,17,0,0,0,8,0,0,6,0,0,0,0
1101,2017,Cheyenne Police Department,0,0,1,1,0,78,1,0,138,0,0,0,4,22,19,0,2,89,70,0,1,1,44,0,25,128,0,13,0,0
1102,2017,Pine Bluffs Police Department,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
110,2017,Laramie,0,0,1,3,0,82,6,0,147,0,0,0,4,28,19,0,3,106,87,0,3,1,52,0,25,134,1,13,0,0
1200,2017,Lincoln County Sheriff,0,2,0,0,2,1,2,0,1,0,0,0,0,3,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0
1201,2017,Afton Police Department,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
1202,2017,Kemmerer Police Department,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,2017,Lincoln,0,2,0,0,2,1,2,4,2,0,0,0,0,3,0,0,1,2,1,0,0,2,1,0,0,0,0,2,0,0
1300,2017,Natrona County Sheriff,0,0,0,0,0,1,2,0,3,0,0,0,0,3,0,0,0,14,14,0,0,1,14,0,0,6,0,0,0,0
1301,2017,Casper Police Department,0,0,1,1,7,86,4,0,75,0,0,5,0,16,4,0,1,99,97,0,0,3,45,3,0,138,0,34,0,0
1302,2017,Mills Police Department,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,2,0,0,0,0
1304,2017,Evansville Police Department,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,20,0,0,3,0,3,0,0
130,2017,Natrona,0,0,1,1,8,88,6,0,79,0,0,5,0,21,4,0,1,120,117,0,0,4,79,3,0,149,0,37,0,0
1400,2017,Niobrara County Sheriff,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2017,Niobrara,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500,2017,Park County Sheriff,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1502,2017,Powell Police Department,0,1,0,1,0,8,0,0,1,0,0,0,4,1,0,0,0,10,9,0,0,1,12,0,7,34,0,0,0,0
150,2017,Park,0,1,0,2,0,9,0,0,1,0,1,0,4,1,0,0,0,10,9,0,0,1,12,0,7,35,0,0,0,0
1600,2017,Platte County Sheriff,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1601,2017,Wheatland Police Department,0,0,0,0,5,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,0
160,2017,Platte,0,0,0,0,5,0,0,0,4,0,0,0,0,3,0,0,0,1,1,0,0,1,2,1,0,2,0,0,0,0
1700,2017,Sheridan County Sheriff,0,0,0,7,0,3,0,0,9,0,0,0,1,3,0,0,0,4,4,0,0,1,16,0,0,4,0,0,0,0
1701,2017,Sheridan Police Department,0,0,0,0,0,17,3,0,6,0,0,0,1,5,0,0,0,24,24,0,1,0,17,0,3,36,0,14,0,0
170,2017,Sheridan,0,0,0,7,0,20,3,0,15,0,0,0,2,8,0,0,0,28,28,0,1,1,33,0,3,40,0,14,0,0
1800,2017,Sublette County Sheriff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,0,0,0,0
180,2017,Sublette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,0,0,0,0
1900,2017,Sweetwater County Sheriff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,1,0,0,0,6,0,0,0,0
1901,2017,Green River Police,0,0,0,1,0,10,1,3,10,0,0,0,0,4,4,0,1,11,8,0,1,0,25,0,6,35,0,9,0,0
1902,2017,Rock Springs Police,0,1,0,1,1,13,0,1,8,0,0,0,0,3,0,0,0,6,6,0,0,4,11,0,12,14,4,0,0,0
190,2017,Sweetwater,0,1,0,2,1,23,1,4,18,0,0,0,0,7,4,0,1,24,21,0,1,5,36,0,18,55,4,9,0,0
2001,2017,Jackson Police Department,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,5,3,0,0,0,3,0,0,4,0,0,0,0
200,2017,Teton,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,5,3,0,0,0,3,0,0,4,0,0,0,0
2101,2017,Evanston Police,0,0,0,1,0,15,5,0,7,0,0,0,0,1,0,0,0,4,2,0,0,1,6,4,4,36,0,5,0,0
210,2017,Uinta,0,0,0,1,0,15,5,0,7,0,0,0,0,1,0,0,0,4,2,0,0,1,6,4,4,36,0,5,0,0
2200,2017,Washakie Sheriff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0
2201,2017,Worland Police,0,0,0,0,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0
220,2017,Washakie,0,0,0,0,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,6,0,0,0,0
2300,2017,Weston County Sheriff,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
2301,2017,Newcastle Police Department,0,0,0,0,0,9,1,1,3,0,0,0,0,0,1,0,0,1,1,0,0,0,7,0,3,12,0,0,0,0
230,2017,Weston,0,0,0,0,0,9,1,1,4,0,0,0,0,0,1,0,0,1,1,0,0,0,15,0,3,12,0,0,0,0
