period,district,Long Term FC Non Relative,Total Family-like setting,State Hospital,Unknown,Hospital,Pre-adoptive home,Long Term FC Relative,Trial Home Visit,Total Children in Care,Detention,Group Home,Boys School,Girls School,Therapeutic FC Non Relative,Jail,Specialized FC Relative,Crisis Center,Relative foster home,Specialized FC Non Relative,Therapeutic FC Relative,Non-relative foster home,Supervised Independent Living,Total Group Care,Residential Treatment,Interim,Psychiatric RTC,Runaway
Apr 2014,2,0,7,0,0,0,0,0,1,19,3,1,1,0,0,0,0,0,3,0,0,3,0,12,7,0,0,0
May 2014,2,0,8,0,0,0,0,0,1,20,3,0,1,0,0,0,0,0,3,0,0,4,0,12,8,0,0,0
Jun 2014,2,0,6,0,0,0,0,0,2,20,3,0,2,0,0,0,0,0,2,0,0,2,0,14,9,0,0,0
Jul 2014,2,0,5,0,0,0,0,0,2,21,3,0,4,0,0,0,0,0,1,0,0,2,0,16,8,0,1,0
Aug 2014,2,0,5,0,0,0,0,0,0,22,3,0,5,0,0,0,0,0,1,0,0,4,0,17,8,0,1,0
Sep 2014,2,0,5,0,0,0,0,0,0,21,0,0,6,1,0,0,0,0,1,0,0,4,0,16,7,0,2,0
Oct 2014,2,0,4,0,0,0,0,0,0,21,1,0,6,1,0,0,0,0,1,0,0,3,0,17,7,0,2,0
Nov 2014,2,0,4,0,0,0,0,0,0,22,1,0,6,1,0,0,0,1,1,0,0,3,0,18,7,0,2,0
Dec 2014,2,0,5,0,0,0,0,0,1,23,0,0,5,1,0,0,0,0,1,0,0,3,0,18,9,0,3,0
Jan 2015,2,0,5,0,0,0,0,0,1,25,1,1,4,1,0,0,0,0,1,0,0,3,0,20,11,0,2,0
Feb 2015,2,0,4,0,0,0,0,0,1,24,1,1,3,2,0,0,0,0,0,0,0,3,0,20,11,0,2,0
Mar 2015,2,0,5,0,0,0,0,0,2,25,1,1,2,2,0,0,0,1,0,0,0,3,0,20,11,0,2,0
Apr 2015,2,0,5,0,0,0,0,0,2,25,1,2,2,2,0,0,0,0,0,0,0,3,0,20,11,0,2,0
May 2015,2,0,4,0,0,0,0,0,3,23,1,2,3,2,0,0,0,0,0,0,0,1,0,19,10,0,1,0
Jun 2015,2,0,3,0,0,0,0,0,2,20,0,3,2,2,0,0,0,1,0,0,0,1,0,17,8,0,1,0
Jul 2015,2,0,3,0,0,0,0,0,2,20,2,2,2,2,0,0,0,1,0,0,0,1,0,17,7,0,1,0
Aug 2015,2,0,5,0,0,0,0,0,3,20,2,1,3,2,0,0,0,1,0,0,0,2,0,15,6,0,0,0
Sep 2015,2,0,5,0,0,0,0,0,3,18,0,1,4,2,0,0,0,1,0,0,0,2,0,13,5,0,0,0
Oct 2015,2,0,4,0,0,0,0,0,2,13,0,1,4,0,0,0,0,2,0,0,0,2,0,9,2,0,0,0
Nov 2015,2,0,3,0,0,0,0,0,2,12,0,1,4,0,0,0,0,0,0,0,0,1,0,9,4,0,0,0
Dec 2015,2,0,5,0,0,0,0,0,4,12,0,0,3,0,0,0,0,0,0,0,0,1,0,7,4,0,0,0
Jan 2016,2,0,2,0,0,0,0,0,1,11,1,0,3,0,0,0,0,0,0,0,0,1,0,9,5,0,0,0
Feb 2016,2,0,2,0,0,0,0,0,1,11,1,0,3,0,0,0,0,0,0,0,0,1,0,9,4,0,1,0
Mar 2016,2,0,1,0,0,0,0,0,0,11,3,0,3,0,0,0,0,0,0,0,0,1,0,10,4,0,0,0
Apr 2016,2,0,1,0,0,0,0,0,0,10,2,0,3,0,0,0,0,0,0,0,0,1,0,9,4,0,0,0
May 2016,2,0,1,0,0,0,0,0,0,11,3,0,2,0,0,0,0,1,0,0,0,1,0,10,4,0,0,0
Jun 2016,2,0,2,0,0,0,0,0,1,11,2,1,1,0,0,0,0,0,0,0,0,1,0,9,5,0,0,0
Jul 2016,2,0,2,0,0,0,0,0,1,11,1,1,1,1,0,0,0,0,0,0,0,1,0,9,5,0,0,0
Aug 2016,2,0,1,0,0,0,0,0,0,9,1,1,1,1,0,0,0,0,0,0,0,1,0,8,3,0,1,0
Sep 2016,2,0,1,0,0,0,0,0,0,11,1,2,1,1,0,0,0,0,0,0,0,1,0,10,3,0,2,0
Oct 2016,2,0,1,0,0,0,0,0,0,14,2,2,2,1,0,0,0,2,0,0,0,1,0,13,3,0,1,0
Nov 2016,2,0,2,0,0,0,0,0,1,17,1,3,5,1,0,0,0,1,0,0,0,1,0,15,3,0,1,0
Dec 2016,2,0,3,0,0,0,0,0,1,19,0,3,6,1,0,0,0,0,1,0,0,1,0,16,4,0,2,0
Jan 2017,2,0,2,0,0,0,0,0,0,18,0,1,7,1,0,0,0,0,1,0,0,1,0,16,5,0,2,0
Feb 2017,2,0,3,0,0,0,0,0,1,20,0,2,7,1,0,0,0,0,1,0,0,1,0,17,5,0,2,0
Mar 2017,2,0,2,0,0,0,0,0,0,18,0,2,6,2,0,0,0,0,1,0,0,1,0,16,4,0,2,0
Apr 2017,2,0,2,0,0,0,0,0,0,18,0,2,6,2,0,0,0,0,1,0,0,1,0,16,5,0,1,0
May 2017,2,0,3,0,0,0,0,0,1,20,0,3,6,1,0,0,0,0,1,0,0,1,0,17,6,0,1,0
Jun 2017,2,0,3,0,0,0,0,0,1,20,0,2,6,1,0,0,0,0,1,0,0,1,0,17,7,0,1,0
Jul 2017,2,0,3,0,0,0,0,0,1,20,0,3,5,1,0,0,0,0,1,0,0,1,0,17,7,0,1,0
Aug 2017,2,0,4,0,1,0,0,0,1,16,1,2,3,1,0,0,0,0,2,0,0,1,0,11,4,0,0,0
Sep 2017,2,0,3,0,0,1,0,0,0,16,2,1,3,1,0,0,0,0,2,0,0,1,0,12,4,0,0,1
Oct 2017,2,0,3,0,0,0,0,0,0,14,1,0,3,2,0,0,0,1,2,0,0,1,0,11,4,0,0,0
Nov 2017,2,0,2,0,0,0,0,0,0,15,3,1,3,2,0,0,0,0,1,0,0,1,0,13,4,0,0,0
Dec 2017,2,0,2,0,0,0,0,0,0,14,0,1,3,2,0,0,0,0,1,0,0,1,0,12,5,0,1,0
Jan 2018,2,0,2,0,0,0,0,0,0,16,1,2,3,2,0,0,0,0,1,0,0,1,0,14,5,0,1,0
Feb 2018,2,0,3,0,0,0,0,0,1,19,1,4,4,2,0,0,0,0,1,0,0,1,0,16,4,0,1,0
Mar 2018,2,0,5,0,0,0,0,0,3,19,1,3,4,1,0,0,0,0,1,0,0,1,0,14,3,0,2,0
Apr 2018,2,0,5,0,0,0,0,0,3,22,3,3,5,1,0,0,0,0,1,0,0,1,0,17,3,0,2,0
May 2018,2,0,5,0,0,0,0,0,4,19,1,3,3,1,0,0,0,0,1,0,0,0,0,14,4,0,2,0
