Report Period,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,
Psychiatric RTC,5,5,4,5,3,4,6,6,
Boys School,14,13,11,9,9,8,10,9,
Girls School,2,2,3,3,3,2,2,1,
Detention,6,8,9,5,9,8,9,9,
Crisis Center,0,1,0,0,0,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,1,0,2,1,0,1,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Jan 31, 2016","Feb 29, 2016","Mar 31, 2016","Apr 30, 2016","May 31, 2016","Jun 30, 2016","Jul 31, 2016","Aug 31, 2016",
Report Period,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,
Total Children in Care,49,51,51,51,45,45,46,43,
Total Family-like setting,7,8,9,11,11,9,10,8,
Relative foster home,1,2,2,2,1,1,2,2,
Non-relative foster home,6,6,7,8,9,7,7,5,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,1,1,1,1,1,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,42,42,42,39,34,36,36,35,
Group Home,1,1,1,1,1,1,1,1,
Residential Treatment,13,13,12,11,7,7,7,6,
Psychiatric RTC,9,9,10,9,9,10,10,9,
Boys School,11,12,11,11,11,11,10,10,
Girls School,1,1,1,1,1,2,2,2,
Detention,7,6,6,5,3,4,5,7,
Crisis Center,0,0,1,1,0,1,1,0,
Hospital,0,0,0,0,2,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,1,0,1,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Sep 30, 2016","Oct 31, 2016","Nov 30, 2016","Dec 31, 2016","Jan 31, 2017","Feb 28, 2017","Mar 31, 2017","Apr 30, 2017",
Report Period,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,
Total Children in Care,40,44,44,44,47,48,50,45,
Total Family-like setting,7,7,7,9,7,9,9,12,
Relative foster home,1,2,2,2,2,3,3,3,
Non-relative foster home,5,4,4,6,4,4,3,6,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,1,1,1,0,0,1,2,2,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,1,1,1,1,1,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,33,37,37,35,40,39,41,33,
Group Home,1,0,0,0,0,0,0,0,
Residential Treatment,7,11,15,13,14,17,14,11,
Psychiatric RTC,7,7,6,5,4,6,7,7,
Boys School,8,9,9,8,8,7,5,4,
Girls School,2,4,4,2,3,2,2,1,
Detention,8,5,2,6,7,6,9,8,
Crisis Center,0,1,1,1,4,1,4,2,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"May 31, 2017","Jun 30, 2017","Jul 31, 2017","Aug 31, 2017","Sep 30, 2017","Oct 31, 2017","Nov 30, 2017","Dec 31, 2017",
Report Period,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,
Total Children in Care,43,48,47,51,47,
Total Family-like setting,13,14,14,14,14,
Relative foster home,4,4,4,3,4,
Non-relative foster home,5,6,5,6,6,
Pre-adoptive home,0,0,0,0,0,
Trial Home Visit,3,3,4,4,3,
Supervised Independent Living,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,
Therapeutic FC Non Relative,1,1,1,1,1,
Therapeutic FC Relative,0,0,0,0,0,
Total Group Care,30,33,33,36,32,
Group Home,0,0,0,0,0,
Residential Treatment,14,12,14,15,16,
Psychiatric RTC,6,7,7,7,7,
Boys School,3,3,5,5,2,
Girls School,1,1,2,2,3,
Detention,2,6,2,5,4,
Crisis Center,4,4,3,2,0,
Hospital,0,0,0,0,0,
State Hospital,0,0,0,0,0,
Jail,0,0,0,0,0,
Runaway,0,1,0,1,1,
Interim,0,0,0,0,0,
Unknown,0,0,0,0,0,
Date data are based,"Jan 31, 2018","Feb 28, 2018","Mar 31, 2018","Apr 30, 2018","May 31, 2018",
