period,Long Term FC Non Relative,Total Family-like setting,State Hospital,Unknown,Hospital,Pre-adoptive home,Long Term FC Relative,Trial Home Visit,Total Children in Care,district,Detention,Group Home,Boys School,Girls School,Therapeutic FC Non Relative,Jail,Specialized FC Relative,Crisis Center,Relative foster home,Specialized FC Non Relative,Therapeutic FC Relative,Non-relative foster home,Supervised Independent Living,Total Group Care,Residential Treatment,Interim,Psychiatric RTC,Runaway
Sep 2013,0,10,0,0,0,0,0,3,31,8,1,5,6,0,3,0,0,0,0,0,0,3,1,21,5,0,4,0
Oct 2013,0,8,0,0,0,0,0,2,32,8,2,6,6,0,3,0,0,0,0,0,0,3,0,23,5,0,4,1
Nov 2013,0,8,0,0,0,0,0,1,34,8,2,7,6,0,3,0,0,0,0,0,0,4,0,25,6,0,4,1
Dec 2013,0,15,0,0,0,0,0,6,34,8,1,5,3,0,3,0,0,0,1,0,0,5,0,18,6,0,3,1
Jan 2014,0,12,0,0,0,0,0,3,33,8,1,8,2,0,3,0,0,0,1,0,0,5,0,21,6,0,4,0
Feb 2014,0,12,0,0,0,0,0,4,31,8,0,6,3,0,3,0,0,0,1,0,0,4,0,19,6,0,4,0
Mar 2014,0,11,0,0,0,0,0,3,30,8,1,3,2,1,3,0,0,0,1,0,0,4,0,19,7,0,5,0
Apr 2014,0,11,0,0,0,0,0,1,31,8,3,3,1,1,3,0,0,1,2,0,0,5,0,20,6,0,5,0
May 2014,0,8,0,0,0,0,0,1,30,8,1,3,2,1,3,0,0,3,2,0,0,2,0,22,7,0,5,0
Jun 2014,0,8,0,0,0,0,0,2,31,8,1,4,2,2,2,0,0,1,2,0,0,2,0,23,8,0,5,0
Jul 2014,0,11,0,0,0,0,0,4,31,8,0,5,2,2,3,0,0,0,2,0,0,2,0,20,7,0,4,0
Aug 2014,0,10,0,0,1,0,0,6,37,8,1,6,1,2,2,0,0,2,2,0,0,0,0,27,10,0,4,0
Sep 2014,0,8,0,0,0,0,0,4,35,8,1,6,1,2,2,0,0,1,2,0,0,0,0,27,11,0,5,0
Oct 2014,0,11,0,0,0,0,0,8,33,8,1,5,2,1,1,0,0,0,2,0,0,0,0,22,8,0,5,0
Nov 2014,0,13,0,0,0,0,0,8,31,8,1,3,1,1,1,0,0,0,3,0,0,1,0,18,7,0,5,0
Dec 2014,0,10,0,0,0,0,0,5,30,8,1,5,2,1,1,0,0,0,3,0,0,1,0,20,8,0,3,0
Jan 2015,0,7,0,0,0,0,0,3,30,8,0,5,3,1,0,0,0,0,3,0,0,1,0,23,10,0,4,0
Feb 2015,0,6,0,0,0,0,0,3,29,8,2,5,3,1,0,0,0,0,3,0,0,0,0,23,9,0,3,0
Mar 2015,0,5,0,0,0,0,0,1,30,8,1,6,3,2,0,0,0,0,2,0,0,2,0,25,9,0,4,0
Apr 2015,0,5,0,0,0,0,0,1,30,8,0,7,4,2,0,0,0,0,2,0,0,2,0,25,9,0,3,0
May 2015,0,4,0,0,0,0,0,1,26,8,1,4,5,1,0,0,0,0,1,0,0,2,0,22,9,0,2,0
Jun 2015,0,1,0,0,0,0,0,0,23,8,2,4,6,2,0,0,0,1,1,0,0,0,0,22,6,0,1,0
Jul 2015,0,2,0,0,0,0,0,2,21,8,2,2,7,3,0,0,0,0,0,0,0,0,0,18,4,0,0,1
Aug 2015,0,3,0,0,0,0,0,3,23,8,3,2,5,3,0,0,0,0,0,0,0,0,0,19,6,0,0,1
Sep 2015,0,3,0,0,0,0,0,2,27,8,5,3,5,5,0,0,0,0,1,0,0,0,0,23,5,0,0,1
Oct 2015,0,4,0,0,0,0,0,3,23,8,1,2,5,5,0,0,0,0,1,0,0,0,0,18,4,0,1,1
Nov 2015,0,4,0,0,0,0,0,3,22,8,1,2,5,5,0,0,0,0,1,0,0,0,0,18,4,0,1,0
Dec 2015,0,3,0,0,0,0,0,2,23,8,0,2,5,5,0,0,0,0,1,0,0,0,0,20,6,0,2,0
Jan 2016,0,3,0,0,0,0,0,2,24,8,2,3,5,4,0,0,0,0,1,0,0,0,0,21,5,0,2,0
Feb 2016,0,4,0,0,0,0,0,2,28,8,1,5,8,3,0,0,0,0,1,0,0,1,0,24,5,0,2,0
Mar 2016,0,5,0,0,0,0,0,4,29,8,2,6,7,2,0,0,0,0,1,0,0,0,0,24,5,0,2,0
Apr 2016,0,4,0,0,0,0,0,3,30,8,1,6,7,2,0,0,0,0,1,0,0,0,0,26,6,0,4,0
May 2016,0,9,0,0,0,0,0,8,28,8,0,4,4,3,0,0,0,1,1,0,0,0,0,19,3,0,4,0
Jun 2016,0,7,0,0,0,0,0,5,26,8,1,6,4,2,0,0,0,0,1,0,0,1,0,19,3,0,3,0
Jul 2016,0,8,0,0,0,0,0,6,24,8,2,4,2,2,0,0,0,0,1,0,0,1,0,16,3,0,3,0
Aug 2016,0,5,0,0,0,0,0,4,18,8,1,3,3,2,0,0,0,0,1,0,0,0,0,13,1,0,3,0
Sep 2016,0,3,0,0,0,0,0,2,20,8,1,4,5,2,0,0,0,1,1,0,0,0,0,17,1,0,3,0
Oct 2016,0,4,0,0,0,0,0,3,21,8,1,5,5,3,0,0,0,0,1,0,0,0,0,17,1,0,2,0
Nov 2016,0,4,0,0,0,0,0,2,21,8,0,4,6,3,0,0,0,1,2,0,0,0,0,17,1,0,2,0
Dec 2016,0,2,0,0,0,0,0,2,18,8,0,4,5,4,0,0,0,0,0,0,0,0,0,16,2,0,1,0
Jan 2017,0,2,0,0,0,0,0,2,19,8,1,3,6,4,0,0,0,0,0,0,0,0,0,17,2,0,1,0
Feb 2017,0,3,0,0,0,0,0,2,16,8,0,1,4,4,0,0,0,0,0,0,0,1,0,13,3,0,1,0
Mar 2017,0,4,0,0,0,0,0,3,23,8,3,3,5,3,0,0,0,0,0,0,0,1,0,19,4,0,1,0
Apr 2017,0,4,0,0,0,0,0,3,23,8,2,3,6,3,0,0,0,0,0,0,0,1,0,19,4,0,1,0
May 2017,0,2,0,0,0,0,0,2,22,8,3,2,6,3,0,0,0,0,0,0,0,0,0,20,5,0,1,0
Jun 2017,0,4,0,0,0,0,0,3,22,8,2,2,5,4,0,0,0,0,1,0,0,0,0,18,4,0,1,0
Jul 2017,0,4,0,0,0,0,0,3,23,8,2,2,5,4,0,0,0,1,1,0,0,0,0,19,4,0,1,0
Aug 2017,0,8,0,0,0,0,0,6,24,8,1,3,3,2,0,0,0,0,2,0,0,0,0,16,5,0,2,0
Sep 2017,0,8,0,0,0,0,0,6,23,8,0,3,3,2,0,0,0,0,2,0,0,0,0,15,5,0,2,0
Oct 2017,0,5,0,0,0,0,0,4,22,8,2,3,3,2,0,0,0,0,1,0,0,0,0,17,5,0,2,0
Nov 2017,0,5,0,0,0,0,0,4,21,8,1,2,4,2,0,0,0,0,1,0,0,0,0,16,5,0,2,0
Dec 2017,0,4,0,0,0,0,0,3,21,8,0,2,5,2,0,0,0,0,1,0,0,0,0,17,5,0,3,0
Jan 2018,0,3,0,0,0,0,0,2,18,8,0,2,5,2,0,0,0,0,1,0,0,0,0,15,3,0,3,0
Feb 2018,0,4,0,0,0,0,0,3,20,8,1,3,5,1,0,0,0,0,1,0,0,0,0,16,3,0,3,0
Mar 2018,0,3,0,0,0,0,0,1,19,8,1,4,5,0,0,0,0,0,1,0,0,1,0,16,3,0,3,0
Apr 2018,0,1,0,0,0,0,0,0,16,8,0,4,5,1,0,0,0,0,0,0,0,1,0,15,2,0,3,0
May 2018,0,1,0,0,0,0,0,0,17,8,1,5,4,1,0,0,0,0,0,0,0,1,0,16,2,0,3,0
