Report Period,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,1,0,2,0,0,1,1,1,
Runaway,0,0,1,1,1,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Sep 30, 2012","Oct 31, 2012","Nov 30, 2012","Dec 31, 2012","Jan 31, 2013","Feb 28, 2013","Mar 31, 2013","Apr 30, 2013",
Report Period,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,
Total Children in Care,50,47,40,38,35,31,34,30,
Total Family-like setting,1,1,1,2,1,3,3,3,
Relative foster home,0,0,0,0,0,1,1,1,
Non-relative foster home,1,1,1,2,1,2,2,2,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,49,46,39,36,34,28,31,27,
Group Home,5,4,2,2,1,3,3,2,
Residential Treatment,26,24,20,17,16,15,17,17,
Psychiatric RTC,7,6,5,6,5,2,2,2,
Boys School,7,5,5,5,5,4,4,1,
Girls School,3,4,4,3,3,1,1,1,
Detention,0,0,0,0,0,0,1,0,
Crisis Center,0,2,3,3,3,2,3,4,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,1,1,0,0,1,1,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"May 31, 2013","Jun 30, 2013","Jul 31, 2013","Aug 31, 2013","Sep 30, 2013","Oct 31, 2013","Nov 30, 2013","Dec 31, 2013",
Report Period,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,
Total Children in Care,30,27,31,25,30,31,33,35,
Total Family-like setting,4,4,3,2,1,2,2,3,
Relative foster home,1,1,1,1,0,1,1,1,
Non-relative foster home,3,3,2,1,1,1,0,1,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,1,1,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,26,23,28,23,29,29,31,32,
Group Home,4,2,0,0,2,1,2,4,
Residential Treatment,15,15,15,13,13,11,13,13,
Psychiatric RTC,1,2,2,3,3,4,4,3,
Boys School,1,1,2,3,3,5,4,3,
Girls School,0,0,1,1,1,1,2,2,
Detention,2,0,1,0,2,0,1,1,
Crisis Center,3,3,6,3,5,6,4,4,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,1,0,0,1,1,2,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Jan 31, 2014","Feb 28, 2014","Mar 31, 2014","Apr 30, 2014","May 31, 2014","Jun 30, 2014","Jul 31, 2014","Aug 31, 2014",
Report Period,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,
Total Children in Care,38,41,34,34,36,37,40,40,
Total Family-like setting,3,3,2,1,2,1,1,1,
Relative foster home,1,1,0,0,0,0,0,0,
Non-relative foster home,2,2,2,1,1,1,1,1,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,1,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,35,38,32,33,34,36,39,39,
Group Home,6,5,2,2,1,1,2,2,
Residential Treatment,13,14,13,11,13,14,13,13,
Psychiatric RTC,3,4,2,1,2,3,4,5,
Boys School,7,8,9,11,12,12,12,12,
Girls School,2,2,2,2,2,3,4,5,
Detention,1,1,1,1,0,1,1,0,
Crisis Center,3,4,3,4,3,2,3,2,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,1,1,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Sep 30, 2014","Oct 31, 2014","Nov 30, 2014","Dec 31, 2014","Jan 31, 2015","Feb 28, 2015","Mar 31, 2015","Apr 30, 2015",
Report Period,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,
Total Children in Care,40,40,36,33,34,35,37,39,
Total Family-like setting,1,0,1,0,0,1,1,1,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,1,0,0,0,0,1,1,1,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,1,0,0,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,39,40,35,33,34,34,36,38,
Group Home,2,2,2,2,6,5,5,3,
Residential Treatment,12,12,11,11,11,10,13,17,
Psychiatric RTC,5,5,5,5,4,4,4,5,
Boys School,12,12,11,8,10,8,10,8,
Girls School,4,4,4,3,2,2,2,3,
Detention,0,0,0,3,0,3,1,1,
Crisis Center,3,3,1,1,1,0,0,1,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,1,2,1,0,0,2,1,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"May 31, 2015","Jun 30, 2015","Jul 31, 2015","Aug 31, 2015","Sep 30, 2015","Oct 31, 2015","Nov 30, 2015","Dec 31, 2015",
Report Period,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,
Total Children in Care,38,42,37,40,40,37,39,31,
Total Family-like setting,2,2,2,2,3,2,2,0,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,2,2,2,2,2,1,0,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,1,1,2,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,36,40,35,38,37,35,37,31,
Group Home,6,6,4,5,4,4,3,4,
Residential Treatment,15,16,14,13,14,11,10,10,
Psychiatric RTC,5,7,7,7,6,8,8,6,
Boys School,7,8,7,7,6,6,5,4,
Girls School,1,3,3,3,3,3,4,3,
Detention,2,0,0,1,0,1,3,1,
Crisis Center,0,0,0,2,4,2,3,2,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,1,1,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Jan 31, 2016","Feb 29, 2016","Mar 31, 2016","Apr 30, 2016","May 31, 2016","Jun 30, 2016","Jul 31, 2016","Aug 31, 2016",
Report Period,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,
Total Children in Care,33,33,35,34,40,42,39,36,
Total Family-like setting,1,1,2,1,1,1,2,1,
Relative foster home,0,0,1,1,0,0,0,0,
Non-relative foster home,1,1,0,0,0,0,0,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,1,0,0,1,2,1,
Supervised Independent Living,0,0,0,0,1,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,32,32,33,33,39,41,36,34,
Group Home,6,6,5,3,6,4,1,1,
Residential Treatment,9,9,10,16,18,19,18,14,
Psychiatric RTC,5,4,5,7,7,9,6,5,
Boys School,6,6,6,5,4,3,8,9,
Girls School,4,4,4,2,2,2,1,2,
Detention,0,0,0,0,1,2,1,3,
Crisis Center,2,3,2,0,1,2,1,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,1,0,0,0,0,0,
Runaway,0,0,0,0,0,0,1,1,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Sep 30, 2016","Oct 31, 2016","Nov 30, 2016","Dec 31, 2016","Jan 31, 2017","Feb 28, 2017","Mar 31, 2017","Apr 30, 2017",
Report Period,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,
Total Children in Care,37,38,39,35,32,30,27,29,
Total Family-like setting,1,0,1,1,1,1,2,3,
Relative foster home,0,0,1,1,1,1,1,1,
Non-relative foster home,0,0,0,0,0,0,0,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,1,2,
Supervised Independent Living,1,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,35,37,37,33,31,29,25,25,
Group Home,2,1,1,3,2,3,4,1,
Residential Treatment,11,12,14,12,11,12,9,11,
Psychiatric RTC,7,9,8,5,5,2,1,0,
Boys School,7,9,10,8,7,6,5,5,
Girls School,3,3,2,2,2,2,3,2,
Detention,2,2,0,0,1,0,0,1,
Crisis Center,2,1,2,3,3,3,1,3,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,1,1,1,
Jail,1,0,0,0,0,0,1,1,
Runaway,1,1,1,1,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,1,
Date data are based,"May 31, 2017","Jun 30, 2017","Jul 31, 2017","Aug 31, 2017","Sep 30, 2017","Oct 31, 2017","Nov 30, 2017","Dec 31, 2017",
Report Period,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,
Total Children in Care,25,27,31,34,36,
Total Family-like setting,2,1,1,2,3,
Relative foster home,1,0,0,1,1,
Non-relative foster home,0,0,0,0,1,
Pre-adoptive home,0,0,0,0,0,
Trial Home Visit,1,1,1,1,1,
Supervised Independent Living,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,
Total Group Care,22,25,29,31,32,
Group Home,1,3,2,3,2,
Residential Treatment,11,13,13,14,13,
Psychiatric RTC,1,2,2,2,5,
Boys School,4,4,4,6,7,
Girls School,3,3,3,3,2,
Detention,1,0,3,2,2,
Crisis Center,1,0,1,1,1,
Hospital,0,0,0,0,0,
State Hospital,0,0,0,0,0,
Jail,0,0,1,0,0,
Runaway,0,0,0,0,0,
Interim,0,0,0,0,0,
Unknown,1,1,1,1,1,
Date data are based,"Jan 31, 2018","Feb 28, 2018","Mar 31, 2018","Apr 30, 2018","May 31, 2018",
