county,murder_total,murder_adult_male,murder_adult_female,murder_juvenile_male,murder_juvenile_female,forcible_rape_total,forcible_rape_adult_male,forcible_rape_adult_female,forcible_rape_juvenile_male,forcible_rape_juvenile_female,robbery_total,robbery_adult_male,robbery_adult_female,robbery_juvenile_male,robbery_juvenile_female,aggravated_assault_total,aggravated_assault_adult_male,aggravated_assault_adult_female,aggravated_assault_juvenile_male,aggravated_assault_juvenile_female,burglary_total,burglary_adult_male,burglary_adult_female,burglary_juvenile_male,burglary_juvenile_female,larceny_theft_total,larceny_theft_adult_male,larceny_theft_adult_female,larceny_theft_juvenile_male,larceny_theft_juvenile_female,mvt_total,mvt_adult_male,mvt_adult_female,mvt_juvenile_male,mvt_juvenile_female,total_total,total_adult_male,total_adult_female,total_juvenile_male,total_juvenile_female
RAWLINS POLICE DEPARTMENT,0,0,0,0,0,6,1,0,1,0,1,0,0,0,0,10,8,0,1,0,34,2,1,0,0,228,41,34,6,5,18,57,35,9,10,0,0,0,0,0
SARATOGA POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11,1,0,1,0,2,1,0,1,0,0,0,0,0,0
HANNA MARSHALS OFFICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CONVERSE COUNTY TOTALS,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,44,10,5,0,0,27,5,1,0,0,122,2,2,0,0,5,19,8,0,0,0,0,0,0,0
DOUGLAS POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,39,8,3,0,0,22,3,1,0,0,91,1,0,0,0,5,14,4,0,0,0,0,0,0,0
GLENROCK POLICE DEPARTMENT,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,2,2,0,0,5,2,0,0,0,31,1,2,0,0,0,5,4,0,0,0,0,0,0,0
CROOK COUNTY TOTALS,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,1,0,0,0,22,3,1,0,0,64,3,1,1,1,7,10,2,1,1,0,0,0,0,0
CROOK COUNTY SHERIFFS OFFICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,12,1,0,0,0,30,1,0,1,0,5,3,0,1,0,0,0,0,0,0
SUNDANCE POLICE DEPARTMENT,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0
MOORCROFT POLICE DEPARTMENT,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10,2,1,0,0,20,2,1,0,1,2,5,2,0,1,0,0,0,0,0
FREMONT COUNTY TOTALS,1,2,0,0,0,12,2,0,0,0,4,1,0,0,0,55,21,2,0,0,68,5,0,3,2,896,133,129,30,17,57,177,133,34,23,0,0,0,0,0
FREMONT COUNTY SHERIFFS OFFICE,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,21,7,1,0,0,13,3,0,1,0,144,4,11,0,2,12,18,13,1,3,0,0,0,0,0
LANDER POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,231,41,41,4,6,8,44,41,4,6,0,0,0,0,0
RIVERTON POLICE DEPARTMENT,1,1,0,0,0,8,2,0,0,0,4,1,0,0,0,34,12,1,0,0,52,2,0,2,2,521,88,77,26,9,37,115,79,29,14,0,0,0,0,0
GOSHEN COUNTY TOTALS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,51,8,1,0,0,31,2,0,0,0,103,4,3,2,0,6,14,4,2,0,0,0,0,0,0
GOSHEN COUNTY SHERIFFS OFFICE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,3,1,0,0,12,1,0,0,0,26,2,1,0,0,3,6,2,0,0,0,0,0,0,0
TORRINGTON POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0,0,0,19,1,0,0,0,77,2,2,2,0,3,8,2,2,0,0,0,0,0,0
HOT SPRINGS COUNTY TOTALS,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,0,3,0,0,0,0,39,0,0,0,0,6,5,1,0,0,0,0,0,0,0
HOT SPRINGS COUNTY SHERIFFS OFFICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,11,0,0,0,0,5,2,0,0,0,0,0,0,0,0
THERMOPOLIS POLICE DEPARTMENT,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,3,0,0,0,0,28,0,0,0,0,1,3,1,0,0,0,0,0,0,0
JOHNSON COUNTY TOTALS,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,10,7,1,1,0,21,1,0,1,0,87,2,1,2,0,8,10,2,6,0,0,0,0,0,0
JOHNSON COUNTY SHERIFFS OFFICE,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,3,1,0,0,10,0,0,0,0,18,0,0,0,0,1,3,1,1,0,0,0,0,0,0
BUFFALO POLICE DEPARTMENT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,4,0,1,0,11,1,0,1,0,69,2,1,2,0,7,7,1,5,0,0,0,0,0,0
LARAMIE COUNTY TOTALS,8,1,0,0,0,36,5,0,0,0,18,5,1,3,0,183,70,10,3,0,477,14,5,1,0,2204,218,197,61,28,258,323,218,69,30,0,0,0,0,0
LARAMIE COUNTY SHERIFFS OFFICE,3,1,0,0,0,10,4,0,0,0,3,0,0,0,0,54,28,9,3,0,117,2,0,1,0,319,30,13,2,0,59,70,23,6,2,0,0,0,0,0
CHEYENNE POLICE DEPARTMENT,5,0,0,0,0,26,1,0,0,0,115,5,1,3,0,126,42,1,0,0,356,12,5,0,0,1873,188,184,59,28,198,253,195,63,28,0,0,0,0,0
PINE BLUFFS POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LINCOLN COUNTY TOTALS,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,20,14,2,2,0,19,2,3,0,1,76,12,7,2,7,6,30,13,4,8,0,0,0,0,0
LINCOLN COUNTY SHERIFFS OFFICE,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,15,9,2,2,0,15,1,2,0,1,39,5,1,0,0,4,16,6,2,1,0,0,0,0,0
AFTON POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,24,4,6,2,4,0,5,7,2,4,0,0,0,0,0
KEMMERER POLICE DEPARTMENT,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,5,5,0,0,0,1,0,0,0,0,13,3,0,0,3,2,9,0,0,3,0,0,0,0,0
DIAMONDVILLE POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NATRONA COUNTY TOTALS,0,1,1,0,0,23,10,1,0,0,12,3,0,0,0,133,45,6,0,0,389,40,10,17,0,1535,161,146,69,62,157,266,173,87,63,0,0,0,0,0
NATRONA COUNTY SHERIFFS OFFICE,0,0,0,0,0,19,9,1,0,0,3,0,0,0,0,34,8,2,0,0,84,10,3,2,0,136,6,4,0,0,28,33,15,2,0,0,0,0,0,0
CASPER POLICE DEPARTMENT,0,1,1,0,0,2,1,0,0,0,7,2,0,0,0,61,18,1,0,0,255,30,7,13,0,1297,152,142,69,62,117,210,155,83,63,0,0,0,0,0
MILLS POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,4,0,0,0,33,0,0,2,0,56,2,0,0,0,8,6,0,2,0,0,0,0,0,0
POLICE DEPARTMENT,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,31,15,3,0,0,17,0,0,0,0,46,1,0,0,0,4,17,3,0,0,0,0,0,0,0
PARK COUNTY TOTALS,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,45,14,6,0,0,85,7,1,0,0,363,36,58,19,3,7,59,65,19,3,0,0,0,0,0
PARK COUNTY SHERIFFS OFFICE,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,28,6,3,0,0,24,1,0,0,0,58,1,1,0,0,0,8,4,0,0,0,0,0,0,0
CODY POLICE DEPARTMENT,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,3,2,0,0,35,4,0,0,0,181,26,50,7,3,5,35,52,7,3,0,0,0,0,0
POWELL POLICE DEPARTMENT,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,5,1,0,0,26,2,1,0,0,124,9,7,12,0,2,16,9,12,0,0,0,0,0,0
PLATTE COUNTY TOTALS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,1,1,0,26,1,0,6,0,57,5,2,3,1,4,11,5,10,1,0,0,0,0,0
PLATTE COUNTY SHERIFFS OFFICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13,0,0,3,0,10,0,0,0,0,1,1,0,3,0,0,0,0,0,0
WHEATLAND POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1,1,0,13,1,0,3,0,47,5,2,3,1,3,10,5,7,1,0,0,0,0,0
SHERIDAN COUNTY TOTALS,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,41,31,5,3,1,61,18,7,7,2,320,36,28,18,7,17,86,40,30,10,0,0,0,0,0
SHERIDAN COUNTY SHERIFFS OFFICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,19,5,3,1,7,0,1,0,0,25,4,0,0,0,4,23,6,3,1,0,0,0,0,0
SHERIDAN POLICE DEPARTMENT,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,14,12,0,0,0,54,18,6,7,2,295,32,28,18,7,13,63,34,27,9,0,0,0,0,0
SUBLETTE COUNTY TOTALS/ SUBLETTE COUNTY SHERIFFS OFFICE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,5,2,1,0,0,69,3,1,0,0,5,7,3,0,0,0,0,0,0,0
SWEETWATER COUNTY TOTALS,2,2,0,0,0,43,5,0,0,0,2,1,1,0,0,89,32,9,3,0,115,12,5,2,0,565,81,92,36,28,54,137,109,41,30,0,0,0,0,0
SWEETWATER COUNTY SHERIFFS OFFICE,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,18,6,1,1,0,33,1,3,0,0,69,1,1,0,0,22,11,5,1,0,0,0,0,0,0
GREEN RIVER POLICE DEPARTMENT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,14,3,2,0,24,3,0,2,0,90,12,4,13,4,5,30,8,17,4,0,0,0,0,0
ROCK SPRINGS POLICE DEPARTMENT,2,2,0,0,0,35,3,0,0,0,2,1,1,0,0,40,12,5,0,0,58,8,2,0,0,406,68,87,23,24,27,96,96,23,26,0,0,0,0,0
TETON COUNTY TOTALS,0,0,0,0,0,11,2,0,0,0,1,0,0,0,0,18,9,1,0,0,17,1,0,0,0,160,3,6,1,2,18,16,7,2,2,0,0,0,0,0
JACKSON POLICE DEPARTMENT,0,0,0,0,0,11,2,0,0,0,1,0,0,0,0,18,9,1,0,0,17,1,0,0,0,160,3,6,1,2,18,16,7,2,2,0,0,0,0,0
UINTA COUNTY TOTALS,2,1,0,0,0,2,0,0,0,0,2,0,0,0,0,13,10,1,0,0,29,14,1,2,0,361,28,10,9,2,17,53,12,11,2,0,0,0,0,0
UINTA COUNTY SHERIFFS OFFICE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,5,3,0,0,0,50,9,6,0,0,5,15,6,0,0,0,0,0,0,0
EVANSTON POLICE DEPARTMENT,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,9,8,1,0,0,24,11,1,2,0,311,19,4,9,2,12,38,6,11,2,0,0,0,0,0
WASHAKIE COUNTY TOTALS,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,22,0,1,0,0,50,0,1,0,0,4,1,2,0,0,0,0,0,0,0
WASHAKIE COUNTY SHERIFFS OFFICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0
WORLAND POLICE DEPARTMENT,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,18,0,1,0,0,43,0,1,0,0,1,1,2,0,0,0,0,0,0,0
WESTON COUNTY TOTALS,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,6,6,1,0,0,5,0,0,0,0,50,7,6,3,0,2,15,7,3,0,0,0,0,0,0
WESTON COUNTY SHERIFFS OFFICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
