county,murder_total,murder_adult_male,murder_adult_female,murder_juvenile_male,murder_juvenile_female,forcible_rape_total,forcible_rape_adult_male,forcible_rape_adult_female,forcible_rape_juvenile_male,forcible_rape_juvenile_female,robbery_total,robbery_adult_male,robbery_adult_female,robbery_juvenile_male,robbery_juvenile_female,aggravated_assault_total,aggravated_assault_adult_male,aggravated_assault_adult_female,aggravated_assault_juvenile_male,aggravated_assault_juvenile_female,burglary_total,burglary_adult_male,burglary_adult_female,burglary_juvenile_male,burglary_juvenile_female,larceny_theft_total,larceny_theft_adult_male,larceny_theft_adult_female,larceny_theft_juvenile_male,larceny_theft_juvenile_female,mvt_total,mvt_adult_male,mvt_adult_female,mvt_juvenile_male,mvt_juvenile_female,total_total,total_adult_male,total_adult_female,total_juvenile_male,total_juvenile_female
CONVERSE COUNTY SHERIFF’S OFFICE,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,23,8,1,1,0,2,0,1,0,0,21,2,0,0,0,1,11,2,1,0,0,0,0,0,0
DOUGLAS POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,46,0,1,0,0,14,0,1,0,0,136,0,0,0,0,6,0,13,0,0,0,0,0,0,0
GLENROCK POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0
CROOK COUNTY TOTALS,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,5,3,1,2,0,31,9,1,0,0,36,1,1,0,4,3,15,3,3,5,0,0,0,0,0
CROOK COUNTY SHERIFF’S OFFICE,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4,1,1,0,0,7,0,0,0,0,15,1,1,0,0,1,4,2,0,0,0,0,0,0,0
SUNDANCE POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,8,0,0,0,0,6,0,0,0,0,1,2,0,3,1,0,0,0,0,0
HULETT POLICE DEPARTMENT (NOT REPORTING),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOORCROFT POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,1,0,0,15,0,0,0,4,1,9,1,0,4,0,0,0,0,0
FREMONT COUNTY TOTALS,1,3,1,0,0,8,0,0,0,0,6,3,0,1,0,53,14,5,1,2,101,15,2,1,0,727,92,101,29,17,40,132,110,34,20,0,0,0,0,0
FREMONT COUNTY SHERIFF’S OFFICE,0,2,1,0,0,1,0,0,0,0,0,1,0,1,0,22,2,2,0,1,22,6,1,1,0,95,6,4,0,0,10,22,9,2,2,0,0,0,0,0
LANDER POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,13,2,0,0,0,202,18,12,12,1,7,21,12,12,1,0,0,0,0,0
RIVERTON POLICE DEPARTMENT,1,1,0,0,0,7,0,0,0,0,6,2,0,0,0,26,11,3,1,1,66,7,1,0,0,430,68,85,17,16,23,89,89,20,17,0,0,0,0,0
GOSHEN COUNTY TOTALS,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,33,4,2,1,0,53,3,0,0,0,128,6,11,3,0,9,14,14,5,0,0,0,0,0,0
GOSHEN COUNTY SHERIFF’S OFFICE,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,1,0,0,29,3,0,0,0,40,0,1,0,0,5,3,2,1,0,0,0,0,0,0
TORRINGTON POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,18,4,1,1,0,24,0,0,0,0,88,6,10,3,0,4,11,12,4,0,0,0,0,0,0
HOT SPRINGS COUNTY TOTALS,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,1,0,0,7,1,0,0,0,21,3,1,4,0,6,6,2,8,0,0,0,0,0,0
HOT SPRINGS COUNTY SHERIFF’S OFFICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,6,0,0,0,0,14,1,1,0,0,2,2,2,1,0,0,0,0,0,0
THERMOPOLIS POLICE DEPARTMENT,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,2,0,4,0,4,4,0,7,0,0,0,0,0,0
JOHNSON COUNTY TOTALS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,3,0,0,18,5,0,0,0,84,1,2,0,3,7,12,5,2,4,0,0,0,0,0
JOHNSON COUNTY SHERIFF’S OFFICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,6,3,0,0,0,17,0,0,0,0,6,5,0,1,1,0,0,0,0,0
BUFFALO POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,3,0,0,12,2,0,0,0,67,1,2,0,3,1,7,5,1,3,0,0,0,0,0
LARAMIE COUNTY TOTALS,5,1,0,0,0,18,2,0,0,0,6,1,0,0,0,126,89,23,8,4,409,17,3,0,0,1789,183,190,50,43,128,303,218,61,49,0,0,0,0,0
LARAMIE COUNTY SHERIFF’S OFFICE,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,38,35,5,0,1,136,6,0,0,0,283,13,15,3,1,37,60,20,4,3,0,0,0,0,0
CHEYENNE POLICE DEPARTMENT,5,1,0,0,0,14,2,0,0,0,4,0,0,0,0,83,52,18,7,3,268,10,2,0,0,1503,170,175,47,42,91,240,197,56,46,0,0,0,0,0
PINE BLUFFS POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0,1,0,5,1,1,0,0,3,0,0,0,0,0,3,1,1,0,0,0,0,0,0
LINCOLN COUNTY TOTALS,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,11,11,2,0,0,10,1,2,0,0,92,5,8,1,3,5,17,12,1,3,0,0,0,0,0
LINCOLN COUNTY SHERIFF’S OFFICE,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7,9,2,0,0,8,1,2,0,0,47,3,1,0,2,3,13,5,2,0,0,0,0,0,0
AFTON POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,22,0,3,0,1,1,1,3,0,1,0,0,0,0,0
KEMMERER POLICE DEPARTMENT,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,23,2,4,1,0,1,3,4,1,0,0,0,0,0,0
DIAMONDVILLE POLICE DEPARTMENT (REPORTED JANUARY-DECEMBER),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NATRONA COUNTY TOTALS,1,1,0,0,0,33,8,0,0,0,22,10,2,3,0,137,31,7,3,1,332,27,11,11,4,1639,166,211,70,61,105,249,231,88,66,0,0,0,0,0
NATRONA COUNTY SHERIFF’S OFFICE,0,0,0,0,0,19,4,0,0,0,3,1,0,0,0,41,9,0,0,0,83,4,1,0,0,137,13,3,0,0,34,33,4,0,0,0,0,0,0,0
CASPER POLICE DEPARTMENT,1,1,0,0,0,8,4,0,0,0,17,9,2,3,0,59,19,7,2,0,212,23,10,7,4,1396,152,208,69,61,62,212,227,82,65,0,0,0,0,0
MILLS POLICE DEPARTMENT,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,15,3,0,1,0,33,0,0,4,0,71,1,0,1,0,9,4,0,6,0,0,0,0,0,0
EVANSVILLE POLICE DEPARTMENT,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,22,0,0,0,1,4,0,0,0,0,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NIOBRARA COUNTY TOTALS (NOT REPORTING),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUSK POLICE DEPARTMENT (NOT REPORTING),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARK COUNTY TOTALS,0,0,0,0,0,7,2,0,0,0,1,0,0,0,0,38,16,7,1,0,91,2,2,1,0,292,36,39,18,1,5,56,48,21,1,0,0,0,0,0
PARK COUNTY SHERIFF’S OFFICE,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,14,5,5,0,0,25,0,0,0,0,36,2,1,1,0,0,8,6,1,0,0,0,0,0,0
CODY POLICE DEPARTMENT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,5,1,1,0,51,2,1,1,0,135,25,31,7,0,3,32,33,10,0,0,0,0,0,0
POWELL POLICE DEPARTMENT,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,14,6,1,0,0,15,0,1,0,0,121,9,7,10,1,2,16,9,10,1,0,0,0,0,0
PLATTE COUNTY TOTALS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,41,2,3,7,0,65,5,1,3,0,9,11,6,10,0,0,0,0,0,0
PLATTE COUNTY SHERIFF’S OFFICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9,0,1,0,0,2,1,2,0,0,0,0,0,0,0
WHEATLAND POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,31,2,3,7,0,56,5,0,3,0,7,10,4,10,0,0,0,0,0,0
GUERNSEY POLICE DEPARTMENT (NOT REPORTING),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHERIDAN COUNTY TOTALS,0,0,0,0,0,3,1,0,0,0,3,3,0,0,0,21,8,3,1,0,72,15,1,3,0,336,56,31,33,7,31,90,36,43,8,0,0,0,0,0
SHERIDAN COUNTY SHERIFF’S OFFICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,2,0,3,0,24,1,0,5,0,9,7,1,10,0,0,0,0,0,0
SHERIDAN POLICE DEPARTMENT,0,0,0,0,0,2,1,0,0,0,3,3,0,0,0,20,7,3,1,0,57,13,1,0,0,311,55,31,28,7,22,82,35,33,8,0,0,0,0,0
NORTHERN WYOMING COMMUNITY COLLEGE POLICE DISTRICT POLICE DEPARTMENT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SUBLETTE COUNTY TOTALS/ SUBLETTE COUNTY SHERIFF’S OFFICE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,16,3,1,0,0,91,2,1,0,0,4,15,2,0,0,0,0,0,0,0
SWEETWATER COUNTY TOTALS,0,0,0,0,0,50,10,0,1,0,4,1,2,2,0,120,46,11,11,2,115,15,8,6,0,569,84,128,21,15,47,157,152,41,21,0,0,0,0,0
SWEETWATER COUNTY SHERIFF’S OFFICE,0,0,0,0,0,14,2,0,0,0,1,0,0,0,0,19,7,0,1,0,27,3,0,0,0,62,1,0,0,0,14,13,0,1,0,0,0,0,0,0
GREEN RIVER POLICE DEPARTMENT,0,0,0,0,0,5,1,0,1,0,1,2,0,0,0,48,17,5,5,1,26,2,2,6,0,95,10,7,4,0,9,30,17,18,3,0,0,0,0,0
ROCK SPRINGS POLICE DEPARTMENT,0,0,0,0,0,31,7,0,0,0,2,1,2,0,0,53,22,6,5,1,62,10,6,0,0,412,73,121,17,15,24,114,135,22,18,0,0,0,0,0
TETON COUNTY TOTALS/ JACKSON POLICE DEPARTMENT,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,14,3,2,0,0,15,1,0,0,0,138,19,8,2,1,15,23,11,2,1,0,0,0,0,0
UINTA COUNTY TOTALS,0,0,0,0,0,7,0,0,0,0,3,2,1,0,0,8,8,3,1,0,24,22,0,0,0,394,46,14,19,1,31,78,18,22,1,0,0,0,0,0
UINTA COUNTY SHERIFF’S OFFICE,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,14,0,0,0,78,17,2,0,0,8,35,2,0,0,0,0,0,0,0
EVANSTON POLICE DEPARTMENT,0,0,0,0,0,5,0,0,0,0,3,2,1,0,0,7,4,3,1,0,22,8,0,0,0,316,29,12,19,1,23,43,16,22,1,0,0,0,0,0
WASHAKIE COUNTY TOTALS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,10,1,0,4,0,42,2,2,2,2,1,6,2,6,2,0,0,0,0,0
WASHAKIE COUNTY SHERIFF’S OFFICE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
WORLAND POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,10,1,0,4,0,40,2,2,2,2,0,5,2,6,2,0,0,0,0,0
WESTON COUNTY TOTALS,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,4,0,2,0,0,12,1,1,0,0,59,5,1,9,3,5,10,4,10,3,0,0,0,0,0
WESTON COUNTY SHERIFF’S OFFICE,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,2,0,0,0,0,4,0,0,0,0,1,2,1,0,0,0,0,0,0,0
