county,murder_total,murder_adult_male,murder_adult_female,murder_juvenile_male,murder_juvenile_female,forcible_rape_total,forcible_rape_adult_male,forcible_rape_adult_female,forcible_rape_juvenile_male,forcible_rape_juvenile_female,robbery_total,robbery_adult_male,robbery_adult_female,robbery_juvenile_male,robbery_juvenile_female,aggravated_assault_total,aggravated_assault_adult_male,aggravated_assault_adult_female,aggravated_assault_juvenile_male,aggravated_assault_juvenile_female,burglary_total,burglary_adult_male,burglary_adult_female,burglary_juvenile_male,burglary_juvenile_female,larceny_theft_total,larceny_theft_adult_male,larceny_theft_adult_female,larceny_theft_juvenile_male,larceny_theft_juvenile_female,mvt_total,mvt_adult_male,mvt_adult_female,mvt_juvenile_male,mvt_juvenile_female,total_total,total_adult_male,total_adult_female,total_juvenile_male,total_juvenile_female
CONVERSE COUNTY TOTALS,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,36,12,3,1,2,27,3,1,0,0,219,9,7,2,0,14,28,12,3,3,0,0,0,0,0
CONVERSE COUNTY SHERIFF’S OFFICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,2,1,0,1,0,0,30,0,2,0,0,1,2,4,0,2,0,0,0,0,0
DOUGLAS POLICE DEPARTMENT,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,24,8,2,0,0,25,2,0,0,0,167,6,5,1,0,8,19,7,2,1,0,0,0,0,0
GLENROCK POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,1,1,0,0,0,22,3,0,1,0,4,7,1,1,0,0,0,0,0,0
CROOK COUNTY TOTALS,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,10,6,1,2,0,13,0,0,0,0,57,3,1,7,0,6,11,2,10,0,0,0,0,0,0
CROOK COUNTY SHERIFF’S OFFICE,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,3,3,1,0,0,6,0,0,0,0,26,1,1,5,0,4,6,2,6,0,0,0,0,0,0
SUNDANCE POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,18,1,0,2,0,2,1,0,3,0,0,0,0,0,0
HULETT POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
MOORCROFT POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,4,0,0,0,0,13,1,0,0,0,0,1,0,1,0,0,0,0,0,0
FREMONT COUNTY TOTALS,0,2,1,0,0,10,3,0,0,0,5,2,1,0,0,43,13,4,1,1,74,13,6,2,0,689,69,78,27,12,32,109,91,30,13,0,0,0,0,0
FREMONT COUNTY SHERIFF’S OFFICE,0,2,1,0,0,4,1,0,0,0,2,1,1,0,0,19,7,0,0,0,17,8,2,1,0,76,7,4,0,0,6,30,9,1,0,0,0,0,0,0
LANDER POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,27,2,0,1,0,214,17,14,8,2,7,19,14,9,3,0,0,0,0,0
RIVERTON POLICE DEPARTMENT,0,0,0,0,0,6,2,0,0,0,3,1,0,0,0,22,6,4,1,0,30,3,4,0,0,399,45,60,19,10,19,60,68,20,10,0,0,0,0,0
GOSHEN COUNTY TOTALS,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,40,8,1,1,0,52,9,0,0,0,112,14,5,4,1,6,31,6,5,1,0,0,0,0,0
GOSHEN COUNTY SHERIFF’S OFFICE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,4,0,0,0,23,2,0,0,0,39,1,0,0,0,1,7,0,0,0,0,0,0,0,0
TORRINGTON POLICE DEPARTMENT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,4,1,1,0,29,7,0,0,0,73,13,5,4,1,5,24,6,5,1,0,0,0,0,0
HOT SPRINGS COUNTY TOTALS,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,26,2,2,8,2,1,3,2,10,2,0,0,0,0,0
HOT SPRINGS COUNTY SHERIFF’S OFFICE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,14,0,1,0,1,1,1,0,2,1,0,0,0,0,0
THERMOPOLIS POLICE DEPARTMENT,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,14,2,1,8,1,1,3,1,8,1,0,0,0,0,0
JOHNSON COUNTY TOTALS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1,1,1,0,21,0,0,0,0,113,3,4,2,0,7,5,5,6,1,0,0,0,0,0
JOHNSON COUNTY SHERIFF’S OFFICE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,19,0,0,0,0,3,0,0,1,1,0,0,0,0,0
BUFFALO POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,1,0,17,0,0,0,0,94,3,4,2,0,4,5,5,5,0,0,0,0,0,0
LARAMIE COUNTY TOTALS,3,3,2,1,0,18,6,0,0,0,17,4,1,0,0,116,46,15,5,0,427,15,5,0,0,1,797,227,264,56,64,117,310,289,64,65,0,0,0,0
LARAMIE COUNTY SHERIFF’S OFFICE,1,1,0,0,0,12,3,0,0,0,4,0,1,0,0,45,21,6,1,0,173,9,4,0,0,320,38,27,4,2,33,78,38,5,2,0,0,0,0,0
CHEYENNE POLICE DEPARTMENT,2,2,2,1,0,6,3,0,0,0,13,4,0,0,0,68,25,9,4,0,246,6,1,0,0,1,465,189,237,52,62,84,232,251,59,63,0,0,0,0
PINE BLUFFS POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINCOLN COUNTY TOTALS,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,9,6,2,0,0,26,5,1,0,0,128,17,9,0,0,7,31,12,0,0,0,0,0,0,0
LINCOLN COUNTY SHERIFF’S OFFICE,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,1,1,0,0,65,6,2,0,0,5,9,3,0,0,0,0,0,0,0
AFTON POLICE DEPARTMENT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,1,0,0,0,32,6,4,0,0,1,9,5,0,0,0,0,0,0,0
KEMMERER POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,7,3,0,0,0,31,5,3,0,0,1,13,4,0,0,0,0,0,0,0
DIAMONDVILLE POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NATRONA COUNTY TOTALS,3,2,1,0,0,19,8,2,0,0,13,6,0,0,0,116,41,10,1,0,300,47,11,8,1,1,552,174,165,70,73,86,284,191,80,75,0,0,0,0
NATRONA COUNTY SHERIFF’S OFFICE,1,0,0,0,0,13,6,2,0,0,2,0,0,0,0,24,7,0,0,0,41,15,3,0,0,126,9,2,0,0,16,38,7,0,0,0,0,0,0,0
CASPER POLICE DEPARTMENT,2,0,0,0,0,4,2,1,0,0,11,6,0,0,0,67,26,2,1,1,238,44,5,8,2,1329,105,123,81,65,65,189,132,91,70,0,0,0,0,0
MILLS POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,17,0,0,0,0,59,0,0,0,0,4,2,0,0,0,0,0,0,0,0
EVANSVILLE POLICE DEPARTMENT,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,11,2,0,0,4,0,0,5,0,38,5,2,3,0,1,16,5,8,0,0,0,0,0,0
NIOBRARA COUNTY TOTALS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUSK POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARK COUNTY TOTALS,1,0,0,0,0,14,4,0,0,0,1,0,0,0,0,43,15,8,2,0,75,4,0,0,0,349,36,16,11,9,14,60,24,13,9,0,0,0,0,0
PARK COUNTY SHERIFF’S OFFICE,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,20,7,5,0,0,15,0,0,0,0,62,3,0,0,0,4,10,5,0,0,0,0,0,0,0
CODY POLICE DEPARTMENT,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,11,3,2,2,0,32,2,0,0,0,152,22,11,6,6,4,29,13,8,6,0,0,0,0,0
POWELL POLICE DEPARTMENT,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,12,5,1,0,0,28,2,0,0,0,135,11,5,5,3,6,21,6,5,3,0,0,0,0,0
PLATTE COUNTY TOTALS,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,4,2,0,1,45,2,1,0,1,93,4,2,2,0,13,14,5,2,3,0,0,0,0,0
PLATTE COUNTY SHERIFF’S OFFICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,11,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WHEATLAND POLICE DEPARTMENT,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,3,2,0,0,32,2,1,0,1,66,4,2,1,0,12,11,5,1,2,0,0,0,0,0
GUERNSEY POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,4,0,0,1,0,1,2,0,1,1,0,0,0,0,0
SHERIDAN COUNTY TOTALS,2,1,0,0,0,3,2,0,0,0,2,3,3,0,0,38,8,2,0,0,78,13,1,2,0,344,33,30,23,6,32,63,38,26,6,0,0,0,0,0
SHERIDAN COUNTY SHERIFF’S OFFICE,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,1,0,0,9,2,0,0,0,30,2,0,6,0,11,5,2,8,0,0,0,0,0,0
SHERIDAN POLICE DEPARTMENT,1,0,0,0,0,3,2,0,0,0,1,2,3,0,0,34,8,1,0,0,69,13,1,0,0,314,31,30,17,6,21,58,36,18,6,0,0,0,0,0
NORTHERN WYOMING COMMUNITY COLLEGE POLICE DISTRICT POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUBLETTE COUNTY TOTALS/ SUBLETTE COUNTY SHERIFF’S OFFICE,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,8,3,1,0,0,5,1,1,0,0,68,4,1,2,0,3,11,3,2,0,0,0,0,0,0
SWEETWATER COUNTY TOTALS,1,1,1,0,0,36,4,0,1,0,5,3,1,0,0,92,33,10,1,0,124,7,4,2,0,624,72,108,19,18,72,125,129,27,22,0,0,0,0,0
SWEETWATER COUNTY SHERIFF’S OFFICE,0,0,0,0,0,16,1,0,1,0,0,1,0,0,0,20,7,1,1,0,30,0,1,0,0,67,3,1,0,0,21,13,3,2,2,0,0,0,0,0
GREEN RIVER POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13,5,0,0,23,4,2,0,0,125,11,5,8,3,14,30,14,11,5,0,0,0,0,0
ROCK SPRINGS POLICE DEPARTMENT,1,1,1,0,0,20,3,0,0,0,5,2,1,0,0,41,13,4,0,0,71,3,1,2,0,432,58,102,11,15,37,82,112,14,15,0,0,0,0,0
TETON COUNTY TOTALS/ JACKSON POLICE DEPARTMENT,0,0,0,0,0,9,1,0,2,0,2,0,0,0,0,39,8,4,0,0,14,2,0,0,0,206,13,9,3,3,13,24,13,5,3,0,0,0,0,0
UINTA COUNTY TOTALS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,1,0,1,22,8,2,0,1,382,57,25,24,6,19,83,28,24,8,0,0,0,0,0
UINTA COUNTY SHERIFF’S OFFICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,5,2,0,0,58,6,2,0,0,4,20,4,0,0,0,0,0,0,0
EVANSTON POLICE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,1,0,1,21,3,0,0,1,324,51,23,24,6,15,63,24,24,8,0,0,0,0,0
WASHAKIE COUNTY TOTALS,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,4,1,0,0,0,0,0,0,0,54,5,6,0,0,0,10,7,0,0,0,0,0,0,0
WASHAKIE COUNTY SHERIFF’S OFFICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0
WORLAND POLICE DEPARTMENT,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,1,0,0,0,12,0,0,0,0,57,5,6,0,0,2,7,6,0,0,0,0,0,0,0
WESTON COUNTY TOTALS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,5,1,0,0,12,1,1,2,0,60,3,1,5,4,4,9,3,9,4,0,0,0,0,0
WESTON COUNTY SHERIFF’S OFFICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,2,0,2,0,0,0,0,0,0
