Agency,Rape,Robbery,Agg Asslt,Burglary,Larceny,MVT,2013 Total,M,2012 Total,M,% Change,2010 Est. Pop. Coverage,"Crime Rate Per 10,000 Inhabitants"
Alpine,0,0,0,0,0,0,0,12,0,12,0.00%,0,0
NATRONA COUNTY,11,17,138,39,1879,111,2536,,2497,,1.6%,79993,31.7
Sheriff,4,0,29,32,141,18,225,12,285,12,-21.1%,14922,15.1
Casper,7,15,64,294,1657,85,2124,12,2053,12,3.5%,58688,36.2
Evansville,0,0,19,7,21,2,49,12,49,12,0.0%,2897,16.9
Mills,0,2,26,44,60,6,138,12,110,12,25.5%,3486,39.6
NIOBRARA COUNTY,0,1,2,4,5,0,12,,11,,9.1%,2450,4.9
Sheriff,0,0,0,2,3,0,5,12,5,12,0.0%,902,5.5
Lusk,0,1,2,2,2,0,7,12,6,0,16.7%,1548,4.5
PARK COUNTY,20,3,52,81,344,7,510,,553,,-7.8%,28954,17.6
Sheriff,9,0,30,17,52,2,113,12,115,12,-1.7%,12914,8.8
Cody,0,2,12,33,168,3,218,12,203,12,7.4%,9736,22.4
Powell,11,1,10,31,124,2,179,12,235,12,-23.8%,6304,28.4
PLATTE COUNTY,0,0,15,41,102,11,169,,93,,81.7%,8812,19.2
Sheriff,0,0,2,16,17,3,38,12,22,12,72.7%,3990,9.5
Guernsey,0,0,2,4,0,0,6,12,0,12,Div/0,1178,5.1
Wheatland,0,0,11,21,85,8,125,12,71,12,76.1%,3644,34.3
SHERIDAN COUNTY,3,3,18,87,336,24,471,,539,,-12.6%,29857,15.8
Sheriff,0,0,1,7,30,2,40,12,52,12,-23.1%,12081,3.3
Sheridan,3,3,17,78,300,22,423,12,486,12,-13.0%,17776,23.8
Sheridan College,0,0,0,2,6,0,8,12,1,12,100.00%,0,0
SUBLETTE COUNTY,1,0,13,13,101,5,133,,95,,40.0%,10454,12.7
Sheriff,1,0,13,13,101,5,133,12,95,12,40.0%,"10,4541",12.7
SWEETWATER CNTY,19,5,123,152,744,49,1092,,1147,,-4.8%,46003,23.7
Sheriff,2,0,18,25,73,13,131,12,164,12,-20.1,8665,15.1
Green River,7,1,48,28,120,8,212,12,272,12,-22.1%,12933,16.4
Rock Springs,10,4,57,99,551,28,749,12,711,12,5.3%,24405,30.7
TETON COUNTY,9,0,36,20,199,12,276,,277,,-0.4%,9918,27.8
Jackson,9,0,36,20,199,12,276,12,277,12,-0.4%,9918,27.8
UINTA COUNTY,2,3,2,29,424,11,471,,389,,21.1%,18985,24.4
Sheriff,0,0,1,0,3,0,4,12,11,12,-63.6%,3028,1.3
Evanston,2,3,2,26,362,8,403,12,300,12,34.3%,12228,33
WASHAKIE COUNTY,0,0,8,2,48,0,58,,52,,11.5%,8469,6.8
Sheriff,0,0,1,0,3,0,4,12,11,12,-63.6%,3028,1.3
Worland,0,0,7,2,45,0,54,12,41,12,31.7%,5441,9.9
WESTON COUNTY,3,0,7,22,69,5,106,,97,,9.3%,5999,17.7
Sheriff,0,0,2,6,3,3,14,12,4,12,250.0%,2534,5.5
Newcastle,3,0,5,16,66,2,92,12,93,12,-1.1%,3465,26.6
TOTAL,136,57,860,1895,9995,539,13494,,13873,,-2.7%,563633,23.9
