Placement Type (of those in care),,,,,,,,,,,,,,,,,,,,,
"The number/percent of children on the caseload on the last day of each report period, by the level of care they were in on that day Report Time Period: January 1, 2012 - May 31, 2018 (Monthly)",,,,,,,,,,,,,,,,,,,,,
Statewide,,,,,,,,,,,,,,,,,,,,,
Filters Active,,,,,,,,,,,,,,,,,,,,,
Report Period,Jan 2012,,Feb 2012,,,Mar 2012,,,Apr 2012,,May 2012,,,Jun 2012,,,Jul 2012,,Aug 2012,,
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Jan 31, 2012",,"Feb 29, 2012",,,"Mar 31, 2012",,,"Apr 30, 2012",,"May 31, 2012",,,"Jun 30, 2012",,,"Jul 31, 2012",,"Aug 31, 2012",,
Report Period,Sep 2012,,Oct 2012,,,Nov 2012,,,Dec 2012,,Jan 2013,,,Feb 2013,,,Mar 2013,,Apr 2013,,
Total Children in Care,49,100.0%,58,,100.0%,65,100.0%,,71,100.0%,74,,100.0%,82,100.0%,,78,100.0%,89,,100.0%
Total Family-like setting,4,8.2%,4,,6.9%,3,4.6%,,3,4.2%,3,,4.1%,4,4.9%,,5,6.4%,6,,6.7%
Relative foster home,1,2.0%,1,,1.7%,1,1.5%,,1,1.4%,1,,1.4%,2,2.4%,,3,3.8%,3,,3.4%
Non-relative foster home,3,6.1%,3,,5.2%,2,3.1%,,2,2.8%,2,,2.7%,2,2.4%,,2,2.6%,2,,2.2%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,1.1%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,45,91.8%,54,,93.1%,62,95.4%,,68,95.8%,71,,95.9%,78,95.1%,,73,93.6%,83,,93.3%
Group Home,9,18.4%,11,,19.0%,14,21.5%,,16,22.5%,14,,18.9%,18,22.0%,,15,19.2%,17,,19.1%
Residential Treatment,13,26.5%,13,,22.4%,15,23.1%,,15,21.1%,17,,23.0%,16,19.5%,,16,20.5%,20,,22.5%
Psychiatric RTC,3,6.1%,3,,5.2%,3,4.6%,,3,4.2%,2,,2.7%,2,2.4%,,3,3.8%,3,,3.4%
Boys School,12,24.5%,14,,24.1%,20,30.8%,,23,32.4%,25,,33.8%,30,36.6%,,29,37.2%,30,,33.7%
Girls School,7,14.3%,7,,12.1%,9,13.8%,,10,14.1%,7,,9.5%,9,11.0%,,10,12.8%,12,,13.5%
Detention,1,2.0%,6,,10.3%,1,1.5%,,1,1.4%,6,,8.1%,3,3.7%,,0,0.0%,1,,1.1%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Sep 30, 2012",,"Oct 31, 2012",,,"Nov 30, 2012",,,"Dec 31, 2012",,"Jan 31, 2013",,,"Feb 28, 2013",,,"Mar 31, 2013",,"Apr 30, 2013",,
Report Period,May 2013,,Jun 2013,,,Jul 2013,,,Aug 2013,,Sep 2013,,,Oct 2013,,,Nov 2013,,Dec 2013,,
Total Children in Care,87,100.0%,74,,100.0%,72,100.0%,,65,100.0%,60,,100.0%,61,100.0%,,64,100.0%,62,,100.0%
Total Family-like setting,8,9.2%,8,,10.8%,7,9.7%,,8,12.3%,7,,11.7%,5,8.2%,,6,9.4%,6,,9.7%
Relative foster home,4,4.6%,3,,4.1%,4,5.6%,,5,7.7%,4,,6.7%,2,3.3%,,2,3.1%,2,,3.2%
Non-relative foster home,2,2.3%,2,,2.7%,2,2.8%,,2,3.1%,2,,3.3%,2,3.3%,,2,3.1%,2,,3.2%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,1,1.1%,1,,1.4%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,1,1.6%,1,,1.6%
Supervised Independent Living,1,1.1%,2,,2.7%,1,1.4%,,1,1.5%,1,,1.7%,1,1.6%,,1,1.6%,1,,1.6%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,79,90.8%,66,,89.2%,65,90.3%,,57,87.7%,53,,88.3%,56,91.8%,,58,90.6%,56,,90.3%
Group Home,15,17.2%,11,,14.9%,11,15.3%,,12,18.5%,11,,18.3%,18,29.5%,,17,26.6%,12,,19.4%
Residential Treatment,21,24.1%,18,,24.3%,17,23.6%,,15,23.1%,12,,20.0%,13,21.3%,,11,17.2%,15,,24.2%
Psychiatric RTC,3,3.4%,3,,4.1%,4,5.6%,,4,6.2%,5,,8.3%,5,8.2%,,5,7.8%,5,,8.1%
Boys School,26,29.9%,20,,27.0%,20,27.8%,,17,26.2%,17,,28.3%,13,21.3%,,16,25.0%,15,,24.2%
Girls School,11,12.6%,13,,17.6%,13,18.1%,,8,12.3%,8,,13.3%,6,9.8%,,7,10.9%,7,,11.3%
Detention,3,3.4%,1,,1.4%,0,0.0%,,1,1.5%,0,,0.0%,1,1.6%,,2,3.1%,2,,3.2%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"May 31, 2013",,"Jun 30, 2013",,,"Jul 31, 2013",,,"Aug 31, 2013",,"Sep 30, 2013",,,"Oct 31, 2013",,,"Nov 30, 2013",,"Dec 31, 2013",,
Report Period,Jan 2014,,Feb 2014,,,Mar 2014,,,Apr 2014,,May 2014,,,Jun 2014,,,Jul 2014,,Aug 2014,,
Total Children in Care,63,100.0%,70,,100.0%,72,100.0%,,72,100.0%,75,,100.0%,78,100.0%,,72,100.0%,66,,100.0%
Total Family-like setting,5,7.9%,5,,7.1%,5,6.9%,,2,2.8%,2,,2.7%,2,2.6%,,2,2.8%,3,,4.5%
Relative foster home,1,1.6%,1,,1.4%,1,1.4%,,1,1.4%,1,,1.3%,1,1.3%,,1,1.4%,0,,0.0%
Non-relative foster home,2,3.2%,2,,2.9%,2,2.8%,,1,1.4%,1,,1.3%,1,1.3%,,1,1.4%,1,,1.5%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,1,1.6%,1,,1.4%,1,1.4%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,2,,3.0%
Supervised Independent Living,1,1.6%,1,,1.4%,1,1.4%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,58,92.1%,65,,92.9%,67,93.1%,,70,97.2%,73,,97.3%,76,97.4%,,70,97.2%,63,,95.5%
Group Home,12,19.0%,16,,22.9%,16,22.2%,,15,20.8%,15,,20.0%,16,20.5%,,14,19.4%,19,,28.8%
Residential Treatment,16,25.4%,18,,25.7%,18,25.0%,,18,25.0%,18,,24.0%,21,26.9%,,18,25.0%,17,,25.8%
Psychiatric RTC,5,7.9%,6,,8.6%,8,11.1%,,8,11.1%,8,,10.7%,5,6.4%,,5,6.9%,2,,3.0%
Boys School,15,23.8%,16,,22.9%,16,22.2%,,18,25.0%,15,,20.0%,18,23.1%,,20,27.8%,14,,21.2%
Girls School,6,9.5%,8,,11.4%,9,12.5%,,10,13.9%,11,,14.7%,12,15.4%,,12,16.7%,9,,13.6%
Detention,4,6.3%,1,,1.4%,0,0.0%,,1,1.4%,6,,8.0%,4,5.1%,,1,1.4%,2,,3.0%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Jan 31, 2014",,"Feb 28, 2014",,,"Mar 31, 2014",,,"Apr 30, 2014",,"May 31, 2014",,,"Jun 30, 2014",,,"Jul 31, 2014",,"Aug 31, 2014",,
Report Period,Sep 2014,,Oct 2014,,,Nov 2014,,,Dec 2014,,Jan 2015,,,Feb 2015,,,Mar 2015,,Apr 2015,,
Total Children in Care,66,100.0%,73,,100.0%,80,100.0%,,78,100.0%,69,,100.0%,70,100.0%,,72,100.0%,73,,100.0%
Total Family-like setting,4,6.1%,4,,5.5%,3,3.8%,,3,3.8%,2,,2.9%,2,2.9%,,1,1.4%,1,,1.4%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,1,1.5%,1,,1.4%,1,1.3%,,1,1.3%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,3,4.5%,3,,4.1%,2,2.5%,,2,2.6%,2,,2.9%,1,1.4%,,1,1.4%,1,,1.4%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,1,1.4%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,62,93.9%,68,,93.2%,77,96.3%,,74,94.9%,67,,97.1%,68,97.1%,,71,98.6%,72,,98.6%
Group Home,17,25.8%,19,,26.0%,24,30.0%,,21,26.9%,18,,26.1%,18,25.7%,,23,31.9%,21,,28.8%
Residential Treatment,15,22.7%,17,,23.3%,17,21.3%,,18,23.1%,19,,27.5%,21,30.0%,,22,30.6%,23,,31.5%
Psychiatric RTC,2,3.0%,2,,2.7%,3,3.8%,,2,2.6%,1,,1.4%,1,1.4%,,1,1.4%,2,,2.7%
Boys School,14,21.2%,14,,19.2%,19,23.8%,,20,25.6%,17,,24.6%,19,27.1%,,17,23.6%,17,,23.3%
Girls School,12,18.2%,12,,16.4%,11,13.8%,,12,15.4%,9,,13.0%,9,12.9%,,7,9.7%,7,,9.6%
Detention,2,3.0%,4,,5.5%,3,3.8%,,1,1.3%,3,,4.3%,0,0.0%,,1,1.4%,0,,0.0%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,1.4%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,1.4%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,1,,1.4%,0,0.0%,,1,1.3%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Sep 30, 2014",,"Oct 31, 2014",,,"Nov 30, 2014",,,"Dec 31, 2014",,"Jan 31, 2015",,,"Feb 28, 2015",,,"Mar 31, 2015",,"Apr 30, 2015",,
Report Period,May 2015,,Jun 2015,,,Jul 2015,,,Aug 2015,,Sep 2015,,,Oct 2015,,,Nov 2015,,Dec 2015,,
Total Children in Care,72,100.0%,62,,100.0%,60,100.0%,,52,100.0%,57,,100.0%,60,100.0%,,63,100.0%,64,,100.0%
Total Family-like setting,1,1.4%,1,,1.6%,1,1.7%,,1,1.9%,1,,1.8%,2,3.3%,,1,1.6%,1,,1.6%
Relative foster home,0,0.0%,1,,1.6%,1,1.7%,,1,1.9%,1,,1.8%,1,1.7%,,1,1.6%,1,,1.6%
Non-relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,1,1.4%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,1,1.7%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,71,98.6%,61,,98.4%,59,98.3%,,50,96.2%,56,,98.2%,58,96.7%,,61,96.8%,63,,98.4%
Group Home,23,31.9%,19,,30.6%,15,25.0%,,9,17.3%,11,,19.3%,13,21.7%,,14,22.2%,17,,26.6%
Residential Treatment,23,31.9%,17,,27.4%,19,31.7%,,18,34.6%,15,,26.3%,16,26.7%,,13,20.6%,13,,20.3%
Psychiatric RTC,2,2.8%,3,,4.8%,4,6.7%,,2,3.8%,3,,5.3%,3,5.0%,,4,6.3%,3,,4.7%
Boys School,14,19.4%,17,,27.4%,15,25.0%,,14,26.9%,19,,33.3%,21,35.0%,,20,31.7%,19,,29.7%
Girls School,6,8.3%,4,,6.5%,5,8.3%,,2,3.8%,2,,3.5%,3,5.0%,,7,11.1%,8,,12.5%
Detention,2,2.8%,0,,0.0%,0,0.0%,,3,5.8%,3,,5.3%,1,1.7%,,2,3.2%,2,,3.1%
Crisis Center,1,1.4%,1,,1.6%,1,1.7%,,1,1.9%,2,,3.5%,1,1.7%,,1,1.6%,1,,1.6%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,1,1.9%,1,,1.8%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,1,1.9%,0,,0.0%,0,0.0%,,1,1.6%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"May 31, 2015",,"Jun 30, 2015",,,"Jul 31, 2015",,,"Aug 31, 2015",,"Sep 30, 2015",,,"Oct 31, 2015",,,"Nov 30, 2015",,"Dec 31, 2015",,
Report Period,Jan 2016,,Feb 2016,,,Mar 2016,,,Apr 2016,,May 2016,,,Jun 2016,,,Jul 2016,,Aug 2016,,
Total Children in Care,59,100.0%,68,,100.0%,72,100.0%,,75,100.0%,76,,100.0%,69,100.0%,,73,100.0%,67,,100.0%
Total Family-like setting,1,1.7%,1,,1.5%,1,1.4%,,1,1.3%,1,,1.3%,1,1.4%,,3,4.1%,3,,4.5%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,1,1.4%,1,,1.5%
Non-relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,1,1.4%,1,,1.5%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,1,1.7%,1,,1.5%,1,1.4%,,1,1.3%,1,,1.3%,1,1.4%,,1,1.4%,1,,1.5%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,58,98.3%,67,,98.5%,71,98.6%,,74,98.7%,75,,98.7%,68,98.6%,,70,95.9%,64,,95.5%
Group Home,17,28.8%,21,,30.9%,24,33.3%,,21,28.0%,21,,27.6%,21,30.4%,,19,26.0%,14,,20.9%
Residential Treatment,9,15.3%,10,,14.7%,14,19.4%,,16,21.3%,22,,28.9%,22,31.9%,,22,30.1%,17,,25.4%
Psychiatric RTC,3,5.1%,3,,4.4%,3,4.2%,,3,4.0%,2,,2.6%,1,1.4%,,2,2.7%,2,,3.0%
Boys School,18,30.5%,19,,27.9%,18,25.0%,,21,28.0%,16,,21.1%,16,23.2%,,19,26.0%,20,,29.9%
